dedup_id,title,status,decision,decision_basis,candidate_topics,reason,module_decisions,module_exclusion_codes,screening_mode,title_only_decision,title_only_exclusion_code
D0019097,"Understanding human-water nexus in a floodplain district of the Brahmaputra Valley, India: An integration of socio-hydrological and rural hydrological approaches",complete,REVIEW,topic_unclear,flood,Human-water relationship study in a floodplain district; flood risk plausibly present but not explicit.,"{""flood"":""EXCLUDE""}","{""flood"":""wrong_exposure""}",title_abstract,,
D0019099,Physiological stress reactivity and self-harm: A meta-analysis,complete,REVIEW,topic_unclear,temperature,"Meta-analysis of stress reactivity in self-harm; manufactured cold stressor (cold pressor) mentioned, but no ambient hazard.","{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0019111,Environmental Health Risks After the 2023 Turkey-Syria Earthquake and Salient Mitigating Strategies: A Critical Appraisal.,complete,REVIEW,topic_unclear,,Earthquake is not a registered hazard topic; mental health effects on human population noted.,{},{},title_abstract,,
D0019130,The relationship between air pollution and depression and anxiety disorders - A systematic evaluation and meta-analysis of a cohort-based study,complete,REVIEW,topic_unclear,,Study on air pollution and depression/anxiety; no named natural hazard topic.,{},{},title_abstract,,
D0019142,"Protocol Study: Resistance Training Program, Nutritional, Sleep, and Screen Use Recommendations in Schoolchildren from Educational Centers in the Extreme South of Chile",complete,REVIEW,topic_unclear,temperature,Cold weather mentioned only as school setting; no temperature-health exposure study.,"{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0019160,"“Mothers get really exhausted!” The lived experience of pregnancy in extreme heat: Qualitative findings from Kilifi, Kenya",complete,REVIEW,topic_unclear,temperature|drought,"Study of pregnancy in extreme heat in a drought-affected region, with wellbeing implications.","{""drought"":""EXCLUDE"",""temperature"":""EXCLUDE""}","{""drought"":""wrong_exposure"",""temperature"":""wrong_outcome""}",title_abstract,,
D0019188,"Women, girls, and climate change: Human rights, vulnerabilities, and opportunities",complete,REVIEW,topic_unclear,,No specific natural hazard topic; general climate change impacts on women's health and rights.,{},{},title_abstract,,
D0019193,Addressing women's mental and maternal well-being in the aftermath of flood disasters: a focus on flood-affected communities in Pakistan.,complete,REVIEW,title_only_unclear,,Flood disaster exposure and women's mental well-being outcome; design unclear from title.,{},{},title_only,REVIEW,NA
D0019211,Crisis in the air: the mental health implications of the 2023 Canadian wildfires.,complete,REVIEW,title_only_unclear,,Title suggests wildfire and mental health but lacks abstract; design and original data status unclear.,{},{},title_only,REVIEW,NA
D0019229,A BAYESIAN GROWTH MIXTURE MODEL FOR COMPLEX SURVEY DATA: CLUSTERING POSTDISASTER PTSD TRAJECTORIES.,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Post-hurricane PTSD trajectories analyzed via Bayesian GMM; no clear hazard exposure contrast.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0019262,"Exploring the nexus of water insecurity and psychological distress in Windhoek's informal settlements, Namibia.",complete,REVIEW,topic_unclear,drought,Water insecurity/water scarcity in informal settlements linked to psychological distress; plausible drought topic.,"{""drought"":""EXCLUDE""}","{""drought"":""wrong_design""}",title_abstract,,
D0019389,"The impact of coastal realignment on the availability of ecosystem services: gains, losses and trade-offs from a local community perspective",complete,REVIEW,topic_unclear,flood,Coastal realignment study mentions tidal flooding but not as hazard; community perceptions of ecosystem services.,"{""flood"":""EXCLUDE""}","{""flood"":""wrong_outcome""}",title_abstract,,
D0019434,Climatic and Economic Background Determine the Disparities in Urbanites’ Expressed Happiness during the Summer Heat,complete,REVIEW,eligibility_unclear,temperature,"temperature: REVIEW - Eligible hazard and outcome, but temporal/quasi-experimental design is not clearly described.","{""temperature"":""REVIEW""}","{""temperature"":""NA""}",title_abstract,,
D0019449,Straw Mulch Induced Indoleamines Alleviate Reproductive Depression in Cold Sensitive Hazelnut Cultivars.,complete,REVIEW,topic_unclear,temperature,Plant study on cold stress in hazelnuts; mentions ambient cold but not human or mental health.,"{""temperature"":""EXCLUDE""}","{""temperature"":""not_human_empirical""}",title_abstract,,
D0019470,"Managing menstruation with dignity: Worries, stress and mental health in two water-scarce urban communities in India",complete,REVIEW,topic_unclear,drought,Water insecurity/scarcity in India linked to women's distress; potential drought exposure but hazard attribution unclear.,"{""drought"":""EXCLUDE""}","{""drought"":""wrong_design""}",title_abstract,,
D0019471,An Evidence Theory Based Embedding Model for the Management of Smart Water Environments,complete,REVIEW,topic_unclear,drought,Focus is on IoT water management; drought is only weakly implied via water scarcity.,"{""drought"":""EXCLUDE""}","{""drought"":""not_human_empirical""}",title_abstract,,
D0019475,Social group connections support mental health following wildfire,complete,REVIEW,eligibility_unclear,wildfire,"wildfire: REVIEW - Post-wildfire study of social connections and mental health; design ambiguous, likely cross-sectional survey.","{""wildfire"":""REVIEW""}","{""wildfire"":""NA""}",title_abstract,,
D0019501,Eco-emotions and Psychoterratic Syndromes: Reshaping Mental Health Assessment Under Climate Change,complete,REVIEW,topic_unclear,,"Paper reviews eco-emotions and psychoterratic syndromes under climate change, without focusing on a specific natural-hazard topic.",{},{},title_abstract,,
D0019529,APOE Peripheral and Brain Impact: APOE4 Carriers Accelerate Their Alzheimer Continuum and Have a High Risk of Suicide in PM2.5 Polluted Cities,complete,REVIEW,topic_unclear,,"Air pollution and PM2.5 exposure, not a named natural hazard; suicide and AD risk mentioned.",{},{},title_abstract,,
D0019540,"PM2.5 and its respiratory tract depositions on blood pressure, anxiety, depression and health risk assessment: A mechanistic study based on urinary metabolome",complete,REVIEW,topic_unclear,,Study on PM2.5 exposure and mental health; no target hazard topic mentioned.,{},{},title_abstract,,
D0019550,COVID-19 disaster recovery capitals: A conceptual framework to guide holistic and strengths-based support strategies,complete,REVIEW,topic_unclear,wildfire|flood,"COVID-19 study references bushfires and floods as comparisons, but focuses on pandemic well-being.","{""flood"":""EXCLUDE"",""wildfire"":""EXCLUDE""}","{""flood"":""wrong_exposure"",""wildfire"":""wrong_exposure""}",title_abstract,,
D0019566,Functional versus dysfunctional coping with physical pain: An experimental comparison of acceptance vs. avoidance coping,complete,REVIEW,topic_unclear,temperature,"Experimental cold pressor uses manufactured cold exposure but focuses on pain coping, not ambient temperature.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019575,"""I don't want to die"": a qualitative study of coping strategies to prevent fentanyl-related overdose deaths among people who inject drugs and its implications for harm reduction policies.",complete,REVIEW,topic_unclear,cyclone,Study on fentanyl overdose among PWID cites Hurricane Maria only as temporal context; cyclone is peripheral.,"{""cyclone"":""EXCLUDE""}","{""cyclone"":""wrong_exposure""}",title_abstract,,
D0019600,Health and housing consequences of climate-related disasters: a matched case-control study using population-based longitudinal data in Australia,complete,REVIEW,eligibility_unclear,wildfire|flood|cyclone,"wildfire: REVIEW - Bushfire included among multiple climate disasters; effects not disaggregated by hazard type. | flood: EXCLUDE - Exposure is combined climate-related disasters, not specifically flood; no flood-specific estimate. | cyclone: REVIEW - Pooled flood, bushfire, cyclone exposures; hazard-specific effects unclear.","{""cyclone"":""REVIEW"",""flood"":""EXCLUDE"",""wildfire"":""REVIEW""}","{""cyclone"":""NA"",""flood"":""wrong_exposure"",""wildfire"":""NA""}",title_abstract,,
D0019606,Effects of natural hazards on early childhood development: A systematic review protocol,complete,REVIEW,topic_unclear,wildfire|flood|drought,"Protocol on natural hazards and child development; explicitly names fires, floods, droughts.","{""drought"":""EXCLUDE"",""flood"":""EXCLUDE"",""wildfire"":""EXCLUDE""}","{""drought"":""non_original"",""flood"":""non_original"",""wildfire"":""non_original""}",title_abstract,,
D0019609,Refugee settlements are highly exposed to extreme weather conditions,complete,REVIEW,topic_unclear,temperature|drought,"Refugee settlements exposed to heat/cold extremes and low rainfall, indicating temperature and possible drought.","{""drought"":""EXCLUDE"",""temperature"":""EXCLUDE""}","{""drought"":""wrong_outcome"",""temperature"":""wrong_outcome""}",title_abstract,,
D0019617,Exploring experiences engaging in exercise from the perspectives of women living with HIV: A qualitative study,complete,REVIEW,topic_unclear,temperature,Cold winter weather is a minor barrier in a study of exercise among women with HIV.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019662,[Air pollution and incidence of psychiatric disorders in the Rome longitudinal study.].,complete,REVIEW,topic_unclear,,Air pollution exposure and psychiatric disorders; no registered hazard topic named.,{},{},title_abstract,,
D0019678,Does climate change transform military medicine and defense medical support?,complete,REVIEW,topic_unclear,,General climate change review mentions mental health but no specific named hazard topic.,{},{},title_abstract,,
D0019692,Exertional Heat Stroke and Rhabdomyolysis: A Medical Record Review and Patient Perspective on Management and Long-Term Symptoms,complete,REVIEW,topic_unclear,temperature,"Study on exertional heat stroke mentions environmental heat, but clinical focus makes temperature topic ambiguous; mental health assessed.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019701,The impact of the Covid-19 pandemic and previous natural disasters on the mental health of healthcare workers in Puerto Rico.,complete,REVIEW,topic_unclear,cyclone,"Study examines hurricane exposure and depressive symptoms in healthcare workers, indicating cyclone as plausible hazard.","{""cyclone"":""EXCLUDE""}","{""cyclone"":""wrong_design""}",title_abstract,,
D0019702,A fragmented segment of a central venous catheter caused delayed ventricular fibrillation: a case report,complete,REVIEW,topic_unclear,temperature,"Case report mentions heat stroke but focuses on catheter complication, so temperature topic is ambiguous.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0019714,"Random intercept cross-lagged relations among trauma coping self-efficacy, trauma coping, and PTSD symptoms among rural hurricane survivors",complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Longitudinal hurricane survivor study on coping and PTSS; lacks exposure contrast or pre-event baseline.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0019736,Spatiotemporal patterns of suicide in Korea from 2009 to 2019 using geographic information systems,complete,REVIEW,topic_unclear,,Suicide spatiotemporal analysis in South Korea; no named natural hazard topic mentioned.,{},{},title_abstract,,
D0019737,Mental Health Disorders Due to Disaster Exposure: A Systematic Review and Meta-Analysis.,complete,REVIEW,topic_unclear,,Generic natural disaster exposure and mental health; no named hazard topic is registered.,{},{},title_abstract,,
D0019744,Development of the Cold Agglutinin Disease Symptoms and Impact Questionnaire (CAD-SIQ),complete,REVIEW,topic_unclear,temperature,"Study on CAD patient outcomes; mentions cold sensitivity and anxiety/stress, indicating possible temperature relevance.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019769,"Association of farmers’ wellbeing in a drought-prone area, Thailand: applications of SPI and VCI indices",complete,REVIEW,eligibility_unclear,drought,"drought: REVIEW - Household survey linking drought severity to farmers' wellbeing, but design unclear.","{""drought"":""REVIEW""}","{""drought"":""NA""}",title_abstract,,
D0019770,Pregnancy intentions of young women in Canada in the era of climate change: a qualitative auto-photography study.,complete,REVIEW,topic_unclear,,"Study on climate change and pregnancy intentions; eco-anxiety present, no specific named hazard topic.",{},{},title_abstract,,
D0019777,Child-focused climate change and health content in medical schools and pediatric residencies,complete,REVIEW,topic_unclear,temperature|wildfire|drought,"Review lists wildfires, heat waves, droughts; discusses children and mental health sequelae.","{""drought"":""EXCLUDE"",""temperature"":""EXCLUDE"",""wildfire"":""EXCLUDE""}","{""drought"":""non_original"",""temperature"":""non_original"",""wildfire"":""non_original""}",title_abstract,,
D0019780,Relationship of emergency department visits for suicide attempts with meteorological and air pollution conditions,complete,REVIEW,eligibility_unclear,temperature,"temperature: REVIEW - Suicide attempts with meteorological including temperature, but design labeled cross-sectional and unclear temporal contrast.","{""temperature"":""REVIEW""}","{""temperature"":""NA""}",title_abstract,,
D0019797,Health and wellbeing of Nepalese migrant workers in Gulf Cooperation Council (GCC) countries: A mixed-methods study,complete,REVIEW,topic_unclear,,"Mental health and human population present; mentions 'severe weather conditions' without naming a specific hazard, requiring review.",{},{},title_abstract,,
D0019815,"Acute Performance, Daily Well-Being, and Hormone Responses to Water Immersion After Resistance Exercise in Junior International and Subelite Male Volleyball Athletes",complete,REVIEW,topic_unclear,temperature,Hot water immersion recovery study; no environmental exposure; well-being assessed.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019827,Effectiveness of scalp cooling to prevent chemotherapy-induced alopecia in patients undergoing breast cancer treatment: A systematic review and meta-analysis,complete,REVIEW,topic_unclear,temperature,Scalp cooling meta-analysis with psychological outcomes; temperature routed as manufactured thermal study.,"{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0019838,A randomized controlled trial of hand/foot-cooling by hilotherapy to prevent oxaliplatin-related peripheral neuropathy in patients with malignancies of the digestive system,complete,REVIEW,topic_unclear,temperature,Temperature-related intervention (cooling at 11°C) but not environmental; route for wrong_exposure review.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019843,Nature-based solutions to global environmental challenges.,complete,REVIEW,topic_unclear,temperature|flood,"Mentions floods and urban heat island effects as NBS targets; general wellbeing, no explicit mental health.","{""flood"":""EXCLUDE"",""temperature"":""EXCLUDE""}","{""flood"":""not_human_empirical"",""temperature"":""non_original""}",title_abstract,,
D0019866,Recovery and adjustment trajectories among Hurricane Florence survivors: Analysis utilizing nonlinear dynamic system modeling,complete,REVIEW,eligibility_unclear,cyclone,cyclone: REVIEW - Hurricane survivors followed post-event without pre-event baseline; design unclear.,"{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0019878,Do Individuals with High Climate Anxiety Believe That They Will Die Earlier? First Evidence from Germany,complete,REVIEW,topic_unclear,,"Climate anxiety and perceived longevity; no specific environmental hazard named, review needed.",{},{},title_abstract,,
D0019885,The suicidal ideation of disaster victims: A nationwide cross-sectional study,complete,REVIEW,topic_unclear,cyclone|wildfire,Study of disaster victims including typhoons and fires examines suicidal ideation.,"{""cyclone"":""EXCLUDE"",""wildfire"":""EXCLUDE""}","{""cyclone"":""wrong_design"",""wildfire"":""wrong_design""}",title_abstract,,
D0019903,Engineering PEDOT:PSS/PEG Fibers with a Textured Surface toward Comprehensive Personal Thermal Management,complete,REVIEW,topic_unclear,temperature,Personal thermal management textile study addressing extreme temperatures; no mental health or other hazard topic.,"{""temperature"":""EXCLUDE""}","{""temperature"":""not_human_empirical""}",title_abstract,,
D0019907,Fine particulate matter exposure and pediatric mental health outcomes: An integrative review,complete,REVIEW,topic_unclear,,PM2.5 air pollution and mental health; no named hazard topic. Needs human review.,{},{},title_abstract,,
D0019923,The role of physical agents’ exposure in male infertility: A critical review,complete,REVIEW,topic_unclear,temperature,"Reviews occupational/environmental heat exposure effects on male fertility; not clearly ambient environmental, so flagged for review.","{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0019927,Immediate and Delayed Salivary Cytokine Responses during Repeated Exposures to Cold Pressor Stress.,complete,REVIEW,topic_unclear,temperature,Manufactured cold stressor (CPT) study; no environmental hazard topics other than thermal exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019945,Evaluation of Satisfaction with the Built Environment of University Buildings under the Epidemic and Its Impact on Student Anxiety,complete,REVIEW,topic_unclear,temperature,"Study relates satisfaction with building environment, including summer heat, to student anxiety; no clear natural hazard exposure.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019954,Quincke's disease: an unusual pathology.,complete,REVIEW,topic_unclear,temperature,Case report of Quincke's disease aggravated by cold weather; possible environmental cold exposure signal.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0019968,Large-scale agricultural burning and cardiorespiratory emergency department visits in the U.S. state of Kansas,complete,REVIEW,topic_unclear,wildfire,Prescribed agricultural burning smoke exposure linked to ED visits; not clearly wildfire.,"{""wildfire"":""EXCLUDE""}","{""wildfire"":""wrong_exposure""}",title_abstract,,
D0019971,Gray matter volume and pain tolerance in a general population: The Tromsø study,complete,REVIEW,topic_unclear,temperature,"Cold pressor test uses 3°C water; manufactured thermal exposure, not ambient temperature.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0019972,Impact of the 2021 north american winter storms on children with epilepsy,complete,REVIEW,topic_unclear,temperature,Winter storms and associated cold/heat loss affected children with epilepsy; no other named hazard.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0020036,Analysis of the livelihood and health of internally displaced persons due to riverbank erosion in Bangladesh,complete,REVIEW,topic_unclear,,"Study focuses on riverbank erosion, an unnamed hazard, with mental health impacts on IDPs.",{},{},title_abstract,,
D0020046,"Short-term impact of noise, other air pollutants and meteorological factors on emergency hospital mental health admissions in the Madrid region",complete,REVIEW,topic_unclear,,No named registered hazard topic; only broad meteorological factors mentioned.,{},{},title_abstract,,
D0020069,"Post-traumatic stress and depression following a landslide linked to the 2018 floods in Kerala, India: Relevance of screening",complete,REVIEW,eligibility_unclear,flood,flood: REVIEW - Repeated post-event flood survey with no pre-event baseline; design ambiguous for hazard-outcome estimation.,"{""flood"":""REVIEW""}","{""flood"":""NA""}",title_abstract,,
D0020070,"Associations of road traffic noise and its frequency spectrum with prevalent depression in Taichung, Taiwan",complete,REVIEW,topic_unclear,,Road traffic noise and depression; no registered climate hazard topic; review needed.,{},{},title_abstract,,
D0020082,The Short- and Long-Run Impacts of Air Pollution on Human Health: New Evidence from China.,complete,REVIEW,topic_unclear,,No registered climate hazard mentioned; examines generic air pollution effects on health.,{},{},title_abstract,,
D0020095,Is climate change affecting mental health of urban populations?,complete,REVIEW,topic_unclear,,General climate change mental health review; no specific named hazard topic.,{},{},title_abstract,,
D0020106,"Heatwaves and sleep, sleep and development, mood, neurological disorders and much more!",complete,REVIEW,title_only_unclear,,"Title suggests topic on heatwaves and mood, but type/design unclear without abstract.",{},{},title_only,REVIEW,NA
D0020107,Harnessing Insights from Indicators-Based Resilience Assessment for Enhancing Sustainability in the Gurage Socio-Ecological Production Landscape of Ethiopia,complete,REVIEW,topic_unclear,drought,Landscape resilience study incorporating satellite-based drought incidents; drought is a plausible but secondary topic.,"{""drought"":""EXCLUDE""}","{""drought"":""wrong_exposure""}",title_abstract,,
D0020133,Perceptions of the health impacts of climate change among Canadians,complete,REVIEW,topic_unclear,,Survey of climate change health perceptions; no specific hazard topic mentioned.,{},{},title_abstract,,
D0020136,Occupational Risk Factors for Hoarseness Among Police Officers in Finland,complete,REVIEW,topic_unclear,temperature,Occupational study of hoarseness mentions cold temperature exposure but is not climate-focused.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0020153,Opportunistic Mental Health Screening: Is there a Role Following a Disaster? Lessons from the 2010-2011 Queensland (Australia) Floods and Cyclones,complete,REVIEW,eligibility_unclear,flood|cyclone,flood: INCLUDE - Post-disaster screening compares high vs low flood-affected regions on PTSD screen outcomes. | cyclone: REVIEW - Pools floods and cyclones without hazard-specific results; screening program evaluation with unclear design.,"{""cyclone"":""REVIEW"",""flood"":""INCLUDE""}","{""cyclone"":""NA"",""flood"":""NA""}",title_abstract,,
D0020157,"Long-term exposure to ambient air pollution, circadian syndrome and cardiovascular disease: A nationwide study in China",complete,REVIEW,topic_unclear,,Ambient PM2.5 pollution and CVD with depression component; no listed hazard topic.,{},{},title_abstract,,
D0020170,Comparing Mobility-Based PM2.5 Concentrations and Activity Satisfaction in Beijing between 2012 and 2017,complete,REVIEW,topic_unclear,,"Study of air pollution (PM2.5) and activity satisfaction, not a named hazard topic; mental health outcome present.",{},{},title_abstract,,
D0020181,"The epidemiology of the COVID-19 pandemic in the small, low-resource country of Timor-Leste, January 2020 - June 2022",complete,REVIEW,topic_unclear,flood,Mentions major flooding as contextual factor for COVID-19 wave delay; not primary focus.,"{""flood"":""EXCLUDE""}","{""flood"":""wrong_exposure""}",title_abstract,,
D0020218,"Long-term air pollution, genetic susceptibility, and the risk of depression and anxiety: A prospective study in the UK biobank cohort",complete,REVIEW,topic_unclear,,"Air pollution cohort study on depression/anxiety; no natural hazard topic identifiable, so review flagged.",{},{},title_abstract,,
D0020227,The mental health of children in flood-affected areas in Pakistan needs urgent attention.,complete,REVIEW,title_only_unclear,,"Title suggests flood exposure and child mental health; lacking abstract, cannot determine original empirical design or publication type.",{},{},title_only,REVIEW,NA
D0020246,Early-Life Exposure to PM,complete,REVIEW,title_only_unclear,,Title alone is ambiguous; PM exposure unclear and no mental health outcome mentioned.,{},{},title_only,REVIEW,NA
D0020263,"Occupational Hazards in Lead-acid Battery Factories in Bangladesh: Assessing Excess Heat, Noise, Chemical Exposures, and Health Impacts on Workers",complete,REVIEW,topic_unclear,temperature,"Workplace heat exposure is mentioned but likely occupational rather than environmental, so route for review.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0020314,"Application of the DRASTIC Model to Assess the Vulnerability of Groundwater Contamination Near Zaporizhzhia Nuclear Power Plant, Ukraine.",complete,REVIEW,topic_unclear,,Groundwater contamination risk near nuclear plant; no named climate-related hazard or mental health outcome.,{},{},title_abstract,,
D0020323,"Air Pollution’s Hidden Toll: Links Between Ozone, Particulate Matter, and Adolescent Depression",complete,REVIEW,topic_unclear,,Study of air pollution and adolescent depression; no registered climate hazard topic.,{},{},title_abstract,,
D0020328,Sunshine and Sadness: A Case Report on Summer Season Depression.,complete,REVIEW,topic_unclear,temperature,Case report of seasonal affective disorder in summer; mentions heat stress and tropical climate.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_design""}",title_abstract,,
D0020342,The association between anthropogenic heat and parent-report symptoms of childhood attention deficit hyperactivity disorder in China: A novel perspective reflecting climate change,complete,REVIEW,topic_unclear,temperature,Anthropogenic heat exposure associated with ADHD in children; environmental heat topic plausible but ambiguous.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0020356,"Mental health and sleep routines: Uttarkashi, India tunnel collapse workers’ experience",complete,REVIEW,topic_unclear,,Tunnel collapse study; no registered natural hazard topic present.,{},{},title_abstract,,
D0020367,Swimming-Induced Pulmonary Edema in a Member Participating in a Special Tactics Selection Course,complete,REVIEW,topic_unclear,temperature,"Case report of swimming-induced pulmonary edema; mentions cold as an extreme training condition, weakly suggests environmental cold exposure.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0020370,Impact of urban biodiversity and climate change on children’s health and well being,complete,REVIEW,topic_unclear,temperature|flood,"Review of biodiversity loss and climate change effects on children's health, referencing heat waves and flooding.","{""flood"":""EXCLUDE"",""temperature"":""EXCLUDE""}","{""flood"":""non_original"",""temperature"":""non_original""}",title_abstract,,
D0020379,Evaluation of effect of cooled haemodialysis on cognition in patients with end-stage kidney disease (ECHECKED) feasibility randomised controlled trial results.,complete,REVIEW,topic_unclear,temperature,"Manufactured thermal study of cooled dialysate; not environmental, but temperature candidate for review.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0020380,Climate change and mental health: The urgent warning of Brazil and Spain's 2024 catastrophic floods.,complete,REVIEW,title_only_unclear,,Title suggests flood and mental health but may be an editorial or commentary; insufficient information.,{},{},title_only,REVIEW,NA
D0020423,Mechanistic insights regarding neuropsychiatric and neuropathologic impacts of air pollution,complete,REVIEW,topic_unclear,,Air pollution not a wildfire hazard; neuropsychiatric focus requires human review.,{},{},title_abstract,,
D0020431,The risk of childhood asthma across diverse climates: growing up in Australia.,complete,REVIEW,topic_unclear,temperature,Climate zones with hot/cold seasonal temperature patterns; asthma outcomes; maternal depression covariate only.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_outcome""}",title_abstract,,
D0020432,"Transforming global public health: Climate collaboration, political challenges, and systemic change.",complete,REVIEW,topic_unclear,temperature,General climate change review with heat-related illnesses; no specific named hazard beyond temperature.,"{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0020460,Secondary Myiasis in an Immunocompetent Patient With Severe Chromoblastomycosis.,complete,REVIEW,topic_unclear,flood,"Case report mentions a flood as temporal context for chromoblastomycosis, but flood is not the study focus.","{""flood"":""EXCLUDE""}","{""flood"":""wrong_outcome""}",title_abstract,,
D0020469,Novel Deep Learning-Based Vocal Biomarkers for Stress Detection in Koreans,complete,REVIEW,topic_unclear,temperature,Vocal stress detection study using cold pressor as stressor; no environmental hazard; temperature flagged as manufactured thermal exposure.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0020471,Harnessing Evolution and Biomimetics to Enhance Planetary Health: Kidney Insights.,complete,REVIEW,topic_unclear,temperature,"Mentions heat stress as environmental stressor, prompting temperature topic with review.","{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0020476,Prevalence of mental disorders in adult populations from the Global South following exposure to natural hazards: a meta-analysis,complete,REVIEW,topic_unclear,,Meta-analysis of mental health after natural hazards; no specific hazard topic named beyond generic natural hazards.,{},{},title_abstract,,
D0020478,"Ecological analysis of air particulate matter exposure and depression among adolescents in developing regions of Hubei, China",complete,REVIEW,topic_unclear,,Air pollution and adolescent depression without named climate hazard topic.,{},{},title_abstract,,
D0020485,Coexisting metabolic dysfunction-associated steatotic liver disease exacerbates in-hospital outcomes in patients with heat stroke,complete,REVIEW,topic_unclear,temperature,Clinical study on heat stroke patients; heat stroke implies heat exposure topic though no ambient temperature measure reported.,"{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0020499,Evaluation of adult individuals' climate change concern and mental well‐being levels in Türkiye: A descriptive and correlational study,complete,REVIEW,topic_unclear,wildfire|flood|cyclone,"Climate concern and mental well-being study with self-reported forest fire, flood, and storm/hurricane exposure.","{""cyclone"":""EXCLUDE"",""flood"":""EXCLUDE"",""wildfire"":""EXCLUDE""}","{""cyclone"":""wrong_exposure"",""flood"":""wrong_exposure"",""wildfire"":""wrong_design""}",title_abstract,,
D0020506,How does climate change impact people who use alcohol and other drugs? A scoping review of peer reviewed literature,complete,REVIEW,topic_unclear,temperature|wildfire|flood|drought,"Scoping review of climate change impacts on substance use; mentions extreme heat, fires, floods, droughts, and mental health.","{""drought"":""EXCLUDE"",""flood"":""EXCLUDE"",""temperature"":""EXCLUDE"",""wildfire"":""EXCLUDE""}","{""drought"":""non_original"",""flood"":""non_original"",""temperature"":""non_original"",""wildfire"":""non_original""}",title_abstract,,
D0020540,"Investigating the Relationship Between Disaster Preparedness Knowledge, Disaster Related Stress, and Post-Disaster Depression Among Students and Faculty in Higher Education.",complete,REVIEW,eligibility_unclear,cyclone,"cyclone: REVIEW - Hurricane Sandy exposure with depression outcome, but design unclear; likely cross-sectional.","{""cyclone"":""REVIEW""}","{""cyclone"":""NA""}",title_abstract,,
D0020549,Two paths of news frames affecting support for particulate matter policies in South Korea: The moderating roles of media exposure and psychological distance.,complete,REVIEW,topic_unclear,,"No target hazard; PM news framing study with anxiety, so human topic review needed.",{},{},title_abstract,,
D0020558,"Geopsychiatry: Climate change, migration, and mental health.",complete,REVIEW,topic_unclear,temperature,"Discusses climate change effects on mental health, including heat waves, migration, and vulnerable groups.","{""temperature"":""EXCLUDE""}","{""temperature"":""non_original""}",title_abstract,,
D0020561,The effect and burden of sand-dust storms on asthma hospitalization: Evidence from cities with arid climate in China,complete,REVIEW,topic_unclear,temperature,"Sand-dust storm study mentioning low temperature interaction, plausibly relevant to ambient cold exposure.","{""temperature"":""EXCLUDE""}","{""temperature"":""wrong_exposure""}",title_abstract,,
D0020606,Consideration of young people’s active travel in National Urban Policy documents in Asia: A documentary analysis,complete,REVIEW,topic_unclear,,"No specific hazard named; mentions natural disaster risk generically, so review needed.",{},{},title_abstract,,
