source_row,dedup_id,title,year,journal,candidate_topics,strict_decision,primary_topic,exposure_measurement,design_class,counterfactual_status,effect_extractability,outcome_status,primary_reason_code,confidence,reason,full_text_checks,overlap_flag,screener_model,criteria_version
223,D0014521,"Socioeconomic level and associations between heat exposure and all-cause and cause-specific hospitalization in 1,814 Brazilian cities: A nationwide case-crossover study",2020,PLoS Medicine,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,Daily weather and hospitalization data were analyzed in time-stratified case-crossover models; the mental-health hospitalization effect is reported with a 95% CI.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
224,D0014583,Positive cognitive appraisal “buffers” the long-term effect of peritraumatic distress on maternal anxiety: The Queensland Flood Study,2021,Journal of Affective Disorders,flood,NARRATIVE_ONLY,flood,self_report_only,post_event_only,no,unclear,eligible,self_report_exposure_only,high,Post-flood symptom trajectories are related mainly to reported peritraumatic distress and appraisal; pre-disaster anxiety was not controlled and no external exposure linkage is stated.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
225,D0014664,"Quasi-experimental evaluation of text-based crisis patterns in youth following Hurricane Florence in the Carolinas, 2018",2021,Science of the Total Environment,cyclone,META_ELIGIBLE,cyclone,objective_or_verifiable,quasi_experimental,yes,reported_with_uncertainty,eligible,eligible,high,An interrupted time series evaluates crisis-text changes around Hurricane Florence and reports percentage changes with SEs and p-values for anxiety/stress and suicidal thoughts.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
226,D0014716,A life‐course model of trauma exposure and mental health among low‐income survivors of Hurricane Katrina,2020,Journal of Traumatic Stress,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,longitudinal_with_prebaseline,yes,reported_with_uncertainty,eligible,descriptive_or_predictor_only,high,The path model estimates effects of life-course traumatic events on symptoms in Katrina survivors rather than a hurricane hazard effect.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
227,D0014778,Association between ambient temperature and injury by intentions and mechanisms: A case-crossover design with a distributed lag nonlinear model,2020,Science of the Total Environment,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,case_crossover,yes,likely_extractable,eligible,unclear_effect_extractability,high,"A time-stratified case-crossover study finds intentional self-harm increased at high temperatures, but no self-harm-specific effect estimate or uncertainty is given.",Extract the self-harm temperature effect and uncertainty | Confirm the lag and temperature contrast,none_identified,gpt-5.6-sol,strict-inc-v1.0
228,D0014788,Extremes in water availability and suicide: Evidence from a nationally representative sample of rural Indian adults,2020,Environmental Research,drought,META_ELIGIBLE,drought,objective_or_verifiable,panel_fixed_effects,yes,reported_with_uncertainty,eligible,eligible,high,"SPEI from precipitation and temperature data varies within districts over 13 years in fixed-effects models, with suicide effects and 95% CIs reported.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
229,D0014835,The effect of temperature on cause-specific mental disorders in three subtropical cities: A case-crossover study in China,2020,Environment International,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,A case-crossover DLNM relates ambient temperature to diagnosed mental-disorder morbidity and reports disorder- and city-specific ORs with 95% CIs.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
230,D0014989,Increased incidence of stress-associated illnesses among elderly after Typhoon Morakot,2021,Journal of the Formosan Medical Association,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,unclear,unclear,unclear,eligible,unclear_design,medium,"Administrative visits are described before and after Typhoon Morakot, but the abstract does not state an ITS or controlled design and reports percentages without uncertainty.",Determine whether temporal trends or a control series were modeled | Extract typhoon effects and uncertainty | Confirm affected-area exposure assignment,none_identified,gpt-5.6-sol,strict-inc-v1.0
231,D0015002,Cross sectional analysis of depression amongst Australian rural business owners following cyclone-related flooding,2020,Journal of Occupational Medicine and Toxicology,flood|cyclone,NARRATIVE_ONLY,flood,self_report_only,cross_sectional,no,reported_with_uncertainty,eligible,cross_sectional,high,This is a single cross-sectional survey six months after flooding; reported flood and financial exposures are post-event self-reports despite adjusted depression ORs.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
232,D0015008,"Disaster-related prenatal maternal stress, and childhood HPA-axis regulation and anxiety: The QF2011 Queensland Flood Study",2020,Psychoneuroendocrinology,flood,NARRATIVE_ONLY,flood,self_report_only,post_event_only,no,unclear,eligible,self_report_exposure_only,high,"Prenatal flood stress is based on reported hardship, distress, and appraisal, and child anxiety is measured only years after the event.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
233,D0015043,"Short-term effect of apparent temperature on daily emergency visits for mental and behavioral disorders in Beijing, China: A time-series study",2020,Science of the Total Environment,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,A quasi-Poisson DLNM estimates apparent-temperature effects on daily mental-disorder emergency visits and reports lag-specific RRs with 95% CIs.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
234,D0015062,"Hot weather and suicide deaths among older adults in hong kong, 1976–2014: A retrospective study",2020,International Journal of Environmental Research and Public Health,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,likely_extractable,eligible,unclear_effect_extractability,high,"A 39-year transfer-function time series links retrieved meteorological data to suicide, but numerical effects and uncertainty are omitted.",Extract temperature-suicide coefficients and uncertainty | Confirm threshold and lag definitions,none_identified,gpt-5.6-sol,strict-inc-v1.0
235,D0015156,Reciprocal effects of maternal and child internalizing symptoms before and after a natural disaster,2020,Journal of Family Psychology,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,longitudinal_with_prebaseline,yes,unclear,eligible,descriptive_or_predictor_only,high,The pre-post study examines reciprocal maternal-child symptom processes and reported Sandy stress; it does not report an estimated hurricane effect on symptoms.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
236,D0015239,Impact of flooding on health-related quality of life in England: Results from the National Study of Flooding and Health,2020,European Journal of Public Health,flood,NARRATIVE_ONLY,flood,unclear,post_event_only,no,reported_with_uncertainty,eligible,no_pre_event_baseline,high,"Flooded, disrupted, and unaffected groups were compared only at two and three years post-flood, without a pre-event HRQoL or anxiety/depression baseline.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
237,D0015241,The English National Cohort Study of Flooding & Health: psychological morbidity at three years of follow up,2020,BMC public health,flood,NARRATIVE_ONLY,flood,unclear,post_event_only,no,reported_with_uncertainty,eligible,no_pre_event_baseline,high,"Three post-flood follow-ups compare flooded and unaffected groups, but there is no pre-flood mental-health outcome baseline.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
238,D0015253,Temperature and self-reported mental health in the United States,2020,Plos One,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,panel_fixed_effects,yes,likely_extractable,eligible,unclear_effect_extractability,high,"Historical daily weather is matched to three million respondents and within-county temporal fluctuations identify effects, but no estimate uncertainty is shown.",Extract temperature-bin effects and uncertainty | Confirm county and time fixed effects and outcome coding,none_identified,gpt-5.6-sol,strict-inc-v1.0
239,D0015265,The effects of temperature on accident and emergency department attendances in London: A time-series regression analysis,2020,International Journal of Environmental Research and Public Health,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,likely_extractable,eligible,unclear_effect_extractability,high,"Seasonally adjusted time-series models include psychiatric emergency presentations, but the psychiatric effect is described only as significant without its estimate or CI.",Extract the psychiatric-presentation effect and uncertainty | Confirm diagnostic codes and temperature contrast,none_identified,gpt-5.6-sol,strict-inc-v1.0
240,D0015268,Suicide behavior and meteorological characteristics in hot and arid climate,2020,Environmental Research,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,Time-stratified case-crossover and time-series models relate temperature to suicide-attempt admissions and report ORs and IRRs with 95% CIs.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
241,D0015343,"The impact of extreme heat and heat waves on emergency ambulance dispatches due to external cause in Shenzhen, China",2020,Environmental Pollution,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,A quasi-Poisson DLNM estimates daily temperature and heatwave effects on suicide-related ambulance dispatches and reports an RR with 95% CI.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
242,D0015380,The Short- and Long-Term Impacts of Hurricane Irma on Florida Agricultural Leaders as Early Emergency Responders: The Importance of Workplace Stability.,2020,International journal of environmental research and public health,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,post_event_only,no,unclear,eligible,no_pre_event_baseline,high,"Thirty-six responders were assessed only at two post-Irma times, and regressions use reported home and work impacts without pre-event mental-health outcomes.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
243,D0015499,Neuropsychological Outcomes of Exposure to Hurricane Katrina and Relocation,2020,Disaster medicine and public health preparedness,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,post_event_only,no,unclear,eligible,no_pre_event_baseline,high,"Relocated Katrina survivors are compared with controls only after the disaster, with no pre-Katrina depression or PTSD baseline.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
244,D0015509,"Monitoring Emergency Department Visits From Puerto Rico in the Aftermath of Hurricane Maria Using Syndromic Surveillance - New York City, 2017",2020,Disaster medicine and public health preparedness,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,descriptive,no,not_extractable,eligible,descriptive_or_predictor_only,high,Syndromic visits were descriptively compared in eight-week pre/post windows using Fisher tests; the mental-illness increase was nonsignificant and no modeled hurricane effect is reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
245,D0015572,Examining fine particulate matter and cause-specific morbidity during the 2017 North San Francisco Bay wildfires,2021,Science of the Total Environment,wildfire,FULLTEXT_REVIEW,wildfire,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,medium,"County daily PM2.5 during wildfire and non-fire periods is modeled against mental/behavioral ED visits, but that outcome's effect is only described as model-sensitive.",Extract wildfire-PM2.5 mental/behavioral effects and uncertainty | Confirm fire-attributed PM2.5 contrasts | Identify the prespecified time-adjustment model,none_identified,gpt-5.6-sol,strict-inc-v1.0
246,D0015599,Resilience after natural disasters: The process of harnessing resources in communities differentially exposed to a flood,2021,European Journal of Psychotraumatology,flood,NARRATIVE_ONLY,flood,objective_or_verifiable,cross_sectional,no,unclear,eligible,cross_sectional,high,Two municipalities were surveyed once 18 months after flooding; the analysis concerns psychosocial resource predictors rather than a temporal flood effect.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
247,D0015733,Understanding the concurrent risk of mental health and dangerous wildfire events in the COVID-19 pandemic.,2022,The Science of the total environment,wildfire,FULLTEXT_REVIEW,wildfire,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,high,"Interrupted-time-series and difference-in-differences analyses evaluate wildfire effects on crisis texts, but only a qualitative null result is provided.",Extract wildfire effect estimates and uncertainty from both designs | Confirm wildfire exposure geography and intervention dates,none_identified,gpt-5.6-sol,strict-inc-v1.0
248,D0015746,Ambient heat and risks of emergency department visits among adults in the United States: Time stratified case crossover study,2021,The BMJ,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,Nationwide time-stratified case-crossover analyses estimate extreme-heat effects on mental-disorder ED visits and report excess risk with 95% CI.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
249,D0015764,Neural vulnerability and hurricane-related media are associated with post-traumatic stress in youth,2021,Nature Human Behaviour,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,longitudinal_with_prebaseline,yes,unclear,eligible,self_report_exposure_only,high,"Children were assessed before and after Irma, but hurricane and media doses are self-reported and no external hazard linkage is stated.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
250,D0015776,﻿Correlating heatwaves and relative humidity with suicide (fatal intentional self-harm).,2021,Scientific reports,temperature,FULLTEXT_REVIEW,temperature,unclear,unclear,unclear,unclear,eligible,multiple_issues,medium,"Country data over 1979-2016 link heatwave counts and humidity to suicide, but the abstract gives no exposure source, within-unit identification details, or effects with uncertainty.",Verify objective heatwave definitions and data source | Verify within-country temporal identification and controls | Extract heatwave-specific effects and uncertainty,none_identified,gpt-5.6-sol,strict-inc-v1.0
251,D0015862,Investigating the association between temperature and hospital admissions for major psychiatric diseases: A study in Greece,2021,Journal of Psychiatric Research,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,likely_extractable,eligible,unclear_effect_extractability,high,"National Observatory temperature data and time-adjusted Poisson models yield 1-2% admission increases, but no uncertainty is reported.",Extract diagnosis-specific temperature effects and uncertainty | Confirm monthly exposure contrast and lag handling,none_identified,gpt-5.6-sol,strict-inc-v1.0
252,D0015873,The effects of Hurricane Harvey on the physical and mental health of adults in Houston,2021,Health & Place,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,yes,likely_extractable,eligible,unclear_effect_extractability,high,"Harvey interrupted survey fieldwork creates a natural before-after experiment and the effect is 1.31 poor-mental-health days, but uncertainty is omitted.",Extract the mental-health effect uncertainty | Confirm balance and temporal controls around interrupted sampling,none_identified,gpt-5.6-sol,strict-inc-v1.0
253,D0015931,"Ambient temperature and mental health hospitalizations in Bern, Switzerland: A 45-year time-series study",2021,PLoS ONE,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,Gridded daily temperature is analyzed with conditional quasi-Poisson distributed-lag models against psychiatric hospitalizations; effects and 95% CIs are reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
254,D0015958,"High temperatures trigger suicide mortality in Brussels, Belgium: A case-crossover study (2002–2011)",2022,Environmental Research,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,"Station-measured temperature is analyzed in a bidirectional time-stratified case-crossover DLNM, with suicide RRs and 95% CIs.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
255,D0016025,"Adverse childhood experiences, adult trauma, and depressive symptom trajectories",2022,Aging & Mental Health,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,longitudinal_with_prebaseline,yes,unclear,eligible,self_report_exposure_only,high,"The hurricane variable is a subjective trauma/peritraumatic-stress report, and the study primarily models adverse-childhood-experience predictors of depression trajectories.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
256,D0016027,New insights into the relationship between drought and mental health emerging from the Australian Rural Mental Health Study,2021,Frontiers in Psychiatry,drought,FULLTEXT_REVIEW,drought,unclear,unclear,unclear,unclear,eligible,multiple_issues,medium,"A panel dataset reports nonlinear distress and life-satisfaction changes with drought duration, but drought measurement, identifying model, effects, and uncertainty are not stated.",Verify objective drought index linkage | Verify within-person or within-area changing exposure | Extract drought effects and uncertainty,none_identified,gpt-5.6-sol,strict-inc-v1.0
257,D0016133,How do non-catastrophic natural disasters impact middle-aged-to-older persons? Using baseline Canadian longitudinal study on aging data to explore psychological outcomes associated with the 2013 Calgary flood,2022,Canadian Journal on Aging,flood,FULLTEXT_REVIEW,flood,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,medium,"Baseline survey collection occurred before and after the Calgary flood and evacuation status defines groups, but no flood-effect estimates or uncertainty are reported.",Extract pre-post by evacuation-group effects and uncertainty | Confirm whether respondents were independently sampled once or followed | Verify evacuation-area assignment,none_identified,gpt-5.6-sol,strict-inc-v1.0
258,D0016145,"Temporal trends of the association between temperature variation and hospitalizations for schizophrenia in Hefei, China from 2005 to 2019: a time-varying distribution lag nonlinear model",2022,Environmental science and pollution research international,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,Daily meteorological and schizophrenia series are analyzed with time-varying DLNMs; quantitative temperature-variation interaction effects and intervals are reported.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
259,D0016223,The association between drought conditions and increased occupational psychosocial stress among U.S. farmers: An occupational cohort study,2021,Science of the Total Environment,drought,META_ELIGIBLE,drought,objective_or_verifiable,panel_fixed_effects,yes,reported_with_uncertainty,eligible,eligible,high,"Repeated farmer stress measures are linked to county 12-month SPI in longitudinal mixed models, with drought effects and 95% CIs reported.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
260,D0016252,Effects of different heat exposure patterns (accumulated and transient) and schizophrenia hospitalizations: a time-series analysis on hourly temperature basis,2021,Environmental science and pollution research international,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,"Hourly temperature-derived heat metrics are analyzed in DLNMs against daily schizophrenia hospitalizations, with lagged RRs and 95% CIs.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
261,D0016381,"Association between extreme temperatures and emergency room visits related to mental disorders: A multi-region time-series study in New York, USA",2021,Science of the Total Environment,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,likely_extractable,eligible,unclear_effect_extractability,high,"A multi-region quasi-Poisson DLNM estimates daily-temperature effects on mental-disorder ER visits, but no numerical effect or uncertainty appears in the abstract.",Extract pooled and diagnosis-specific effects with uncertainty | Confirm regional temperature exposure source,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
262,D0016427,"Mental health consequences of adversity in Australia: National bushfires associated with increased depressive symptoms, while COVID-19 pandemic associated with increased symptoms of anxiety",2021,Frontiers in Psychology,wildfire,FULLTEXT_REVIEW,wildfire,objective_or_verifiable,other_eligible,yes,unclear,eligible,unclear_effect_extractability,medium,"Daily repeated mood surveys span the Australian bushfires and show increased depression, but the abstract omits the modeled fire-period contrast and uncertainty.",Extract within-person bushfire-period effects and uncertainty | Confirm temporal and geographic bushfire exposure assignment | Separate bushfire from COVID-19 period effects,none_identified,gpt-5.6-sol,strict-inc-v1.0
263,D0016438,"Alcohol and other substance use by faculty, staff, and students in a university community during two hurricanes: Lessons for preventing risky misuse",2021,Journal of Community Psychology,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,other_eligible,yes,unclear,eligible,unclear_effect_extractability,medium,"Participants repeatedly reported emotions before, during, and after two hurricanes, but no quantitative hurricane effect or uncertainty for anxiety is reported.",Extract within-person hurricane effects on anxiety with uncertainty | Confirm timing of baseline reports relative to each hurricane,none_identified,gpt-5.6-sol,strict-inc-v1.0
264,D0016542,Natural disaster stress during pregnancy is linked to reprogramming of the placenta transcriptome in relation to anxiety and stress hormones in young offspring,2021,Molecular Psychiatry,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,yes,unclear,eligible,unclear_effect_extractability,medium,"Pregnancies during Sandy are compared with non-Sandy conditions and child anxiety is measured later, but effect estimates and uncertainty are absent.",Extract Sandy-versus-non-Sandy anxiety effects and uncertainty | Confirm comparison pregnancy timing and confounder adjustment,none_identified,gpt-5.6-sol,strict-inc-v1.0
265,D0016630,Trajectories of depression and anxiety symptoms during the COVID-19 pandemic in a representative Australian adult cohort,2021,Medical Journal of Australia,wildfire,EXCLUDE,wildfire,unclear,descriptive,no,unclear,eligible,wrong_exposure,high,The study's primary exposure is the COVID-19 pandemic; bushfire exposure appears only as one factor associated with pandemic symptom trajectories.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
266,D0016661,The impact of early social support on subsequent health recovery after a major disaster: A longitudinal analysis.,2021,SSM - population health,cyclone,NARRATIVE_ONLY,cyclone,objective_or_verifiable,descriptive,no,unclear,eligible,descriptive_or_predictor_only,high,"The longitudinal regression estimates effects of post-Katrina social support on later health, not the effect of Katrina exposure.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
267,D0016772,Effect of extreme temperatures on daily emergency room visits for mental disorders,2021,Environmental science and pollution research international,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,A quasi-Poisson DLNM of daily maximum temperature and mental-disorder ER visits reports heat and cold RRs with 95% CIs.,,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
268,D0016776,Meteorological variables and suicidal behavior: Air pollution and apparent temperature are associated with high-lethality suicide attempts and male gender,2021,Frontiers in Psychiatry,temperature,NARRATIVE_ONLY,temperature,objective_or_verifiable,descriptive,no,not_extractable,eligible,descriptive_or_predictor_only,high,"The study reports correlations and trend correspondence between weather and high-lethality attempts among 225 admitted patients, without a credible time-series counterfactual.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
269,D0016783,"Temporal trends of the association between extreme temperatures and hospitalisations for schizophrenia in Hefei, China from 2005 to 2014",2021,Occupational and Environmental Medicine,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,"Ten years of daily schizophrenia admissions are analyzed with quasi-Poisson DLNMs, and extreme heat and cold RRs with 95% CIs are reported.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
270,D0016886,Association between ambient temperature and intentional injuries: A case-crossover analysis using ambulance transport records in Japan,2021,Science of the Total Environment,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,A nationwide time-stratified case-crossover DLNM estimates temperature effects on self-harm ambulance transports and reports pooled RRs with 95% CIs.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
271,D0016904,"Increasing impacts of temperature on hospital admissions, length of stay, and related healthcare costs in the context of climate change in Adelaide, South Australia",2021,Science of the Total Environment,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,time_series,yes,unclear,eligible,unclear_effect_extractability,medium,"An empirical daily DLNM precedes climate projections, but the reported burden pools mental health with several physical conditions and gives no separable mental-health effect.",Extract empirical mental-health-specific effects and uncertainty | Confirm mental-health diagnoses are separable from pooled burden | Exclude projection-only estimates from extraction,none_identified,gpt-5.6-sol,strict-inc-v1.0
272,D0016928,"Birth outcomes, pregnancy complications, and postpartum mental health after the 2013 Calgary flood: A difference in difference analysis",2021,PLoS ONE,flood,FULLTEXT_REVIEW,flood,objective_or_verifiable,quasi_experimental,yes,likely_extractable,eligible,unclear_effect_extractability,high,"Administrative data and flooded versus non-flooded areas are analyzed by difference-in-differences, but mental-health results are only stated as null without estimates or CIs.",Extract postpartum depression and anxiety DID estimates with uncertainty | Confirm flood-area assignment and outcome time window,none_identified,gpt-5.6-sol,strict-inc-v1.0
273,D0016941,"Outside the eye of the storm: Can moderate hurricane exposure improve social, psychological, and attachment functioning?",2021,Personality and Social Psychology Bulletin,cyclone,FULLTEXT_REVIEW,cyclone,objective_or_verifiable,quasi_experimental,yes,likely_extractable,eligible,unclear_effect_extractability,high,"A prospective pre/post hurricane cohort is compared with matched cohorts, but changes in distress and affect are reported without effect estimates or uncertainty.",Extract cohort-by-time effects and uncertainty | Confirm matching and timing of comparison cohorts,none_identified,gpt-5.6-sol,strict-inc-v1.0
274,D0016955,Modelling the relationship between rainfall and mental health using different spatial and temporal units,2021,International Journal of Environmental Research and Public Health,drought,FULLTEXT_REVIEW,drought,objective_or_verifiable,time_series,unclear,unclear,eligible,multiple_issues,medium,"Objective rainfall is treated as drought and related to mental-health ED visits across spatiotemporal units, but deficit definitions, identifying controls, and uncertainty are unclear.",Confirm rainfall-deficit drought definition | Verify temporal counterfactual and confounder control | Extract drought-specific effects and uncertainty,none_identified,gpt-5.6-sol,strict-inc-v1.0
275,D0016958,"Learned Helplessness, Psychological Wellbeing, and Proenvironment Care Behavior among Victims of Frequent Floods in Kerala",2021,Journal of Neurosciences in Rural Practice,flood,NARRATIVE_ONLY,flood,unclear,cross_sectional,no,unclear,eligible,cross_sectional,high,"A single post-event sample compares households reporting one, two, or no flood exposures; there is no pre-event outcome or temporal counterfactual.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
276,D0016998,Suicidal behavior and flood effects in Bangladesh: A two-site interview study,2021,Risk Management and Healthcare Policy,flood,NARRATIVE_ONLY,flood,self_report_only,cross_sectional,no,reported_with_uncertainty,eligible,cross_sectional,high,Flood survivors were interviewed once four to five months after the event; severity and flood effects are self-reported and there is no pre-event outcome.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
277,D0017091,"Trajectories of depressive symptoms experienced by older people: Effects of time, Hurricane Sandy, and the Great Recession",2021,The Journals of Gerontology: Series B: Psychological Sciences and Social Sciences,cyclone,FULLTEXT_REVIEW,cyclone,self_report_only,longitudinal_with_prebaseline,yes,unclear,eligible,multiple_issues,medium,"A 12-year panel spans Sandy, but exposure is reported peritraumatic stress and the abstract gives only a qualitative null hazard effect without uncertainty.",Determine whether any Sandy exposure was externally linked | Extract hurricane effects on symptom change with uncertainty | Confirm control for historical time trends,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
278,D0017109,Childhood anxiety: Prenatal maternal stress and parenting in the QF2011 cohort,2021,Child Psychiatry and Human Development,flood,NARRATIVE_ONLY,flood,self_report_only,post_event_only,no,reported_with_uncertainty,eligible,self_report_exposure_only,high,"Prenatal flood stress comprises reported hardship, appraisal, and distress, while child anxiety is measured only six years later without a pre-event child outcome.",,potential_overlap,gpt-5.6-sol,strict-inc-v1.0
279,D0017155,Trajectories of posttraumatic stress symptoms among young adults exposed to a Typhoon: A three-wave longitudinal study,2023,International Journal of Public Health,cyclone,NARRATIVE_ONLY,cyclone,self_report_only,post_event_only,no,unclear,eligible,no_pre_event_baseline,high,All participants were exposed to Typhoon Hato and only three post-event PTSS waves were modeled; direct exposure is a trajectory predictor rather than changing hazard exposure.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
280,D0017170,Hurricane Florence and suicide mortality in North Carolina: a controlled interrupted time-series analysis,2023,Injury prevention : journal of the International Society for Child and Adolescent Injury Prevention,cyclone,META_ELIGIBLE,cyclone,objective_or_verifiable,quasi_experimental,yes,reported_with_uncertainty,eligible,eligible,high,"A controlled interrupted time series uses FEMA county designations and monthly suicide deaths, reporting immediate and trend effects with 95% CIs.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
281,D0017205,The effect modification of extreme temperatures on mental and behavior disorders by environmental factors and individual-level characteristics in Canada,2023,Environmental Research,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,case_crossover,yes,reported_with_uncertainty,eligible,eligible,high,Gridded daily temperature is assigned to nearly ten million mental-disorder ED cases in a case-crossover design; ORs and 95% CIs are reported.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
282,D0017251,Mental health and air temperature: Attributable risk analysis for schizophrenia hospital admissions in arid urban climates,2023,Science of the Total Environment,temperature,META_ELIGIBLE,temperature,objective_or_verifiable,time_series,yes,reported_with_uncertainty,eligible,eligible,high,A distributed-lag model relates daily temperature to schizophrenia admissions with temporal controls and reports attributable fractions with confidence intervals.,,none_identified,gpt-5.6-sol,strict-inc-v1.0
283,D0017438,Cold homes and mental health harm: Evidence from the UK Household Longitudinal Study,2022,Social Science & Medicine,temperature,EXCLUDE,temperature,ineligible,longitudinal_with_prebaseline,yes,likely_extractable,eligible,wrong_exposure,high,"The exposure is inability to keep one's home suitably warm, not naturally occurring ambient temperature or a registered climate hazard.",,none_identified,gpt-5.6-sol,strict-inc-v1.0
284,D0017493,"Air pollution, climate conditions and risk of hospital admissions for psychotic disorders in U.S. residents",2023,Environmental Research,temperature,FULLTEXT_REVIEW,temperature,objective_or_verifiable,unclear,unclear,reported_with_uncertainty,eligible,unclear_design,medium,"Temperature is associated with psychosis admissions over 2002-2016, but the abstract does not establish within-unit temporal variation or a credible counterfactual rather than residential ecological differences.",Verify within-area temporal temperature variation and fixed effects | Confirm exposure time scale and residential linkage | Extract the temperature-specific model specification,none_identified,gpt-5.6-sol,strict-inc-v1.0
