source_row,dedup_id,title,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,crosses_fulltext_boundary
371,D0021270,"Climate change anxiety, hurricane exposure, and climate change actions and attitudes: results from a representative, probability-based survey of US Gulf Coast residents",cyclone,NARRATIVE_ONLY,"The longitudinal survey's reported models focus on climate anxiety, actions, and attitudes; hurricane exposure predicts actions, while no hurricane-to-mental-health effect estimate is reported.",FULLTEXT_REVIEW,"Abstract reports hurricane exposure associations with actions and climate-anxiety associations with attitudes/actions, but no quantitative hazard effect on an eligible mental-health outcome (PTSD or climate anxiety). Longitudinal cohort and pre-hurricane recruitment suggest plausibility, but hazard-specific estimate and counterfactual are unresolved.",yes
376,D0021410,Floods and cause-specific mortality in the UK: a nested case-control study,flood,META_ELIGIBLE,Dartmouth flood records are linked to UK Biobank in a matched nested case-control distributed-lag analysis; the current-year flood effect on suicide mortality is reported as an OR with 95% CI.,FULLTEXT_REVIEW,"Objective flood index from Dartmouth Flood Observatory and suicide mortality are eligible; abstract reports lag-specific OR with 95% CI. However, the nested case-control design's counterfactual is not described (no within-unit temporal variation, matching criteria, or causal identification), so full text is needed to verify credible design and effect extractability.",no
377,D0021520,Short-term changes in mental health help-seeking behaviors following exposure to multiple social stressors and a natural disaster,cyclone,NARRATIVE_ONLY,The multi-event analysis reports median crisis-volume changes after Hurricane Laura and several nonhazard stressors; no hazard-specific adjusted effect with uncertainty or credible exposed comparison is reported.,FULLTEXT_REVIEW,"Uses Crisis Text Line time series to examine help-seeking after 2020 events including Hurricane Laura; outcome eligible and exposure objective. Abstract only reports median volume difference for Hurricane Laura (+1 to +7 conversations) and ARIMA estimates for COVID/election, not a hurricane-specific adjusted effect with uncertainty; unclear whether concurrent stressors are controlled.",yes
390,D0022188,The toll of the cyclone: mental health impacts of tropical cyclones in coastal communities of India,cyclone,FULLTEXT_REVIEW,"Cyclone landfall and inland penetration are linked to district-year medicine sales in fixed-effects distributed-lag models, but the 144% and 173% effects are reported without uncertainty.",META_ELIGIBLE,Objective cyclone landfall/inland penetration exposure; district-year panel with ARDL fixed effects; mental disorder medicine sales as psychiatric service use; reports adjusted 144% contemporaneous and 173% lagged effects.,no
391,D0022203,Prenatal exposure to heat stress and postpartum depressive symptoms in the MADRES cohort in urban Los Angeles,temperature,META_ELIGIBLE,Residential WBGT throughout pregnancy is analyzed with trimester and distributed-lag models against postpartum CES-D scores; adjusted percentage effects and 95% CIs are reported.,FULLTEXT_REVIEW,Prospective cohort with objective residential WBGT and CES-D postpartum depressive symptoms; reports trimester-specific adjusted percent change with CI. However abstract does not establish that seasonal/spatial temperature variation and DLM provide a credible counterfactual or specify confounders; full text needed.,no
394,D0022292,"Climate-Related Heat Stress and Psychological Outcomes in Self-Employed Delivery Workers: Evidence from Brasília, Brazil.",temperature,META_ELIGIBLE,"Twice-daily repeated psychological ratings are paired with station temperature over 15 days, and cluster-robust regressions report temperature coefficients with 95% CIs for stress and mood.",FULLTEXT_REVIEW,"Objective station temperature paired with twice-daily EMA stress/mood in 30 workers over 15 days; betas and CIs reported. However abstract does not state whether regressions used within-person fixed effects or otherwise isolated temporal exposure variation, so counterfactual is unresolved.",no
398,D0022434,Effect of ambient temperature and thermal comfort indices on emergency visits for psychotic and mood disorders: a case-crossover study in a French suburban area,temperature,FULLTEXT_REVIEW,"An 11-year time-stratified case-crossover compares heat metrics with psychiatric emergency visits, but reported percentage changes lack confidence intervals or other uncertainty.",META_ELIGIBLE,"Time-stratified case-crossover uses objective ambient temperature/thermal indices and emergency visits for mood/psychotic disorders, a psychiatric service-use outcome. Reports adjusted percent changes with significance/FDR.",no
402,D0022610,Association of heatwave exposure and multimorbidity with depression trajectories among older adults: evidence from the China Health and Retirement Longitudinal Study,temperature,FULLTEXT_REVIEW,"Five repeated depression waves are analyzed against heatwaves, but the abstract does not state the heat data source, whether exposure changes within participants, or numerical heat effects.",NARRATIVE_ONLY,"Longitudinal CHARLS data are used, but the abstract only describes latent growth curve trajectory identification, machine-learning prediction of trajectory class, and multinomial logistic regression; it reports no quantitative hazard effect size or uncertainty, and does not establish a within-unit temporal exposure counterfactual or pre-exposure baseline for the heatwave-depression effect.",yes
406,D0022760,High temperature and mental health in 3.3 million adults living in Barcelona metropolitan area: a 12-year time series analysis of primary care data,temperature,META_ELIGIBLE,"A 12-year time series uses Meteocat daily temperature and distributed-lag models for anxiety and depression diagnoses, prescriptions, and sick leave, with quantitative relative risks reported.",FULLTEXT_REVIEW,"Time-series DLNM with objective Meteocat temperature and eligible anxiety/depression outcomes; abstract reports effect magnitudes but no uncertainty, so full text must confirm CIs/adjusted estimates.",no
421,D0023100,Analysis of the global trends and causes of self-harm due to high temperature: a global level ecological study,temperature,EXCLUDE,"The outcome is a pre-attributed GBD heat-related self-harm burden, while the original analyses examine demographic and country-level drivers rather than estimate temperature's effect on self-harm.",NARRATIVE_ONLY,"Abstract reports decomposition/trend analysis of GBD heat-related self-harm mortality and a panel model of national indicators, not an original hazard effect estimate; no temperature effect on self-harm or counterfactual is reported.",no
426,D0023319,"The impact of climate shocks exposure to depressive and suicidal ideations among female population in Kilifi rural areas, Kenya",temperature|drought,FULLTEXT_REVIEW,"Two-stage least squares yields heat, drought, and rainfall effects with CIs, but the abstract does not state the hazard data source or instrument and defines treatment by household amenities.",NARRATIVE_ONLY,"Study compares informal-settlement women vs rural controls using 2SLS, but abstract reports no pre-exposure baseline, time-series, panel, or within-unit variation in climate shocks; treatment/control is defined by amenities rather than hazard exposure, so design appears cross-sectional post-exposure comparison without credible counterfactual.",yes
428,D0023456,"The association between hot days and substance-related suicides: a time-stratified case-crossover analysis in British Columbia, Canada",temperature,FULLTEXT_REVIEW,"The case-crossover design reports hot-day suicide effects with CIs, but the abstract does not identify the temperature data source used to classify hot days.",META_ELIGIBLE,"Time-stratified case-crossover uses objective hot-day temperature exposure and population suicide outcomes; conditional logistic regression reports OR with 95% CI (e.g., 1.19 [1.11, 1.29] for attempts), satisfying temporal counterfactual and extractable hazard effect.",no
429,D0023479,Urban heat island impacts on mental health in middle-aged and older adults,temperature,FULLTEXT_REVIEW,"Time-dependent Cox models report incident psychiatric effects of summer urban heat islands, but the abstract does not describe how UHI exposure was measured.",EXCLUDE,"The exposure is summer urban heat island (UHI) intensity, an urbanization-attributable manufactured temperature metric, not a registered naturally occurring ambient temperature hazard. Thus the study does not meet the exposure domain even though it reports HRs for eligible mental health outcomes.",yes
433,D0023582,Fine Particulate Matter from 2020 California Wildfires and Mental Health-Related Emergency Department Visits,wildfire,FULLTEXT_REVIEW,"Daily lagged wildfire-specific PM2.5 is associated with diagnosis-specific ED visits with CIs, but the abstract labels the study cross-sectional and does not state how fire-specific PM2.5 was derived.",META_ELIGIBLE,"Daily ED visit counts and wildfire-specific PM2.5 over the 2020 California wildfire season; abstract reports lagged cumulative relative risks with 95% CIs, indicating a time-series analysis of objective exposure and eligible psychiatric service use outcomes.",no
440,D0023870,Mental health disparities among maternal populations following heatwave exposure in North Carolina (2011–2019): a matched analysis,temperature,FULLTEXT_REVIEW,"Heatwave periods are matched to nonheatwave periods and severe mental-illness RRs are reported, but the abstract does not identify the temperature source or heatwave construction.",META_ELIGIBLE,"Matched analysis compares ED psychiatric visits during heatwave vs matched non-heatwave periods at ZCTA level, reports RR and CI for maternal mental health outcomes. Objective heatwave exposure, eligible psychiatric service use, temporal counterfactual.",no
441,D0023885,More than a feeling: A global economic valuation of subjective wellbeing damages resulting from rising temperatures.,temperature,FULLTEXT_REVIEW,"Daily land-surface temperature is linked to repeated annual global surveys and a wellbeing change is stated, but the model's within-unit counterfactual and uncertainty are not described.",META_ELIGIBLE,"Original quantitative study uses objective daily land surface temperature and subjective wellbeing from nationally representative surveys across 160 countries over 13 years; reports significant 0.5% wellbeing loss per exceptional hot day, with temporal temperature variation.",no
442,D0023899,"Flooding, Sociospatial Risk, and Population Health",flood|cyclone,FULLTEXT_REVIEW,"Predisaster and postdisaster surveys linked to inundation are analyzed with difference-in-differences, but the abstract reports significance without an effect estimate or uncertainty.",META_ELIGIBLE,"Repeated cross-sectional pre/post Hurricane Harvey surveys linked to objective flood inundation; difference-in-differences models estimate flood effects on psychological distress and unhealthy mental health days, reporting significant adjusted effects.",no
446,D0024000,Neighborhood Disadvantage and the Association of Hurricanes Sandy and Harvey With Veterans' Mental Health,cyclone|flood,NARRATIVE_ONLY,"Veterans in hurricane-affected regions are followed for subsequent visits and compared by flooding or assistance status, but no pre-event outcome trend or credible before-after control is analyzed.",FULLTEXT_REVIEW,"Retrospective cohort uses FEMA-defined hurricane exposure and VHA acute mental health visits, but abstract does not specify whether Cox models used within-person pre/post exposure variation or only post-event flooded/assistance gradients. Exact overall hurricane HR and CIs are not reported, only subgroups.",yes
473,D0024756,Ambient temperature and the variability between neighbouring days impacts in-patient hospitalizations in the United Kingdom.,temperature,FULLTEXT_REVIEW,"Gridded temperature is linked to daily admissions and a mental-disorder OR with CI is reported, but the abstract omits the analytic design and temporal control specification.",META_ELIGIBLE,"Daily hospital admissions linked to UK Biobank with ambient temperature at 1x1 km; reports mental disorders hospitalization OR 1.08 (95% CI 1.00-1.16) during cold season using lagged daily temperature, indicating temporal exposure variation and extractable effect.",no
477,D0024811,Associations between wildfire smoke exposure and health-related quality of life: findings from the Lovelace Smokers Cohort,wildfire,NARRATIVE_ONLY,"Wildfire-smoke windows before a single questionnaire are associated with SF-36 mental-health scores, without a repeated pre-smoke outcome or within-person temporal counterfactual.",FULLTEXT_REVIEW,"Abstract supports objectively modeled wildfire smoke PM2.5/BC exposure and SF-36 mental health component, but does not establish whether participants had repeated outcome measures, pre-exposure baseline, or within-unit temporal variation versus cross-sectional exposure contrasts. Effect estimates and uncertainty are not shown in the abstract.",yes
486,D0026833,The effects of an acute stressor on depressive symptoms among older adults: The moderating effects of social support and age,flood,NARRATIVE_ONLY,"Pre- and post-flood depression are available, but the focal hazard variables are reported flood exposure and loss, with no objective flood linkage described.",FULLTEXT_REVIEW,"Abstract reports pre/post flood depression with prior depression control, but flood exposure source is undescribed (possibly self-reported flood loss), so objective/verifiable measurement cannot be confirmed. No effect size or uncertainty reported.",yes
489,D0028557,Climate and happiness,temperature,NARRATIVE_ONLY,Country-level happiness differences are related to largely climatic means and extremes; the abstract does not describe within-country temporal hazard variation or a credible event counterfactual.,FULLTEXT_REVIEW,"Panel of 67 countries links objective temperature/precipitation to self-reported happiness, an eligible wellbeing outcome, but abstract does not confirm country fixed effects or within-unit temporal identification, and no effect size/uncertainty is given; full text needed to establish credible counterfactual and extractable temperature-specific estimates.",yes
494,D0030595,Natural disasters and the oldest-old: A psychological perspective on coping and health in late life,cyclone,EXCLUDE,"This book chapter reviews aging, resilience, and coping and presents selected data from an existing study rather than a clearly reported original quantitative hazard-effect analysis.",FULLTEXT_REVIEW,"Pre/post hurricane assessments of self-reported health and well-being suggest a possible longitudinal natural experiment, but the abstract reports only comparable results without a quantitative hazard effect or uncertainty.",yes
497,D0030992,Quantifying the costs of drought: New evidence from life satisfaction data,drought,FULLTEXT_REVIEW,"Rainfall-defined drought is matched to individual life satisfaction and analyzed with fixed effects, but the abstract reports only an income-equivalent effect without statistical uncertainty.",META_ELIGIBLE,"Rainfall-matched drought exposure is objective and life satisfaction is an eligible wellbeing outcome. Fixed-effect models provide within-unit temporal counterfactual, and the abstract reports a quantitative drought effect (A$18,000 equivalent) that is extractable.",no
499,D0032400,"Stability, change, and the stability of change in daily workplace affect",cyclone,EXCLUDE,"The primary study concerns workplace affect dynamics and affect spin; the hurricane is an incidental interruption, and no hurricane effect on affect is reported.",FULLTEXT_REVIEW,"Daily affect is an eligible subjective wellbeing/affect outcome and the hurricane is an objective event interrupting a 21-day diary, suggesting possible longitudinal pre/post exposure. However, the abstract reports no hurricane-specific quantitative effect size or uncertainty, so effect extractability is unresolved.",yes
502,D0033399,"The impact of extreme heat on morbidity in Milwaukee, Wisconsin",temperature,FULLTEXT_REVIEW,"Meteorological and hospital data were modeled over 1989-2005, and self-harm admissions were heat-sensitive, but the abstract gives no self-harm-specific estimate with uncertainty.",META_ELIGIBLE,"Time-series GAM of daily hospital admissions 1989-2005 with objective meteorological temperature; self-harm admissions explicitly among causes affected and percent increase per degree above threshold was quantified, so an adjusted mental-health effect is extractable.",no
514,D0039823,Before and after a natural disaster: Disruption in emotion component of place-identity and wellbeing,wildfire,NARRATIVE_ONLY,"The analysis describes how the place-identity/wellbeing relationship changed after the fire, not a quantitative wildfire effect on wellbeing.",FULLTEXT_REVIEW,"Original quantitative before/after wildfire study with wellbeing outcome and objective fire exposure. Abstract reports only change in place-identity-wellbeing association, not a direct hazard effect on wellbeing with uncertainty; full text must establish extractable effect.",yes
523,D0043970,Evaluating wildfire exposure: Using wellbeing data to estimate and value the impacts of wildfire,wildfire,FULLTEXT_REVIEW,"A nationally representative longitudinal study used individual fixed effects and residential proximity to Black Saturday fires, but no life-satisfaction effect estimate with uncertainty is given.",META_ELIGIBLE,"Longitudinal individual fixed-effects study using nationally representative wellbeing data; estimates effect of residential proximity to the 2009 Black Saturday wildfires on life satisfaction, reporting a significant monetised effect and indicating an extractable adjusted estimate.",no
525,D0044689,The ecology of unsheltered homelessness: Environmental and social-network predictors of well-being among an unsheltered homeless population,temperature,EXCLUDE,"Temperature was not analyzed as the main exposure: general health was described by winter season, while emotional wellbeing was modeled against social conflict and other non-hazard factors.",FULLTEXT_REVIEW,"Fixed-effects regression and emotional well-being outcome are mentioned, but the abstract reports winter/cold-season associations only for general health, not for an eligible mental-health outcome, and does not confirm objective ambient-temperature measurement or a panel counterfactual.",yes
529,D0047550,The 2021 Western North American heat dome increased climate change anxiety among British Columbians: Results from a natural experiment,temperature,META_ELIGIBLE,"Pre- and post-heat-dome samples were analyzed as a natural experiment with measured climate anxiety; adjusted effect, standard error, and p-value are reported.",NARRATIVE_ONLY,"Two independent cross-sectional online surveys before and after the 2021 heat dome (n=439 and n=420); no within-person temporal exposure variation or concurrent unexposed control, so pre/post difference is not a credible counterfactual despite multivariable adjustment.",yes
532,D0049094,Climate change and depressive disorders in middle-aged and older people in China: A quasi-experimental study,temperature,FULLTEXT_REVIEW,"Hot-night and cold-spell effects on depressive disorders are reported with 95% CIs, but the abstract does not describe exposure data or the quasi-experimental identification strategy named in the title.",META_ELIGIBLE,"Quasi-experimental quantitative study of objectively measured temperature-related exposures (hot nights, cold spells) on depressive disorders in middle-aged/older Chinese adults; reports Excess Risk with 95% CIs, meeting all meta-analysis criteria.",no
536,D0049529,Does extreme temperature exposure take a toll on mental health? Evidence from the China Health and Retirement Longitudinal Study,temperature,FULLTEXT_REVIEW,"NOAA temperature exposure was linked to repeated cohort data with city, year, and individual fixed effects, but adjusted heat and cold effects lack uncertainty in the abstract.",META_ELIGIBLE,"Uses NOAA-based cumulative heat/cold days with CHARLS panel and individual, city, and year fixed effects; depression outcome. Reports significant adjusted effects: heat 1.75%, cold 3.00%.",no
549,D0053294,Economic factors mediate the impact of drought on farmer suicides in India,drought,FULLTEXT_REVIEW,"Temporal variation in drought was linked to a 19% increase in male farmer suicides, but the abstract omits the drought measure, data source, and effect uncertainty.",META_ELIGIBLE,"Abstract reports original temporal analysis of suicide occurrence showing droughts increase male farmer suicides by 19%, with insignificant impacts on other groups; drought is objective and suicide is eligible.",no
550,D0053576,Relationship between the Temperature-humidity Index of Twenty-four Solar Terms and Depression,temperature,FULLTEXT_REVIEW,"Official meteorological data and depression outpatient visits were modeled with Poisson and distributed-lag methods, but the supplied abstract ends before any effect result or uncertainty.",EXCLUDE,"Exposure is temperature-humidity index (Humidex), a composite of temperature and humidity, not a registered hazard in the strict list (ambient temperature alone). Time-series design and depression outcome would be eligible, but exposure is ineligible.",yes
554,D0054920,Impacts of hot and cold nights on mental disorders: A three-stage nationwide hospital-based time-series study with 1.2 million patients in China,temperature,FULLTEXT_REVIEW,"A multicity distributed-lag time series estimated hot- and cold-night mental-disorder burden, but the abstract omits the temperature data source and uncertainty for the reported attributable fractions.",META_ELIGIBLE,"Nationwide time-series study uses daily outpatient visits for mental disorders and objective temperature-derived hot/cold day/night indices. Distributed lag non-linear model estimated city-specific risks pooled by meta-analysis to obtain national effect estimates, with attributable fractions reported.",no
562,D0055810,The Impact of Eco-Anxiety and Extreme Weather Proximity on Young People’s Happiness and Life Satisfaction: A Natural Experiment,flood,FULLTEXT_REVIEW,"The article labels the 2021 flood analysis a natural experiment and compares wellbeing relationships before and after exposure, but gives no sampling, exposure-linkage, model, or uncertainty details.",EXCLUDE,"Abstract frames flood proximity as a moderator of the eco-anxiety–well-being association, not as the main exposure. It reports no direct quantitative effect of flood exposure on happiness or life satisfaction, so no extractable hazard–outcome estimate is present.",yes
567,D0056559,Urban heat island and the risk of schizophrenia spectrum disorders in middle-aged and older adults,temperature,NARRATIVE_ONLY,A prospective cohort related fixed long-term satellite UHI levels to incident schizophrenia; the abstract does not use within-person temporal heat variation or a quasi-experimental counterfactual.,EXCLUDE,"Schizophrenia spectrum disorders and schizophrenia are not among the eligible mental-health outcomes; abstract reports only incident SSD/schizophrenia diagnoses and brain structure changes, so outcome is ineligible.",no
573,D0057660,Examining individuals’ protective behavioral decision-making dynamics over repeated risks of heat waves in the American West,temperature,NARRATIVE_ONLY,"The two-wave panel describes changes in risk perception, efficacy, actions, and negative affect during repeated heat-wave risks; it does not estimate an objectively linked heat effect on mental health.",EXCLUDE,"Abstract focuses on protective behavioral decision-making constructs (risk perception, efficacy, negative affect, protective actions, negative experiences) over repeated heat waves, not an eligible mental-health or subjective wellbeing outcome. No hazard effect on mental health is estimated.",no
574,D0057685,"Hawaiʻi crisis center contacts related to the 2023 Maui wildfires, with monthly pre- and post-fire analyses",wildfire,NARRATIVE_ONLY,The study reports monthly proportions and trends among Maui-fire-related crisis contacts after the fire rather than estimating a wildfire effect against a pre-event outcome or credible control.,FULLTEXT_REVIEW,Original quantitative crisis-center contacts after 2023 Maui wildfires with mental health/suicidal outcome; title suggests monthly pre-post analysis but abstract reports only post-fire monthly proportions and no clear baseline comparison or hazard-specific effect with uncertainty.,yes
575,D0057798,Impact of hurricane maria on mental and physical health among puerto ricans: A matched difference-in-differences analysis,cyclone,FULLTEXT_REVIEW,"Matched difference-in-differences compared poor mental-health days before and after Maria against matched samples, but the 0.13-day effect is reported without uncertainty.",META_ELIGIBLE,Original DID study using BRFSS 2016-2018 estimates Hurricane Maria's effect on days of poor mental health among Puerto Ricans versus matched samples. Exposure is objectively verifiable; adjusted effect sizes and statistical significance are reported.,no
577,D0058932,The potential impact of urban overheating on depression symptoms among urban middle-aged and older adults: Evidence from China,temperature,FULLTEXT_REVIEW,Five-wave data linked annual UHI to CES-D using two-way fixed effects and an instrumental variable; effect magnitudes are given but uncertainty is not.,META_ELIGIBLE,"Longitudinal CHARLS panel with city-level objective UHI intensity, two-way fixed effects and IV; CES-D10 depression outcome; reports adjusted point estimates (0.44 and 1.05 per 1°C).",no
579,D0058948,The effects of home-country natural disasters on refugee mental health,flood,FULLTEXT_REVIEW,Six-wave refugee data used individual fixed effects and time-varying home-country disasters; a flood-specific K6 effect is quantified but no uncertainty is provided.,META_ELIGIBLE,"Longitudinal panel of refugees with six waves and fixed-effects regression; home-country natural disasters, concentrated in floods, as exposure; Kessler-6 psychological distress outcome; reports an adjusted effect size (0.019 SD increase). Abstract lacks uncertainty but indicates extractable adjusted effect.",no
582,D0059043,Impact of Prenatal Stress on Autonomic Nervous System Functioning and Psychopathology Risk in Early Childhood: The Harvey Mom Study,cyclone,NARRATIVE_ONLY,"Pregnant participants self-reported objective hardship and subjective distress after Harvey; no externally linked hurricane exposure was used, and child behavioral problems are not clearly an eligible mental-health endpoint.",EXCLUDE,"Outcomes are infant autonomic nervous system activity (RSA, HR) and parent-reported child behavioural problems; neither is an eligible mental-health outcome (depression, anxiety, distress, PTSD, suicide, etc.).",no
588,D0059552,Wildfire-sourced fine particulate matter and mental disorders in children and adolescents,wildfire,FULLTEXT_REVIEW,"Daily wildfire-specific PM2.5 effects on child mental-health ED visits are reported with uncertainty, but the abstract omits the smoke model, study design, and temporal comparison strategy.",META_ELIGIBLE,"Daily time-series of wildfire-specific PM2.5 and mental-health ED visits across 845 communities; reports lagged effect with CI (1.4%, 1.4-1.5% per 1 µg/m3), satisfying temporal variation and extractable estimate.",no
589,D0059580,"Adapting to the heat of the moment: A mobile experience sampling study on the dynamics of heat stress, appraisals, affect, and behaviour",temperature,NARRATIVE_ONLY,"Meteorological data were linked to intensive surveys, but reported results concern threat appraisal, warnings, and protective behavior; no heat effect on negative affect is presented.",FULLTEXT_REVIEW,"Uses meteorological heat and longitudinal EMA with within-person models, but abstract reports only heat→threat appraisal and affect/behaviour links; no heat-specific effect on an eligible mental-health outcome (affect) with uncertainty is shown.",yes
591,D0059838,Happiness on wheels: What makes cyclists happy?,cyclone,FULLTEXT_REVIEW,"An eight-week repeated diary modeled happiness after rides against official tropical-cyclone warning signals, but no cyclone-warning effect estimate or uncertainty is reported.",EXCLUDE,"Exposure is issuance of weather warnings (thunderstorm, rainstorm, tropical cyclone signal), not actual measured tropical cyclone or other registered natural hazard. Abstract lacks objective natural hazard exposure; warning signals are administrative forecasts, not climate hazard variation.",yes
592,D0059992,Exploring the effect of average daily temperature on acute episodes of psychiatric disorders in Shenzhen based on distributional lag nonlinear model,temperature,FULLTEXT_REVIEW,"Emergency mental-disorder episodes and meteorological data were analyzed with distributed-lag nonlinear models, but RRs are reported without CIs or other uncertainty.",META_ELIGIBLE,"Daily meteorological temperature data and emergency psychiatric episodes over 2013-2022 were analyzed with DLNM, providing temporal exposure variation and quantitative RR/CRR estimates with P<0.05.",no
599,D0067736,Influence of compensation satisfaction on change of health-related quality of life after a flood,flood,FULLTEXT_REVIEW,"A designated cohort had SF-36 data before the flood and repeated post-flood assessments, but the abstract focuses on compensation satisfaction and does not report a direct flood effect with uncertainty.",NARRATIVE_ONLY,"Single flood cohort has pre-event and post-event HRQOL/depression/PTSD data, but abstract analyzes compensation satisfaction as predictor of change and reports no flood hazard effect estimate; no hazard exposure variation or credible counterfactual for flood effect.",yes
601,D0069928,Pretrauma and posttrauma neurocognitive functioning and PTSD symptoms in a community sample of young adults,wildfire,EXCLUDE,The analysis treats fire-related PTSD symptoms as predictors of neurocognitive change among fire-exposed participants; it does not estimate the wildfire's effect on an eligible mental-health outcome.,NARRATIVE_ONLY,Abstract analyzes PTSD symptoms as predictors of neurocognitive change and pretrauma cognition as vulnerability factors in an exposed-only post-fire cohort; it does not estimate a fire hazard effect on mental health with a credible counterfactual or report an extractable hazard effect.,no
602,D0070013,Swept away: Use of general medical and mental health services among veterans displaced by Hurricane Katrina,cyclone,META_ELIGIBLE,Veterans in Katrina-affected regions were compared with same-month cohorts from the prior two years; adjusted models report large hurricane-period declines in mental-health and substance-use service use.,FULLTEXT_REVIEW,"Abstract uses VA administrative data comparing post-Katrina service use to prior-year cohorts, providing objective cyclone exposure and a temporal counterfactual for psychiatric service use. But reported adjusted effect is for any outpatient services; abstract does not give mental-health-specific estimate or uncertainty, so full text is needed to confirm extractable psychiatric service-use effect.",no
609,D0073285,Trends in adolescent health needs following Hurricane Katrina: Analysis from high ground,cyclone,META_ELIGIBLE,"Repeated school screening data span pre-Katrina, Katrina-year, and post-Katrina periods; adjusted comparisons report depression odds and 95% CIs against the pre-event period.",FULLTEXT_REVIEW,"Abstract reports before/during/after Hurricane Katrina comparison of GAPS screening data with adjusted OR for depression, but does not clarify whether the repeated cross-sectional design controlled for secular trends or used a credible counterfactual. Pre-post period comparison alone may not be causal; full text needed to verify design, exposure assignment, and adjustment.",no
616,D0077381,Childhood sleep patterns longitudinally predict later post-traumatic stress after Hurricane harvey,cyclone|flood,EXCLUDE,"The analysis estimates whether pre-hurricane sleep predicts post-Harvey PTSD and stress; hurricane adversity is only a control, and no hurricane hazard effect on mental health is estimated.",NARRATIVE_ONLY,"Longitudinal predictor study of pre-hurricane sleep and post-Harvey PTSD in 69 exposed youth; hurricane adversity is self-reported and only a covariate, with no hazard effect or counterfactual estimated.",no
621,D0078732,Short-term impacts of air temperature on hospitalizations for mental disorders in Lisbon,temperature,META_ELIGIBLE,"Daily temperature and mental-disorder admissions were analyzed with a distributed-lag quasi-Poisson time-series model adjusted for temporal and environmental confounders, with significant lagged effects reported.",FULLTEXT_REVIEW,"Original time-series study using quasi-Poisson GAM with DLNM to estimate daily mean temperature effects on mental disorder hospitalizations in Lisbon. Objective exposure and eligible psychiatric service use; abstract reports significant high-temperature association but omits numeric effect estimate/uncertainty, preventing META_ELIGIBLE; full text must confirm extractable adjusted RR/CI.",no
628,D0081912,"Cardiometabolic conditions and their risk factors among adults in Puerto Rico before and after hurricane maría, 2015-2019",cyclone,FULLTEXT_REVIEW,"A subset of 87 participants had repeated pre- and post-Maria psychosocial measures, but the abstract supplies only crude percentages and qualitative repeated-participant differences without an adjusted hurricane effect and uncertainty.",NARRATIVE_ONLY,"Abstract contrasts prevalence of depressive symptoms and perceived stress before (2015) and after (2019) Hurricane Maria using two cross-sectional samples and a small returning subset, reporting prevalence differences with p-values rather than estimating a hazard effect with a credible counterfactual. This is descriptive pre/post prevalence, not causal.",yes
629,D0081914,Health care access and health indicators in puerto rico pre-and post-hurricane maria: Analysis of data from 2015-2018 behavioral risk factor surveillance system,cyclone,FULLTEXT_REVIEW,"BRFSS depression was compared across three pre-Maria years and one post-Maria year, but the abstract does not report the depression result or establish that the repeated cross-sections support a credible hurricane counterfactual.",NARRATIVE_ONLY,Repeated cross-sectional BRFSS surveys pre/post Hurricane Maria with no within-person baseline or credible counterfactual; authors note compositional change from migration. Depression was listed as an outcome but no mental-health effect estimate is reported.,yes
642,D0091891,"Immediate and delayed effects of environmental temperature on schizophrenia admissions in Liuzhou, China, 2013-2020: a time series analysis",temperature,META_ELIGIBLE,"Daily mean temperature and schizophrenia admissions were analyzed over eight years with Poisson distributed-lag models, with statistically significant immediate and cumulative relative risks described.",FULLTEXT_REVIEW,"Time-series DLNM of daily mean temperature and schizophrenia admissions; reports relative risks and lag effects but abstract lacks numeric effect estimates and uncertainty, so extractable quantitative hazard effect requires full text.",no
652,D0094363,Prenatal heat and air pollution exposure alter progesterone and child behavior: A longitudinal study,temperature,NARRATIVE_ONLY,"Prenatal heat is represented by trimester exposure to summer and related to later child internalizing behavior, but the cohort has no pre-exposure outcome or quasi-experimental counterfactual and heat is confounded with season.",FULLTEXT_REVIEW,Prospective cohort reports beta/P for prenatal heat on child internalizing/externalizing. Abstract does not resolve whether heat used measured ambient temperature or only summer-month calendar proxy; outcome measure not confirmed as an eligible mental-health outcome; adjustment/identification strategy unclear.,yes
660,D0096170,High Temperature and Mental Health in 3.3 Million Adults Living in Barcelona Metropolitan Area: A 12-Year Time Series Analysis of Primary Care Data,temperature,META_ELIGIBLE,"A 12-year primary-care time series links Meteocat daily temperature to anxiety and depression diagnoses, prescriptions, and sick leave with distributed-lag models and reports percentage risk increases.",FULLTEXT_REVIEW,"Time-series analysis of objective daily temperature and primary care anxiety/depression outcomes (diagnoses, prescriptions, sick leave). Abstract reports effect sizes but no confidence intervals or standard errors; full text must confirm uncertainty for meta-analysis.",no
663,D0097311,Retrospective interrupted time-series evaluation of mental distress among transgender and gender diverse youth after Hurricane Ian (2022),cyclone,META_ELIGIBLE,"An ARIMA interrupted time series uses a full pre-Ian year, poststorm observations, and unexposed neighboring-state and non-TGD comparisons; suicide and self-harm changes are reported quantitatively.",FULLTEXT_REVIEW,"ARIMA interrupted time-series of Hurricane Ian with objective exposure and eligible mental health outcomes; reports percent change in text volume but no uncertainty or significance tests, so effect extractability is unresolved from abstract.",no
