dedup_id,title,abstract,year,journal,authors,sources,all_dois,candidate_topics,broad_screen_reason,broad_module_decisions
D0020751,"Association Between Extreme Heat and Outpatient Visits for Mental Disorders: A Time-Series Analysis in Guangzhou, China.","Previous evidence on heatwaves' impact on mental health outpatient visits is limited, especially uncertainty on how different heatwave definitions affect this relationship. In this time-series study, we assessed the association between heatwaves and outpatient visits for mental disorders in Guangzhou, China. Daily outpatient visits for mental disorders and its specific categories (schizophrenia, mood, and neurotic disorders) were sourced from the Urban Resident-based Basic Medical Insurance (URBMI) and the Urban Employee-based Basic Medical Insurance (UEBMI) claims databases in Guangzhou from 2010 to 2014. The study employed nine heatwave definitions, based on combinations of three daily mean temperature thresholds (90th, 92.5th, and 95th percentiles) and durations (2, 3, and 4 days). Using quasi-Poisson generalized linear models (GLMs), we estimated the risks (at lag 0 day) and cumulative effects (lag 0-10 days) of heatwaves on mental disorder outpatient visits. Age, gender, types of medical insurance were considered as potential effect modifiers. We observed a positive association between heatwaves and increased total outpatient visits for mental disorders, both at lag 0 day and during lag 0-10 days. The impact of heatwave was significant at lag 0 day for schizophrenia, mood and neurotic disorders visits, it remained significant for neurotic and mood disorders visits during lag 0-10 days. Heatwave durations lasting more than 4 days were associated with higher relative risks",2024,GeoHealth,Zhang H; Li X; Wang S; Wu T; Yang X; Wang N; Huang L; Feng Z; He Z; Wang Q,PubMed; Scopus,10.1029/2024gh001165,temperature,temperature: INCLUDE - Time-series study linking heatwaves to mental disorder outpatient visits in Guangzhou.,"{""temperature"":""INCLUDE""}"
D0020776,"Variable and dynamic associations between hot weather, thermal comfort, and individuals' emotional states during summertime","The effects of heat exposure on negative affect are thought to be central to the observed relationships between hot summer days and deleterious outcomes, such as violent crime or mental health crises. As these relationships are likely to be magnified by the effects of climate change, a better understanding of how consistent or variable the effects of hot weather on affective states is required. The current work combines data gathered from an ecological momentary assessment (EMA) study on individuals' thermal perceptions, comfort, and affective states in outdoor environments during their daily lives with high spatiotemporal resolution climate-modeled weather variables. Using these data, associations between objective weather variables (temperature, humidity, etc.), perceived heat (thermal perception and comfort), and affective states are examined. Overall, objective weather data reasonably predicted perception and comfort, but only comfort predicted negative affective states. The variance explained across individuals was generally very low in predicting negative affect or comfort, but within-person variance explained was high. In other words, while there may be a relatively consistent relationship between temperature and psychological experience for any given person, there are significant individual differences across people. Age and gender were examined as moderators of these relationships, and while gender had no impact, participant age showed several significant interactions. Specifically, while older adults tended to experience more thermal discomfort and perceived higher temperatures as hotter, the relationship between discomfort and negative affect was lower in older adults. Taken together, these results emphasize the importance of thermal discomfort specifically in predicting negative affect, as well as the high inter-individual variability in thermal perceptions and comfort for the same ambient temperatures.",2024,BMC psychology,"Meidenbauer, K.L.; Schertz, K.E.; Li, P.; Sharma, A.; Freeman, T.R.; Janey, E.A.; Stier, A.J.; Samtani, A.L.; Gehrke, K.; Berman, M.G.",Embase; PubMed; Scopus,10.1186/s40359-024-02005-z,temperature,temperature: INCLUDE - Repeated-measures EMA linking ambient heat to negative affect; eligible hazard and outcome.,"{""temperature"":""INCLUDE""}"
D0020934,Population-level effects of Hurricane Sandy on adolescent health,"Background: Disasters are increasing in frequency and intensity due to climate change. Youth are the largest and most vulnerable group exposed to disasters. More evidence is needed regarding how youth mental health and health behaviors vary based on disaster exposure, how mental health influences health behaviors, and how diverse groups of youth may be differentially affected. Methods: Using data from the Youth Risk Behavior Survey and Federal Emergency Management Agency, we examined the impact of Hurricane Sandy (2012) on mental health (sadness, suicidality) and health behaviors (substance use, physical activity, screen time, sexual behaviors) of 240,365 youth. Difference-in-differences regression analyses evaluated pre-disaster (2005–2011) and post-disaster (2013–2019) changes. Results: There were 83,442 (34.7 %) adolescents (51.2 % female, 18.1 % non-Hispanic White) located in 6 districts exposed to Hurricane Sandy and 156,923 (65.3 %) adolescents located in 13 non-exposed districts. Exposure was associated with differences in substance use, physical (in)activity, and risky sexual behaviors, but not mental health outcomes. Mental health did not moderate the association between disaster exposure and health behaviors. Hispanic adolescents and those identifying as Other races/ethnicities were most vulnerable to post-disaster negative health outcomes. Limitations: Study limitations include questionnaire design, cross-sectional data, sampling, and possible response biases. Conclusions: Findings provide critical information about youth mental health and health behaviors following disasters, as well as how youth may differ in their responses. Findings provide guidance for early identification and resource allocation for youth at higher risk for post-disaster health issues. (PsycInfo Database Record (c) 2024 APA, all rights reserved) (Source: journal abstract)",2024,Journal of Affective Disorders,"Lai, Betty S.; Riobueno-Naylor, Alexa; Baum, Christopher; Hawkins, S. S.",Embase; PsycINFO; PubMed; Scopus,10.1016/j.jad.2024.08.108,cyclone,cyclone: INCLUDE - DID study of Hurricane Sandy effects on youth sadness and suicidality,"{""cyclone"":""INCLUDE""}"
D0020997,Suicide deaths associated with climate change-induced heat anomalies in Australia: a time series regression analysis,"BACKGROUND: Although environmental determinants play an important role in suicide mortality, the quantitative influence of climate change-induced heat anomalies on suicide deaths remains relatively underexamined. OBJECTIVE: The objective is to quantify the impact of climate change-induced heat anomalies on suicide deaths in Australia from 2000 to 2019. METHODS: A time series regression analysis using a generalised additive model was employed to explore the potentially non-linear relationship between temperature anomalies and suicide, incorporating structural variables such as sex, age, season and geographic region. Suicide deaths data were obtained from the Australian National Mortality Database, and gridded climate data of gridded surface temperatures were sourced from the Australian Gridded Climate Dataset. FINDINGS: Heat anomalies in the study period were between 0.02°C and 2.2°C hotter than the historical period due to climate change. Our analysis revealed that approximately 0.5% (264 suicides, 95% CI 257 to 271) of the total 50 733 suicides within the study period were attributable to climate change-induced heat anomalies. Death counts associated with heat anomalies were statistically significant (p value 0.03) among men aged 55+ years old. Seasonality was a significant factor, with increased deaths during spring and summer. The relationship between high heat anomalies and suicide deaths varied across different demographic segments. CONCLUSIONS AND IMPLICATIONS: This study highlights the measurable impact of climate change-induced heat anomalies on suicide deaths in Australia, emphasising the need for increased climate change mitigation and adaptation strategies in public health planning and suicide prevention efforts focusing on older adult men. The findings underscore the importance of considering environmental factors in addition to individual-level factors in understanding and reducing suicide mortality.",2024,BMJ mental health,"Hertzog, L.; Charlson, F.; Tschakert, P.; Morgan, G.G.; Norman, R.; Pereira, G.; Hanigan, I.C.",Embase; PubMed; Scopus,10.1136/bmjment-2024-301131,temperature,temperature: INCLUDE - Time series regression links heat anomalies to suicide deaths in Australia.,"{""temperature"":""INCLUDE""}"
D0021000,Generalizability of Heat-related Health Risk Associations Observed in a Large Healthcare Claims Database of Patients with Commercial Health Insurance,"Background: Extreme ambient heat is unambiguously associated with a higher risk of illness and death. The Optum Labs Data Warehouse (OLDW), a database of medical claims from US-based patients with commercial or Medicare Advantage health insurance, has been used to quantify heat-related health impacts. Whether results for the insured subpopulation are generalizable to the broader population has, to our knowledge, not been documented. We sought to address this question, for the US population in California from 2012 to 2019. Methods: We examined changes in daily rates of emergency department encounters and in-patient hospitalization encounters for all-causes, heat-related outcomes, renal disease, mental/behavioral disorders, cardiovascular disease, and respiratory disease. OLDW was the source of health data for insured individuals in California, and health data for the broader population were gathered from the California Department of Health Care Access and Information. We defined extreme heat exposure as any day in a group of 2 or more days with maximum temperatures exceeding the county-specific 97.5th percentile and used a space-time-stratified case-crossover design to assess and compare the impacts of heat on health. Results: Average incidence rates of medical encounters differed by dataset. However, rate ratios for emergency department encounters were similar across datasets for all causes [ratio of incidence rate ratios (rIRR) = 0.989; 95% confidence interval (CI) = 0.969, 1.009], heat-related causes (rIRR = 1.080; 95% CI = 0.999, 1.168), renal disease (rIRR = 0.963; 95% CI = 0.718, 1.292), and mental health disorders (rIRR = 1.098; 95% CI = 1.004, 1.201). Rate ratios for inpatient encounters were also similar. Conclusions: This work presents evidence that OLDW can continue to be a resource for estimating the health impacts of extreme heat.",2024,Epidemiology,"Milando, C.W.; Sun, Y.; Romitti, Y.; Nori-Sarma, A.; Gause, E.L.; Spangler, K.R.; Sue Wing, I.; Wellenius, G.A.",Embase; PubMed; Scopus,10.1097/ede.0000000000001781,temperature,temperature: INCLUDE - Case-crossover study of extreme heat and mental/behavioral ED/inpatient encounters,"{""temperature"":""INCLUDE""}"
D0021032,"Examining the non-linear association between ambient temperature and mental health of elderly adults in the community: evidence from Guangzhou, China","The association between ambient temperature and mental health has been explored previously. However, research on the psychological effect of temperature in vulnerable groups and neighborhood scales have been scarce. Based on the survey and temperature data collected from 20 neighborhoods in Guangzhou, China, this study estimated the association between ambient temperature and community mental health among the elderly, adopting a fixed-effects methodology. According to this empirical analysis, compared to a comfortable temperature range of 20℃-25℃, measures of worse mental health among elderly were significant in high and low temperatures with increases in negative outcomes observable at both ends of the temperature range, leading to the U-shaped relationship. Second, the association between ambient temperature and worse mental health was found in the subcategories of gender, income, and symptom events. Specifically, from the hot temperature aspect, elderly males were more sensitive than elderly females. The effect on the low was far more than on the middle-high income group, and the probability of each symptom of the elderly's mental health significantly increased. From the cool temperature aspect, the temperature in the range of 5ºC-10ºC was significantly associated with the probability of some symptoms (feeling down, not calm, downheartedness, and unhappiness) and the middle-high income group. Our research enriches the empirical research on ambient temperature and mental health from a multidisciplinary perspective and suggests the need for healthy aging and age-friendly planning in Chinese settings.",2024,BMC public health,"Chen, Y.; Yuan, Y.",Embase; PubMed,10.1186/s12889-024-19511-9,temperature,temperature: INCLUDE - Fixed-effects study of ambient temperature and elderly mental health symptoms; eligible exposure and outcome.,"{""temperature"":""INCLUDE""}"
D0021082,"[""Is there a Link Between Heat Waves and Mental Health Emergencies in the Emergency Department?""].","There is evidence suggesting that climate change, coupled with an increase in the frequency and severity of heatwaves, affects mental health. The aim of this study was to investigate potential associations between high temperature and the utilization of an emergency department (ED) by individuals with psychiatric disorders. A retrospective analysis of all psychiatric emergency patients from 2015 to 2022 (N=15478) was conducted and compared with local temperature data. Particularly during heatwaves, more psychiatric emergency patients presented to the ED. Beyond the results identified during heatwaves, our extensive analysis of the examined ED revealed no additional significant effects of heat on psychiatric emergencies. This contradicts findings from other studies. Other systemic influences, such as the utilization of the ED during the Covid-19 pandemic, could have modified the results. Es gibt Hinweise, dass sich der Klimawandel, verbunden mit einer Zunahme der Häufigkeit und Schwere von Hitzeperioden, negativ auf die psychische Gesundheit auswirkt. Das Ziel dieser Studie war es, mögliche Zusammenhänge zwischen hohen Temperaturen und der Inanspruchnahme einer ZNA durch Menschen mit psychischen Erkrankungen zu untersuchen. Es wurde eine retrospektive Analyse aller psychiatrischen Notfallpatienten im Zeitraum von 2015 bis 2022 (N=15478) durchgeführt und den lokalen Temperaturdaten gegenübergestellt. Während Hitzeperioden stellten sich mehr psychiatrische Notfallpatienten in de",2024,Psychiatrische Praxis,Kirchner H; Ullrich H; Hulsmans N; Brzoska P; Pajonk FB,Embase; PsycINFO; PubMed; Scopus,10.1055/a-2339-4967,temperature,"temperature: INCLUDE - Retrospective analysis links heatwaves to psychiatric emergency visits, an eligible outcome.","{""temperature"":""INCLUDE""}"
D0021197,Predicting Post-Disaster Post-Traumatic Stress Disorder Symptom Trajectories: The Role of Pre-Disaster Traumatic Experiences,"The mental health impact of disasters is substantial, with 30–40% of direct disaster victims developing post-traumatic stress disorder (PTSD). It is not yet clear why some people cope well with disaster-related trauma while others experience chronic dysfunction. Prior research on non-disaster trauma suggests that an individual’s history of traumatic experiences earlier in the life course, prior to the disaster, may be a key factor in explaining variability in psychological responses to disasters. This study evaluated the extent to which pre-disaster trauma predicts PTSD trajectories in a sample of Hurricane Katrina survivors followed for 12 years after the storm. Four PTSD trajectories were identified using latent class growth analysis: Resistant (49.0%), Recovery (29.3%), Delayed-Onset (8.0%), and Chronic–High (13.7%). After adjusting for covariates, pre-Katrina trauma had only a small, positive impact on the probability of long-term, chronic Katrina-specific PTSD, and little effect on the probability of the Resistant and Delayed-Onset trajectories. Higher pre-Katrina trauma exposure moderately decreased the probability of being in the Recovery trajectory, in which Katrina-specific PTSD symptoms are initially high before declining over time. When covariates were added to the model one at a time, the association between pre-Katrina trauma and Chronic–High PTSD was attenuated most by the addition of Katrina-related trauma. Our findings suggest that while pre-disaster trauma exposure does not have a strong direct effect on chronic Katrina-specific PTSD, pre-Katrina trauma may impact PTSD through other factors that affect Katrina-related PTSD, such as by increasing the severity of Katrina-related trauma. These findings have important implications for the development of disaster preparedness strategies to diminish the long-term burden of disaster-related PTSD.",2024,International Journal of Environmental Research and Public Health,"Johnson, S.T.; Mason, S.M.; Erickson, D.; Slaughter-Acey, J.C.; Waters, M.C.",Embase; PubMed; Scopus,10.3390/ijerph21060749,cyclone,cyclone: INCLUDE - Longitudinal cohort of Hurricane Katrina survivors assessing PTSD trajectories over 12 years.,"{""cyclone"":""INCLUDE""}"
D0021230,2023 Wildfires in Canada: Living in Wildfire Regions in Alberta and Nova Scotia Doubled the Odds for Residents to Experience Likely Generalized Anxiety Disorder Symptoms,"Background: Wildfires have become increasingly prevalent in various regions, resulting in substantial environmental and psychological consequences that have garnered increasing attention. Objective: This study aims to examine the prevalence of likely Generalized Anxiety Disorder (GAD) and explore the determinants of likely GAD during the wildfires in Alberta and Nova Scotia. Methods: Data were collected online through a cross-sectional survey from 14 May–23 June 2023. Alberta and Nova Scotia participants self-subscribed to the program by texting ‘HopeAB’ or ‘HopeNS’ to a short code, respectively. The GAD-7–validated tool was used to collect information on likely GAD. Results: This study included 298 respondents while one hundred and twelve respondents lived in a region of Alberta/Nova Scotia affected by the wildfires (37.7%). The prevalence of likely GAD among the respondents was 41.9%. Respondents who lived in a region of Alberta/Nova Scotia recently impacted by the wildfires were twice as likely to experience GAD symptoms (OR = 2.4; 95% C.I. 1.3–4.3). Conclusions: The study’s identification of a statistically significant relationship between residing in a wildfire-impacted region and likely GAD shows the association between environmental and psychological well-being. However, the relatively small sample size and self-reported assessment of GAD symptoms may limit the generalizability of the findings. Further research involving a larger sample size delving into potential predictors could facilitate strategies for mitigating the mental health consequences of natural disasters.",2024,Journal of Clinical Medicine,"Obuobi-Donkor, G.; Shalaby, R.; Agyapong, B.; da Luz Dias, R.; Agyapong, V.I.O.",Embase; PubMed; Scopus,10.3390/jcm13113234,wildfire,"wildfire: INCLUDE - Cross-sectional survey reports higher GAD odds in wildfire-affected regions; exposure, outcome, and comparison clear.","{""wildfire"":""INCLUDE""}"
D0021236,"Short-term effects of temperature-related indices on emergency ambulance dispatches due to mental and behavioral disorders in Shenzhen, China","Introduction: The precise associations between temperature-related indices and mental and behavioral disorders (MBDs) have yet to be fully elucidated. Our study aims to ascertain the most effective temperature-related index and assess its immediate impact on emergency ambulance dispatches (EADs) due to MBDs in Shenzhen, China. Methods: EADs data and meteorological data from January 1, 2013, to December 31, 2020, in Shenzhen were collected. Distributed lag non-linear models (DLNMs) were utilized to examine the non-linear and lagged effects of temperature-related indices on EADs due to MBDs. The Quasi Akaike Information criterion (QAIC) was used to determine the optimal index after standardizing temperature-related indices. After adjusting for confounding factors in the model, we estimated the immediate and cumulative effects of temperature on EADs due to MBDs. Results: The analysis of short-term temperature effects on EADs due to MBDs revealed Humidex as the most suitable index. Referring to the optimal Humidex (3.2th percentile, 12.00°C), we observed a significant effect of Humidex over the threshold (34.6th percentile, 26.80°C) on EADs due to MBDs at lag 0–5. The cumulative relative risks for high temperature (90th percentile, 41.90°C) and extreme high temperature (99th percentile, 44.20°C) at lag 0–5 were 1.318 (95% CI: 1.159–1.499) and 1.338 (95% CI: 1.153–1.553), respectively. No significant cold effect was observed on EADs due to MBDs. Conclusion: High Humidex was associated with more EADs due to MBDs in subtropical regions. Health authorities should implement effective measures to raise public awareness of risks related to high temperature and protect vulnerable populations. (PsycInfo Database Record (c) 2025 APA, all rights reserved) (Source: journal abstract)",2024,Frontiers in Public Health,"Yin, Ziming; Jingesi, Maidina; Yin, Zhao; Chen, Siyi; Huang, Suli; Cheng, Jinquan; Li, Xiaoheng; Liu, Ning; Wang, Peng; Yin, Ping; Jiang, Hongwei",Embase; PsycINFO; PubMed; Scopus,10.3389/fpubh.2024.1343550,temperature,temperature: INCLUDE - Time-series DLNM study of ambient Humidex effects on emergency ambulance dispatches for mental/behavioral disorders.,"{""temperature"":""INCLUDE""}"
D0021251,Examining recurrent hurricane exposure and psychiatric morbidity in Medicaid-insured pregnant populations.,"The wide-ranging mental health consequences of a major hurricane have been widely documented, but important gaps remain in understanding the mental health burden of recurrent exposure to multiple hurricanes. The objective of this study was to examine the mental health burden in at-risk pregnant populations recurrently exposed to major hurricanes Matthew (2016), Florence (2018), Michael (2018), and Dorian (2019). Daily emergency department (ED) admissions were obtained on pregnant Medicaid beneficiaries for incident maternal disorders of pregnancy (MDP), perinatal mood and anxiety disorders (PMAD), severe mental illness (SMI), and substance use (SUD). County-level hurricane exposure was derived from a novel meteorologic-based Hurricane Insurance Protection- Wind Index (HIP-WI) metric. A difference-in-difference analysis assessed county-level changes in ED-related visits for psychiatric morbidity in pregnant populations following single hurricane events and a marginal Generalized Estimating Equation model assessed the cumulative impact of recurrent county-level hurricane exposure. A total of 258,157 (59.0%) pregnant cases were exposed to no storms, 113,157 (25.8%) were exposed to one storm, and 66,407 (15.2%) were exposed to two or more storms. Results showed higher risks for MDP after Matthew (RR: 1.83, 95%CI: 1.53, 2.18) and after Florence (RR: 1.09, 95%CI: 0.99, 1.19); higher risk of SMI (RR: 1.46, 95%CI: 1.11, 1.91) and PMAD (RR: 1.52, 95%CI: 1.32, 1.74) after Matthew. Comp",2024,PLOS mental health,Herbst K; Malmin NP; Paul S; Williamson T; Sugg MM; Schreck CJ; Runkle JD,PubMed; Scopus,10.1371/journal.pmen.0000040,cyclone,cyclone: INCLUDE - Hurricane exposure linked to psychiatric ED visits in pregnant populations via difference-in-difference design.,"{""cyclone"":""INCLUDE""}"
D0021270,"Climate change anxiety, hurricane exposure, and climate change actions and attitudes: results from a representative, probability-based survey of US Gulf Coast residents","Background: Exposure to climate change-related threats (eg, hurricanes) has been associated with mental health symptoms, including post-traumatic stress symptoms. Yet it is unclear whether climate change anxiety, which is understudied in representative samples, is a specific mental health threat, action motivator, or both, particularly in populations exposed to climate-change related disasters. We sought to examine the associations between exposure to hurricanes, climate change anxiety, and climate change actions and attitudes in a representative sample of US Gulf Coast residents. Methods: This study used data from a 5-year, representative, prospectively assessed, probability-based, longitudinal cohort sample of residents in Texas and Florida (USA) exposed to exogenous catastrophic hurricanes rated category 3 or greater. Participants were adults aged 18 years and older and were initially recruited from the Ipsos KnowledgePanel in the 60 h before Hurricane Irma (Sept 8–11, 2017). Relationships between climate change anxiety, hurricane exposure, hurricane-related post-traumatic stress symptoms, general functional impairment, and climate change-related individual-level actions (eg, eating a plant-based diet and driving more fuel efficient cars) and collective-level actions (eg, petition signing and donating money) and climate change action attitudes were evaluated using structural equation modelling. Findings: The final survey was completed by 1479 individuals (787 [53·2%] women and 692 [46·8%] men). Two climate change anxiety subscales (cognitive-emotional impairment and perceived experience of climate change) were confirmed using confirmatory factor analysis. Mean values were low for both climate change anxiety subscales: cognitive-emotional impairment (mean 1·31 [SD 0·63], range 1–5) and perceived climate change experience (mean 1·67 [SD 0·89], range 1–5); these subscales differentially predicted outcomes. The cognitive-emotional impairment subscale did not significantly correlate with actions or attitudes; its relationship with general functional impairment was attenuated by co-occurring hurricane-related post-traumatic stress symptoms, which were highly correlated with general functional impairment in all three models (all p<0·0001). The perceived climate change experience subscale correlated with climate change attitudes (b=0·57, 95% CI 0·47–0·66; p<0·0001), individual-level actions (b=0·34, 0·21–0·47; p<0·0001), and collective-level actions (b=0·22, 0·10–0·33; p=0·0002), but was not significantly associated with general functional impairment in any of the final models. Hurricane exposure correlated with climate change-related individual-level (b=0·26, 0·10–0·42; p=0·0011) and collective-level (b=0·41, 0·26–0·56; p<0·0001) actions. Interpretation: Expanded treatment for post-traumatic stress symptoms after disasters could help address climate change-related psychological distress; experiences with climate change and natural hazards could be inflection points to motivate action. Funding: National Science Foundation and the National Center for Atmospheric Research.",2024,The Lancet Planetary Health,"Garfin, D.R.; Wong-Parodi, G.",Embase; PubMed; Scopus,10.1016/s2542-5196(24)00100-1,cyclone,cyclone: INCLUDE - Longitudinal cohort examining hurricane exposure with climate change anxiety and PTSD outcomes.,"{""cyclone"":""INCLUDE""}"
D0021291,Association of Psychiatric Emergency Visits and Warm Ambient Temperature during Pregnancy: A Time-Stratified Case-Crossover Study,"BACKGROUND: Acute exposure to high ambient temperature and heat waves during the warm season has been linked with psychiatric disorders. Emerging research has shown that pregnant people, due to physiological and psychological changes, may be more sensitive to extreme heat, and acute exposure has been linked to increased risk of pregnancy complications; however, few studies have examined psychiatric complications. OBJECTIVE: Our objective was to examine the association between acute exposure to warm ambient temperatures and emergency department (ED) visits for mental disorders during pregnancy. METHODS: A time-stratified case-crossover design with conditional logistic regression was performed on ∼206,000 psychiatric ED visits for pregnant patients in North Carolina, from May to September 2016 to 2019. Daily average ambient temperature was the main exposure and was linked to daily visits by maternal zip code of residence for prenatal mood and anxiety disorders (PMAD), severe mental illness (SMI), mental disorder of pregnancy (MDP), suicidal thoughts (SUIC), and any psychiatric disorder (Any). Effect modification by trimester, residential segregation, economic segregation, urbanicity, and availability of greenspace was also investigated. RESULTS: Each 5°C increase in same-day exposure to warm ambient temperature on case days was associated with an increase in incidence rate ratio (IRR) for any psychiatric disorder [IRR = 1.07; 95% confidence interval (CI): 1.01, 1.14] including anxiety (IRR = 1.14; 95% CI: 1.00, 1.30), bipolar disorder (IRR = 1.28; 95% CI: 0.98, 1.67), and suicidal thoughts (IRR = 1.28; 95% CI: 1.00, 1.65) compared to control days. In general, the associations were strongest for warm season temperatures on the same day of exposure or for temperatures averaged over the 3 or 6 d preceding the ED visit. The greatest risk of an incident ED admission for PMAD (RR = 1.20; 95% CI: 1.04, 1.39), particularly for anxiety (RR = 1.30; 95% CI: 1.07, 1.59), and any psychiatric disorder (RR = 1.17; 95% CI: 1.07, 1.28) occurred following cumulative exposure to hot temperatures the week before admission. Higher psychiatric burden from temperature was observed in urban areas and on extreme heat days. CONCLUSIONS: For this pregnant population in the southeastern United States, short-term exposure to high ambient temperatures during the warm season was associated with a greater risk of ED visits for an array of psychiatric disorders. Findings show that climate-related increases in ambient temperature may contribute to psychiatric morbidity in pregnant people. https://doi.org/10.1289/EHP13293.",2024,Environmental Health Perspectives,"Runkle, J.D.; Sugg, M.M.; Berry, A.; Reed, C.; Cowan, K.; Wertis, L.; Ryan, S.",Embase; PubMed; Scopus,10.1289/ehp13293,temperature,temperature: INCLUDE - Time-stratified case-crossover study links warm ambient temperature to psychiatric ED visits during pregnancy.,"{""temperature"":""INCLUDE""}"
D0021354,Crisis response in Texas youth impacted by Hurricane Harvey: A difference-in-differences analysis,"Background: Hurricane Harvey was the second costliest storm to impact the U.S. More research is needed to understand the mental health consequences of these extreme events in children and adolescents extending beyond the acute recovery period. Methods: Daily anonymized Crisis Text Line (CTL) conversations were used to understand patterns in crisis responses for youth one year before and after Harvey's landfall. A quasi-experimental difference-in-differences analysis compared changes in texts for stress/anxiety, depression, thoughts of suicide, and self-harm following Harvey between exposed and unexposed youth in Texas. Results: CTL users with Texas-based area codes (N = 23,016) were compriesd largely of youth who self-identified as female (78.1 %), 14–17 year old (50.4 %), white (38.9 %), and LGBTQ+ (51.2 %). We observed parallel increases in crisis texts for depression and thoughts of suicide in most months following Harvey among exposed and unexposed youth. However, non-impacted youth had significantly larger increases in texts for depression up to three months post-Harvey and thoughts of suicide one year after Harvey compared to directly impacted communities. Limitations: Sample size was restricted to texters who completed the post-conversation demographics survey, who may fundamentally differ from those who declined to respond. Harvey exposure was determined using texter area code and county-level disaster declarations, limiting our ability to guarantee individual-level exposure. Conclusions: Texas youth traditionally considered unexposed experienced nearly identical increases in concerns of depression and thoughts of suicide to those directly exposed. Findings suggest spillover effects (e.g., economic concerns, media exposure) may contribute to statewide impacts on youth mental health after natural disasters. (PsycInfo Database Record (c) 2024 APA, all rights reserved) (Source: journal abstract)",2024,Journal of Affective Disorders,"Williamson, Trey; Sugg, Margaret M.; Singh, Devyani; Green, Shannon; Runkle, Jennifer D.",Embase; PsycINFO; PubMed; Scopus,10.1016/j.jad.2024.05.080,cyclone,cyclone: INCLUDE - Hurricane Harvey exposure; DiD comparing crisis text outcomes in youth.,"{""cyclone"":""INCLUDE""}"
D0021360,"Private vs. public emergency visits for mental health due to heat: An indirect socioeconomic assessment of heat vulnerability and healthcare access, in Curitiba, Brazil","Few studies have explored the influence of socioeconomic status (SES) on the heat vulnerability of mental health (MH) patients. As individual socioeconomic data was unavailable, we aimed to fill this gap by using the healthcare system type as a proxy for SES. Brazilian national statistics indicate that public patients have lower SES than private. Therefore, we compared the risk of emergency department visits (EDVs) for MH between patients from both healthcare types. EDVs for MH disorders from all nine public (101,452 visits) and one large private facility (154,954) in Curitiba were assessed (2017–2021). Daily mean temperature was gathered and weighed from 3 stations. Distributed-lag non-linear model with quasi-Poisson (maximum 10-lags) was used to assess the risk. We stratified by private and public, age, and gender under moderate and extreme heat. Additionally, we calculated the attributable fraction (AF), which translates individual risks into population-representative burdens – especially useful for public policies. Random-effects meta-regression pooled the risk estimates between healthcare systems. Public patients showed significant risks immediately as temperatures started to increase. Their cumulative relative risk (RR) of MH-EDV was 7.5 % higher than the private patients (Q-Test 26.2 %) under moderate heat, suggesting their particular heat vulnerability. Differently, private patients showed significant risks only under extreme heat, when their RR became 4.3 % higher than public (Q-Test 6.2 %). These findings suggest that private patients have a relatively greater adaptation capacity to heat. However, when faced with extreme heat, their current adaptation means were potentially insufficient, so they needed and could access healthcare freely, unlike their public counterparts. MH patients would benefit from measures to reduce heat vulnerability and access barriers, increasing equity between the healthcare systems in Brazil. AF of EDVs due to extreme heat was 0.33 % (95%CI 0.16;0.50) for the total sample (859 EDVs). This corroborates that such broad population-level policies are urgently needed as climate change progresses.",2024,Science of the Total Environment,"Corvetto, J.F.; Helou, A.Y.; Kriit, H.K.; Federspiel, A.; Bunker, A.; Liyanage, P.; Costa, L.F.; Müller, T.; Sauerborn, R.",Embase; PubMed; Scopus,10.1016/j.scitotenv.2024.173312,temperature,temperature: INCLUDE - Time-series DLNM analysis of heat and mental health emergency visits,"{""temperature"":""INCLUDE""}"
