source_row,dedup_id,title,year,journal,candidate_topics,gpt_decision,gpt_reason,deepseek_decision,deepseek_reason,recommended_action
212,D0013644,"A cross-lagged panel analysis of children's sleep, attention, and mood in a prenatally stressed cohort: The QF2011 Queensland flood study",2019,Journal of Affective Disorders,flood,NARRATIVE_ONLY,"Disaster-related prenatal stress was reported after the flood, and anxious/depressed symptoms were measured only at child ages 2.5 and 4 years without a pre-event outcome.",NARRATIVE_ONLY,"Post-flood cohort with child outcomes only at ages 2.5 and 4; no pre-event child mental-health baseline. Exposure is a severity gradient in objective prenatal flood hardship, not a credible counterfactual. Cross-lagged analysis among child symptoms lacks a hazard-specific effect on an eligible mental-health outcome.",DO_NOT_ADVANCE_MAIN_META
213,D0013696,The immediate and lasting impact of Hurricane Sandy on pregnancy complications in eight affected counties of New York State,2019,Science of the Total Environment,cyclone,FULLTEXT_REVIEW,"Sandy periods were compared with corresponding periods in other years, but the mental-illness increase is reported without an effect interval or outcome detail.",FULLTEXT_REVIEW,Time-series study of Hurricane Sandy compares ED visits during Sandy to non-Sandy periods; mental illness ED visits increased 33.2% but no CI/adjusted effect is reported. Need full text to confirm psychiatric service use outcome and extractable effect with uncertainty.,FULLTEXT_REVIEW
214,D0013800,"Examining the association between apparent temperature and admissions for schizophrenia in Hefei, China, 2005–2014: A time-series analysis",2019,Science of the Total Environment,temperature,META_ELIGIBLE,A distributed-lag time-series analysis relates apparent temperature to schizophrenia hospitalizations and reports lag-specific RRs with 95% CIs.,META_ELIGIBLE,"Time-series study using apparent temperature as objective exposure and schizophrenia hospitalizations as psychiatric service use; Poisson DLNM reports RRs with 95% CIs, satisfying causal meta-analysis criteria.",PRIORITY_FULLTEXT
215,D0013871,Crisis support-seeking behavior and temperature in the United States: Is there an association in young adults and adolescents?,2019,Science of the Total Environment,temperature,FULLTEXT_REVIEW,"Daily maximum and minimum temperature were analyzed with distributed-lag models against crisis texts, but no numerical effect or uncertainty is reported.",FULLTEXT_REVIEW,"Time-series DLNM uses daily objective temperature and crisis mental-health service contacts, giving credible temporal variation. However, abstract reports only significant positive associations without effect sizes or uncertainty, so quantitative estimates must be verified in full text.",FULLTEXT_REVIEW
216,D0014028,Ambient temperature and associations with daily visits to a psychiatric emergency unit in Sweden,2019,International Journal of Environmental Research and Public Health,temperature,META_ELIGIBLE,A case-crossover distributed-lag analysis uses daily mean temperature and psychiatric emergency visits and reports warm- and cold-season effects with 95% CIs.,META_ELIGIBLE,"Case-crossover with distributed lag non-linear models using objectively measured daily mean temperature and daily psychiatric emergency visits. Reports hazard-specific percent increases with CIs for high and low temperature, satisfying causal counterfactual and extractable quantitative effect.",PRIORITY_FULLTEXT
217,D0014064,After the Fort McMurray wildfire there are significant increases in mental health symptoms in grade 7–12 students compared to controls,2019,BMC Psychiatry,wildfire,NARRATIVE_ONLY,"Students in the wildfire community were surveyed 18 months afterward and compared with a different city surveyed in a different year, with no pre-fire outcome baseline.",NARRATIVE_ONLY,"Post-wildfire Fort McMurray 2017 survey is compared with Red Deer 2014 controls; exposed outcomes are measured only after the event with no pre-event baseline, so affected-vs-unaffected comparison is not a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
218,D0014134,Infant Temperament: Repercussions of Superstorm Sandy-Related Maternal Stress.,2019,Child psychiatry and human development,cyclone,EXCLUDE,"The measured child outcomes are infant temperament, negative affect, and emotion regulation rather than a stated mental-health or subjective-wellbeing outcome.",EXCLUDE,"Outcome is infant temperament (negative affect, emotion regulation) at 6 months, which is not in the eligible mental-health outcome list. Exposure also relies on maternal self-report of storm stress.",DO_NOT_ADVANCE_MAIN_META
219,D0014357,Predictors of child resilience in a community-based cohort facing flood as natural disaster,2020,BMC Psychiatry,flood,NARRATIVE_ONLY,A questionnaire six months after flooding models maternal and child predictors of reported resilience; it does not estimate a flood effect using a temporal counterfactual.,NARRATIVE_ONLY,"Child resilience was assessed once 6 months post-flood by mother-report and compared across more vs less/not exposed children. No pre-event outcome or credible counterfactual; reports predictors, not a hazard effect with uncertainty.",DO_NOT_ADVANCE_MAIN_META
220,D0014393,The dynamic course of psychological outcomes following the Victorian Black Saturday bushfires,2021,Australian and New Zealand Journal of Psychiatry,wildfire,NARRATIVE_ONLY,"The exposed cohort was first assessed 3-4 years after the bushfires and followed thereafter, so symptom trajectories lack a pre-fire outcome baseline or changing hazard exposure.",NARRATIVE_ONLY,"Longitudinal post-disaster cohort of Black Saturday survivors measured at 3-4, 5, and 10 years after fires; no pre-fire baseline or unaffected counterfactual, only post-event trajectories and prevalence. Does not estimate a causal hazard effect.",DO_NOT_ADVANCE_MAIN_META
221,D0014471,Predisaster predictors of posttraumatic stress symptom trajectories: An analysis of lowincome women in the aftermath of Hurricane Katrina,2020,PLoS ONE,cyclone,NARRATIVE_ONLY,"Although assessments span pre- and post-Katrina, the analysis identifies PTSS trajectories and tests predisaster vulnerability predictors rather than estimating the hurricane effect.",NARRATIVE_ONLY,"Study uses a Hurricane Katrina cohort with predisaster baseline and three postdisaster waves but models latent PTSS trajectories and predisaster predictors, adjusting for disaster exposure; no quantitative hazard effect on mental health is reported. Descriptive/predictor analysis, unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
222,D0014509,Suicide and apparent temperature in the two capitals cities in the Iberian Peninsula,2020,Social Science & Medicine,temperature,FULLTEXT_REVIEW,"A time-series lag model reports a suicide RR of 2.7 at 38 C in Lisbon but gives no corresponding CI, SE, or exact p-value.",META_ELIGIBLE,"Time-series study using objective Apparent Temperature and suicide. Quasi-Poisson DLNM reports statistically significant RR 2.7 at 38°C vs 20.62 at 7-day lag, providing an extractable adjusted effect.",FULLTEXT_REVIEW
223,D0014521,"Socioeconomic level and associations between heat exposure and all-cause and cause-specific hospitalization in 1,814 Brazilian cities: A nationwide case-crossover study",2020,PLoS Medicine,temperature,META_ELIGIBLE,Daily weather and hospitalization data were analyzed in time-stratified case-crossover models; the mental-health hospitalization effect is reported with a 95% CI.,META_ELIGIBLE,Uses daily weather data for heat exposure in a time-stratified case-crossover design and reports heat-related hospitalization for mental health conditions with 95% CI: 17.2% (8.4–26.8) in LMI cities and 5.5% (-1.4 to 13.0) in HI cities per 5°C increase. Meets all target criteria.,PRIORITY_FULLTEXT
224,D0014583,Positive cognitive appraisal “buffers” the long-term effect of peritraumatic distress on maternal anxiety: The Queensland Flood Study,2021,Journal of Affective Disorders,flood,NARRATIVE_ONLY,Post-flood symptom trajectories are related mainly to reported peritraumatic distress and appraisal; pre-disaster anxiety was not controlled and no external exposure linkage is stated.,NARRATIVE_ONLY,"All participants were exposed to the 2011 Queensland flood during pregnancy; outcomes were measured only after childbirth (16 months to 6 years) with no pre-disaster mental health baseline. Self-reported peritraumatic distress and appraisal were the significant predictors, while objective flood hardship was null; no credible counterfactual or hazard-specific extractable effect.",DO_NOT_ADVANCE_MAIN_META
225,D0014664,"Quasi-experimental evaluation of text-based crisis patterns in youth following Hurricane Florence in the Carolinas, 2018",2021,Science of the Total Environment,cyclone,META_ELIGIBLE,An interrupted time series evaluates crisis-text changes around Hurricane Florence and reports percentage changes with SEs and p-values for anxiety/stress and suicidal thoughts.,META_ELIGIBLE,"Retrospective interrupted time-series of crisis text volume before and after Hurricane Florence. Reports immediate and sustained increases for stress/anxiety, depression, and suicidal thoughts with SE and p values; objective cyclone exposure and credible pre-post counterfactual.",PRIORITY_FULLTEXT
226,D0014716,A life‐course model of trauma exposure and mental health among low‐income survivors of Hurricane Katrina,2020,Journal of Traumatic Stress,cyclone,NARRATIVE_ONLY,The path model estimates effects of life-course traumatic events on symptoms in Katrina survivors rather than a hurricane hazard effect.,NARRATIVE_ONLY,Abstract describes a path model of self-reported lifetime and disaster trauma exposure predicting PTSS and distress among Katrina survivors. It does not report objective hurricane hazard variation or a hazard effect on mental health.,DO_NOT_ADVANCE_MAIN_META
227,D0014778,Association between ambient temperature and injury by intentions and mechanisms: A case-crossover design with a distributed lag nonlinear model,2020,Science of the Total Environment,temperature,FULLTEXT_REVIEW,"A time-stratified case-crossover study finds intentional self-harm increased at high temperatures, but no self-harm-specific effect estimate or uncertainty is given.",FULLTEXT_REVIEW,"Temperature case-crossover with DLNM uses emergency injury data and mentions self-harm among intentional injuries, but abstract reports only combined 'self-harm and assault' significant at high temperatures without a self-harm-specific estimate or uncertainty.",FULLTEXT_REVIEW
228,D0014788,Extremes in water availability and suicide: Evidence from a nationally representative sample of rural Indian adults,2020,Environmental Research,drought,META_ELIGIBLE,"SPEI from precipitation and temperature data varies within districts over 13 years in fixed-effects models, with suicide effects and 95% CIs reported.",META_ELIGIBLE,"District fixed-effects Poisson model uses SPEI from precipitation/temperature as objective drought/water-availability exposure and reports suicide effect sizes with 95% CIs (wet: 18.7% [6.2,31.2]; dry: 3.6% [-17.9,25.0]).",PRIORITY_FULLTEXT
229,D0014835,The effect of temperature on cause-specific mental disorders in three subtropical cities: A case-crossover study in China,2020,Environment International,temperature,META_ELIGIBLE,A case-crossover DLNM relates ambient temperature to diagnosed mental-disorder morbidity and reports disorder- and city-specific ORs with 95% CIs.,META_ELIGIBLE,"Case-crossover study with distributed lag nonlinear model uses daily psychiatric hospital morbidity and ambient temperature as objective exposure. Reports cause-specific mental disorder ORs with 95% CIs for cold and heat, meeting eligibility criteria.",PRIORITY_FULLTEXT
230,D0014989,Increased incidence of stress-associated illnesses among elderly after Typhoon Morakot,2021,Journal of the Formosan Medical Association,cyclone,FULLTEXT_REVIEW,"Administrative visits are described before and after Typhoon Morakot, but the abstract does not state an ITS or controlled design and reports percentages without uncertainty.",FULLTEXT_REVIEW,"Abstract reports pre-post increases in stress-associated illness visits after Typhoon Morakot, suggesting longitudinal pre-baseline design, but lacks adjusted estimates/uncertainty and credible counterfactual. Full text must confirm analytic design and effect extraction.",FULLTEXT_REVIEW
231,D0015002,Cross sectional analysis of depression amongst Australian rural business owners following cyclone-related flooding,2020,Journal of Occupational Medicine and Toxicology,flood|cyclone,NARRATIVE_ONLY,This is a single cross-sectional survey six months after flooding; reported flood and financial exposures are post-event self-reports despite adjusted depression ORs.,NARRATIVE_ONLY,Single-wave cross-sectional survey six months after flooding; flood exposure and depression were measured by self-report in the same survey; no pre-event baseline or credible counterfactual. Reports adjusted ORs with CIs but design cannot estimate causal hazard effects.,DO_NOT_ADVANCE_MAIN_META
232,D0015008,"Disaster-related prenatal maternal stress, and childhood HPA-axis regulation and anxiety: The QF2011 Queensland Flood Study",2020,Psychoneuroendocrinology,flood,NARRATIVE_ONLY,"Prenatal flood stress is based on reported hardship, distress, and appraisal, and child anxiety is measured only years after the event.",NARRATIVE_ONLY,"Exposed-only cohort of women pregnant during 2011 Queensland floods; no pre-event or unexposed counterfactual; exposure is self-reported PNMS via questionnaires; abstract reports mediation by toddler cortisol, not a quantitative flood-anxiety effect.",DO_NOT_ADVANCE_MAIN_META
233,D0015043,"Short-term effect of apparent temperature on daily emergency visits for mental and behavioral disorders in Beijing, China: A time-series study",2020,Science of the Total Environment,temperature,META_ELIGIBLE,A quasi-Poisson DLNM estimates apparent-temperature effects on daily mental-disorder emergency visits and reports lag-specific RRs with 95% CIs.,META_ELIGIBLE,"Time-series study of daily apparent temperature and emergency visits for mental and behavioral disorders using quasi-Poisson GAM with DLNM; reports RR with 95% CI for temperature effects, satisfying objective exposure, eligible psychiatric service use outcome, temporal counterfactual, and extractable hazard effect.",PRIORITY_FULLTEXT
234,D0015062,"Hot weather and suicide deaths among older adults in hong kong, 1976–2014: A retrospective study",2020,International Journal of Environmental Research and Public Health,temperature,FULLTEXT_REVIEW,"A 39-year transfer-function time series links retrieved meteorological data to suicide, but numerical effects and uncertainty are omitted.",FULLTEXT_REVIEW,Abstract supports time-series analysis of objective ambient temperature and older-adult suicide deaths but does not report quantitative effect estimates or uncertainty; full text must confirm extractable adjusted hazard effect.,FULLTEXT_REVIEW
235,D0015156,Reciprocal effects of maternal and child internalizing symptoms before and after a natural disaster,2020,Journal of Family Psychology,cyclone,NARRATIVE_ONLY,The pre-post study examines reciprocal maternal-child symptom processes and reported Sandy stress; it does not report an estimated hurricane effect on symptoms.,NARRATIVE_ONLY,"Mothers self-reported family stress exposure from Hurricane Sandy; no objective or externally verifiable hazard variation. Abstract reports reciprocal symptom associations, not a quantitative hazard effect on mental health outcomes.",DO_NOT_ADVANCE_MAIN_META
236,D0015239,Impact of flooding on health-related quality of life in England: Results from the National Study of Flooding and Health,2020,European Journal of Public Health,flood,NARRATIVE_ONLY,"Flooded, disrupted, and unaffected groups were compared only at two and three years post-flood, without a pre-event HRQoL or anxiety/depression baseline.",NARRATIVE_ONLY,"Flood cohort assessed only 2 and 3 years post-flooding; compares flooded/disrupted vs unaffected groups with adjusted regression, but no pre-flood baseline or within-unit temporal exposure variation. Post-event affected/unaffected contrast alone is not a credible counterfactual.",DO_NOT_ADVANCE_MAIN_META
237,D0015241,The English National Cohort Study of Flooding & Health: psychological morbidity at three years of follow up,2020,BMC public health,flood,NARRATIVE_ONLY,"Three post-flood follow-ups compare flooded and unaffected groups, but there is no pre-flood mental-health outcome baseline.",NARRATIVE_ONLY,"Post-flood cohort established in 2015; outcomes measured at three-year follow-up with no reported pre-flood baseline. Flooded vs unaffected comparisons are post-event exposure gradient without a credible counterfactual. Exposure measurement is not described, and reported aORs cannot support causal inference.",DO_NOT_ADVANCE_MAIN_META
238,D0015253,Temperature and self-reported mental health in the United States,2020,Plos One,temperature,FULLTEXT_REVIEW,"Historical daily weather is matched to three million respondents and within-county temporal fluctuations identify effects, but no estimate uncertainty is shown.",META_ELIGIBLE,"Uses historical daily weather matched to individual-level data and exploits within-county temperature variation over time. Outcome is self-reported bad mental health days. Abstract reports directional temperature effects and WTP estimates, indicating extractable quantitative effects.",FULLTEXT_REVIEW
239,D0015265,The effects of temperature on accident and emergency department attendances in London: A time-series regression analysis,2020,International Journal of Environmental Research and Public Health,temperature,FULLTEXT_REVIEW,"Seasonally adjusted time-series models include psychiatric emergency presentations, but the psychiatric effect is described only as significant without its estimate or CI.",FULLTEXT_REVIEW,"Time-series regression with ambient temperature and psychiatric emergency presentations is eligible, but the abstract reports no psychiatric-specific effect size or confidence interval, only a statement of significant increase. Full text must provide quantitative psychiatric hazard effect and uncertainty.",FULLTEXT_REVIEW
240,D0015268,Suicide behavior and meteorological characteristics in hot and arid climate,2020,Environmental Research,temperature,META_ELIGIBLE,Time-stratified case-crossover and time-series models relate temperature to suicide-attempt admissions and report ORs and IRRs with 95% CIs.,META_ELIGIBLE,Original study of 3100 ED suicide attempts in Be'er Sheva 2002-2017. Uses time-stratified case-crossover and time-series designs with objective temperature exposure. Reports OR 1.59 (95% CI 1.22-2.08) per 5°C summer increase and IRR cumulative effect with CIs. Eligible outcome (suicide attempt). Meets meta-analysis criteria.,PRIORITY_FULLTEXT
241,D0015343,"The impact of extreme heat and heat waves on emergency ambulance dispatches due to external cause in Shenzhen, China",2020,Environmental Pollution,temperature,META_ELIGIBLE,A quasi-Poisson DLNM estimates daily temperature and heatwave effects on suicide-related ambulance dispatches and reports an RR with 95% CI.,META_ELIGIBLE,"DLNM time-series with quasi-Poisson uses objectively measured daily temperature in Shenzhen 2013-2017; reports heatwave RR for suicidal behaviors (RR 4.53, 95% CI 1.23-16.68), an eligible suicide/self-harm outcome, with uncertainty.",PRIORITY_FULLTEXT
242,D0015380,The Short- and Long-Term Impacts of Hurricane Irma on Florida Agricultural Leaders as Early Emergency Responders: The Importance of Workplace Stability.,2020,International journal of environmental research and public health,cyclone,NARRATIVE_ONLY,"Thirty-six responders were assessed only at two post-Irma times, and regressions use reported home and work impacts without pre-event mental-health outcomes.",NARRATIVE_ONLY,"Post-event cohort of 36 Extension Agents assessed at 2 months and 1 year after Hurricane Irma, with no pre-event outcome or comparison group. Exposure is personal/home and work-related hurricane impacts; regression estimates are damage-severity associations with anxiety/depression rather than a credible hazard counterfactual.",DO_NOT_ADVANCE_MAIN_META
243,D0015499,Neuropsychological Outcomes of Exposure to Hurricane Katrina and Relocation,2020,Disaster medicine and public health preparedness,cyclone,NARRATIVE_ONLY,"Relocated Katrina survivors are compared with controls only after the disaster, with no pre-Katrina depression or PTSD baseline.",NARRATIVE_ONLY,"Post-event comparison of relocated Katrina survivors vs matched controls, with no pre-event mental-health baseline or temporal counterfactual; although PTSD and depressive symptoms are eligible outcomes, this design cannot estimate a hazard effect.",DO_NOT_ADVANCE_MAIN_META
244,D0015509,"Monitoring Emergency Department Visits From Puerto Rico in the Aftermath of Hurricane Maria Using Syndromic Surveillance - New York City, 2017",2020,Disaster medicine and public health preparedness,cyclone,NARRATIVE_ONLY,Syndromic visits were descriptively compared in eight-week pre/post windows using Fisher tests; the mental-illness increase was nonsignificant and no modeled hurricane effect is reported.,NARRATIVE_ONLY,"Syndromic surveillance comparing aggregate NYC ED visits 8 weeks before vs after Hurricane Maria using Fisher exact. Mental illness visits increased but were not statistically significant; no quantitative hazard effect or credible counterfactual is reported, so unsuitable for causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
245,D0015572,Examining fine particulate matter and cause-specific morbidity during the 2017 North San Francisco Bay wildfires,2021,Science of the Total Environment,wildfire,FULLTEXT_REVIEW,"County daily PM2.5 during wildfire and non-fire periods is modeled against mental/behavioral ED visits, but that outcome's effect is only described as model-sensitive.",FULLTEXT_REVIEW,"Uses county-level PM2.5 during wildfire and daily mental/behavioral EDVs with Poisson time-series; objective exposure and eligible psychiatric service use outcome. However abstract reports only that mental/behavioral EDV decreases were observed and sensitive to model specification, with no quantitative effect estimate or uncertainty, so full text must provide a hazard-specific mental-health effect.",FULLTEXT_REVIEW
246,D0015599,Resilience after natural disasters: The process of harnessing resources in communities differentially exposed to a flood,2021,European Journal of Psychotraumatology,flood,NARRATIVE_ONLY,Two municipalities were surveyed once 18 months after flooding; the analysis concerns psychosocial resource predictors rather than a temporal flood effect.,NARRATIVE_ONLY,"Single post-flood cross-sectional survey 1.5 years after disaster in affected vs non-flooded communities; no pre-event baseline and results model resource correlates of PTSD/depression/life satisfaction, not a flood effect on outcomes.",DO_NOT_ADVANCE_MAIN_META
247,D0015733,Understanding the concurrent risk of mental health and dangerous wildfire events in the COVID-19 pandemic.,2022,The Science of the total environment,wildfire,FULLTEXT_REVIEW,"Interrupted-time-series and difference-in-differences analyses evaluate wildfire effects on crisis texts, but only a qualitative null result is provided.",FULLTEXT_REVIEW,"Abstract describes quasi-experimental ITS and DiD of wildfire exposure on mental health crisis help-seeking but reports only 'no statistical association' without effect size or uncertainty, so full text needed to verify extractable adjusted estimate.",FULLTEXT_REVIEW
248,D0015746,Ambient heat and risks of emergency department visits among adults in the United States: Time stratified case crossover study,2021,The BMJ,temperature,META_ELIGIBLE,Nationwide time-stratified case-crossover analyses estimate extreme-heat effects on mental-disorder ED visits and report excess risk with 95% CI.,META_ELIGIBLE,Time-stratified case-crossover with objectively measured ambient heat and ED visits for mental disorders; reports 7.8% (95% CI 7.3-8.2%) for any-cause and 7.9% (5.2-10.7%) for mental disorders.,PRIORITY_FULLTEXT
249,D0015764,Neural vulnerability and hurricane-related media are associated with post-traumatic stress in youth,2021,Nature Human Behaviour,cyclone,NARRATIVE_ONLY,"Children were assessed before and after Irma, but hurricane and media doses are self-reported and no external hazard linkage is stated.",NARRATIVE_ONLY,"Eligible hurricane-PTSD topic and longitudinal data, but abstract states both objective exposure and media exposure were self-reported; no externally verifiable hazard variation is described, making it unsuitable for the causal meta-analysis.",DO_NOT_ADVANCE_MAIN_META
250,D0015776,﻿Correlating heatwaves and relative humidity with suicide (fatal intentional self-harm).,2021,Scientific reports,temperature,FULLTEXT_REVIEW,"Country data over 1979-2016 link heatwave counts and humidity to suicide, but the abstract gives no exposure source, within-unit identification details, or effects with uncertainty.",FULLTEXT_REVIEW,"Negative binomial Poisson regression of suicide on heatwaves/relative humidity across 60 countries 1979-2016 suggests longitudinal panel/time-series, but abstract does not specify within-unit temporal variation, fixed effects, or adjustment, and reports only significance, no effect sizes/uncertainty; correlation language leaves causal counterfactual unclear.",FULLTEXT_REVIEW
251,D0015862,Investigating the association between temperature and hospital admissions for major psychiatric diseases: A study in Greece,2021,Journal of Psychiatric Research,temperature,FULLTEXT_REVIEW,"National Observatory temperature data and time-adjusted Poisson models yield 1-2% admission increases, but no uncertainty is reported.",META_ELIGIBLE,Original time-series study uses objectively measured ambient/apparent temperature from National Observatory of Athens and Poisson regression adjusted for time trends to estimate 1-2% increase in monthly psychiatric admissions per 1°C; outcome is eligible psychiatric service use.,FULLTEXT_REVIEW
252,D0015873,The effects of Hurricane Harvey on the physical and mental health of adults in Houston,2021,Health & Place,cyclone,FULLTEXT_REVIEW,"Harvey interrupted survey fieldwork creates a natural before-after experiment and the effect is 1.31 poor-mental-health days, but uncertainty is omitted.",FULLTEXT_REVIEW,Abstract reports a natural-experiment pre/post estimate of Hurricane Harvey on poor mental health days (1.31 days/month) but no uncertainty or adjusted model details; full text must confirm extractable effect with CIs.,FULLTEXT_REVIEW
253,D0015931,"Ambient temperature and mental health hospitalizations in Bern, Switzerland: A 45-year time-series study",2021,PLoS ONE,temperature,META_ELIGIBLE,Gridded daily temperature is analyzed with conditional quasi-Poisson distributed-lag models against psychiatric hospitalizations; effects and 95% CIs are reported.,META_ELIGIBLE,"Daily mental health hospitalizations over 45 years with objective grid-derived temperature and conditional quasi-Poisson distributed lag models; reports 4.0% (95% CI 2.0%, 7.0%) per 10°C increase, satisfying temporal quasi-experimental design and quantitative uncertainty.",PRIORITY_FULLTEXT
254,D0015958,"High temperatures trigger suicide mortality in Brussels, Belgium: A case-crossover study (2002–2011)",2022,Environmental Research,temperature,META_ELIGIBLE,"Station-measured temperature is analyzed in a bidirectional time-stratified case-crossover DLNM, with suicide RRs and 95% CIs.",META_ELIGIBLE,"Case-crossover study with objective station-measured daily temperature and suicide mortality. Reports cumulative RR and 95% CI for heat effects, directly extractable.",PRIORITY_FULLTEXT
255,D0016025,"Adverse childhood experiences, adult trauma, and depressive symptom trajectories",2022,Aging & Mental Health,cyclone,NARRATIVE_ONLY,"The hurricane variable is a subjective trauma/peritraumatic-stress report, and the study primarily models adverse-childhood-experience predictors of depression trajectories.",NARRATIVE_ONLY,"Hurricane Sandy exposure is measured via subjective reports of fear/distress/peri-traumatic stress, not an objective or externally verifiable hazard measure. The primary predictors are ACEs and subjective trauma, so no hazard effect with credible counterfactual is extractable.",DO_NOT_ADVANCE_MAIN_META
256,D0016027,New insights into the relationship between drought and mental health emerging from the Australian Rural Mental Health Study,2021,Frontiers in Psychiatry,drought,FULLTEXT_REVIEW,"A panel dataset reports nonlinear distress and life-satisfaction changes with drought duration, but drought measurement, identifying model, effects, and uncertainty are not stated.",FULLTEXT_REVIEW,Abstract reports panel data and longitudinal drought exposure with mental health outcomes but does not specify how drought exposure was objectively measured or report quantitative effect sizes/uncertainty.,FULLTEXT_REVIEW
257,D0016133,How do non-catastrophic natural disasters impact middle-aged-to-older persons? Using baseline Canadian longitudinal study on aging data to explore psychological outcomes associated with the 2013 Calgary flood,2022,Canadian Journal on Aging,flood,FULLTEXT_REVIEW,"Baseline survey collection occurred before and after the Calgary flood and evacuation status defines groups, but no flood-effect estimates or uncertainty are reported.",NARRATIVE_ONLY,"Abstract describes comparing baseline CLSA participants interviewed in 6 months before vs after the 2013 Calgary flood, stratified by evacuation status; CLSA baseline is per-participant cross-sectional, so no within-person pre-event outcome or credible counterfactual. Reported results are covariate associations (income, sex, living alone) and pre/post group differences, not a hazard-effect estimate with uncertainty.",ADJUDICATE_PRIORITY
258,D0016145,"Temporal trends of the association between temperature variation and hospitalizations for schizophrenia in Hefei, China from 2005 to 2019: a time-varying distribution lag nonlinear model",2022,Environmental science and pollution research international,temperature,META_ELIGIBLE,Daily meteorological and schizophrenia series are analyzed with time-varying DLNMs; quantitative temperature-variation interaction effects and intervals are reported.,META_ELIGIBLE,"Daily 15-year time-series of schizophrenia hospitalizations and objective meteorological temperature-variation indicators; Poisson time-varying DLNM provides within-unit temporal counterfactual; adjusted risk estimates reported for psychiatric service use, meeting causal time-series criteria.",PRIORITY_FULLTEXT
259,D0016223,The association between drought conditions and increased occupational psychosocial stress among U.S. farmers: An occupational cohort study,2021,Science of the Total Environment,drought,META_ELIGIBLE,"Repeated farmer stress measures are linked to county 12-month SPI in longitudinal mixed models, with drought effects and 95% CIs reported.",META_ELIGIBLE,"Repeated-measures cohort with six-monthly JCQ job strain ratio (occupational psychosocial stress), drought via 12-month SPI; longitudinal mixed model yields within-farmer temporal contrast; effect 0.031 (95% CI 0.012-0.05).",PRIORITY_FULLTEXT
260,D0016252,Effects of different heat exposure patterns (accumulated and transient) and schizophrenia hospitalizations: a time-series analysis on hourly temperature basis,2021,Environmental science and pollution research international,temperature,META_ELIGIBLE,"Hourly temperature-derived heat metrics are analyzed in DLNMs against daily schizophrenia hospitalizations, with lagged RRs and 95% CIs.",META_ELIGIBLE,"Time-series analysis using hourly objective temperature and DLNM to estimate effects on schizophrenia hospitalizations, a psychiatric service use outcome. Reports RR per IQR with 95% CI, satisfying temporal counterfactual and extractable effect.",PRIORITY_FULLTEXT
261,D0016381,"Association between extreme temperatures and emergency room visits related to mental disorders: A multi-region time-series study in New York, USA",2021,Science of the Total Environment,temperature,FULLTEXT_REVIEW,"A multi-region quasi-Poisson DLNM estimates daily-temperature effects on mental-disorder ER visits, but no numerical effect or uncertainty appears in the abstract.",FULLTEXT_REVIEW,"Time-series DLNM with objective temperature and mental-health ER visits meets design and outcome criteria, but abstract reports only positive associations without numeric effect estimates or uncertainty; extractability must be confirmed in full text.",FULLTEXT_REVIEW
262,D0016427,"Mental health consequences of adversity in Australia: National bushfires associated with increased depressive symptoms, while COVID-19 pandemic associated with increased symptoms of anxiety",2021,Frontiers in Psychology,wildfire,FULLTEXT_REVIEW,"Daily repeated mood surveys span the Australian bushfires and show increased depression, but the abstract omits the modeled fire-period contrast and uncertainty.",FULLTEXT_REVIEW,"Original daily experience-sampling study in N=755 Australians 2018-2020 measured depression/anxiety/wellbeing before and during bushfires; supports within-person temporal exposure. Abstract reports significant bushfire effects but no numeric estimate/CI, so effect extractability is unclear. Full text must verify exposure coding, pre-event baseline, adjustment for time/COVID, and numeric effects.",FULLTEXT_REVIEW
263,D0016438,"Alcohol and other substance use by faculty, staff, and students in a university community during two hurricanes: Lessons for preventing risky misuse",2021,Journal of Community Psychology,cyclone,FULLTEXT_REVIEW,"Participants repeatedly reported emotions before, during, and after two hurricanes, but no quantitative hurricane effect or uncertainty for anxiety is reported.",FULLTEXT_REVIEW,"Abstract suggests repeated measures of emotions including anxiety across typical weekly and hurricane days, which could be eligible, but no quantitative hazard effect or uncertainty is reported for anxiety. Baseline timing and measurement validity need confirmation.",FULLTEXT_REVIEW
264,D0016542,Natural disaster stress during pregnancy is linked to reprogramming of the placenta transcriptome in relation to anxiety and stress hormones in young offspring,2021,Molecular Psychiatry,cyclone,FULLTEXT_REVIEW,"Pregnancies during Sandy are compared with non-Sandy conditions and child anxiety is measured later, but effect estimates and uncertainty are absent.",NARRATIVE_ONLY,"Compares offspring of women pregnant during Hurricane Sandy vs non-Sandy controls, with anxiety and stress outcomes measured only at age 3-4. No pre-event baseline or credible counterfactual is described; exposed/unexposed post-event comparison alone is not eligible for causal meta-analysis.",ADJUDICATE_PRIORITY
265,D0016630,Trajectories of depression and anxiety symptoms during the COVID-19 pandemic in a representative Australian adult cohort,2021,Medical Journal of Australia,wildfire,EXCLUDE,The study's primary exposure is the COVID-19 pandemic; bushfire exposure appears only as one factor associated with pandemic symptom trajectories.,EXCLUDE,"The study examines trajectories of depression/anxiety during the COVID-19 pandemic, not an eligible climate hazard as the main exposure. Bushfire exposure is only one predictor of trajectory membership, with no objective hazard variation or hazard-specific quantitative effect reported.",DO_NOT_ADVANCE_MAIN_META
