dedup_id,duplicate_count,sources,all_dois,all_source_ids,title,abstract,year,journal,authors
D0046278,1,Scopus,10.7498/aps.71.20221377,Scopus:2-s2.0-85143670948,Research and design of broadband muffler based on second-order Helmholtz resonators,"Noise is always a serious factor affecting people's quality of life. The most common sound-absorbing materials are porous materials, which work based on the principle that sound waves entering into the pores inside the material are subjected to air friction and viscous resistance, thus converting sound energy into heat. Porous materials have excellent performance of absorbing medium-frequency and high-frequency sound, but they are required to be thick enough to control the low-frequency sound waves with large wavelengths, which limits the application of porous materials in low-frequency noise control. In recent years, acoustic artificial structures have become a research hotspot, which can realize exotic effective acoustic parameters based on periodical structure or local resonance. Acoustic artificial structure provides a new material basis for noise control, in which Helmholtz resonator plays an important role because of its simple geometry. In this study, a broadband muffler is designed based on the second-order neck embedded Helmholtz resonator. In order to achieve low-frequency and broadband sound insulation with a limited number of units and structure length, the second-order resonator is chosen as a basic structure unit, which has a stronger low-frequency noise reduction capability and has one high-frequency transmission loss peak more than a conventional Helmholtz resonator. The acoustic characteristics and insulation performance of second-order resonators are analyze",2022,Wuli Xuebao Acta Physica Sinica,Shi Q.Q.
D0120536,1,Embase,,Embase:L70012781,Efficacy of the terminal complement inhibitor eculizumab used chronically in a patient with cold agglutinin disease,"Background. Previously, we reported initial efficacy data of the terminal complement inhibitor eculizumab in cold agglutinin disease (CAD). Here, we report the chronic use of eculizumab in a patient with CAD refractory to previous treatments. In CAD, IgM autoantibodies can activate the complement system in colder areas of the body (e.g. extremities), resulting in red blood cell hemolysis. Prednisone is typically ineffective and only on rare occasions can chemotherapy suppress autoantibody production. Some cases are mild and self-limited, but others require hospitalization and can be life-threatening. Supportive transfusions of red blood cells may be necessary. Eculizumab, a monoclonal antibody targeting complement factor C5, has shown efficacy in patients with paroxysmal nocturnal hemoglobinuria (PNH) through inhibition of terminal complement activation. Based on the pathogenesis of CAD, blockade of terminal complement by eculizumab could be a new possible therapeutic approach. Aims and Methods. To test for continued efficacy of eculizumab in a transfusion-dependent patient with chronic CAD refractory to extensive previous treatments (including several cycles of rituximab) and experiencing elevated hemolysis for at least 1 year prior to treatment. Eculizumab was dosed as follows: 600 mg IV every 7 days x 4; 900 mg 7 days later; and then 900 mg every 14±2 days. Prior to treatment, the patient was vaccinated against Neisseria meningitidis as eculizumab treated patients are at an increased risk for meningococcal infection. Transfusion requirements as well as clinical and biochemical indicators of hemolysis were monitored. Results. Hemolysis, as measured by lactate dehydrogenase (LDH) against time, was significantly reduced 47% from 848±41.2 U/L (mean±SE) to 446 ± 8.3 U/L (12 months pre-treatment vs. 20 months post-treatment). The chronic control of hemolysis resulted in an improvement in anemia (median of 9.9 g/dL 12-months pre-treatment vs. 11.6 g/dL 20-months post-treatment) and reduced transfusion requirements from 18 PRBC units during a 12 month pre-treatment period to 0 during 20 months of treatment. Furthermore, the patient continues to report a sustained improvement in fatigue and quality of life and no longer suffered from angina pectoris at 20 months of treatment. There were no drug-related adverse events and ongoing therapy with eculizumab continues to be safe and well tolerated in this patient. Conclusions. Here we present a long-term follow-up of our initial report of eculizumab efficacy in a CAD patient. Importantly, since the initiation of eculizumab treatment, hemolysis has been controlled with no exacerbations of the disease. Chronic treatment with eculizumab remains safe and highly effective for over 20 months. With limited available effective treatment options, this promising result with a well-tolerated antibody provides a strong rationale for a planned clinical trial for the use of eculizumab in patients with CAD.",2009,Haematologica,"Röth, A.; Hüttmann, A.; Hock, C.; Rother, R.; Dührsen, U.; Philipp, T."
D0061734,1,Scopus,10.1071/ea9740520,Scopus:2-s2.0-84971090414,The response of lucerne cultivars to levels of waterlogging,"Five lucerne cultivars were grown for 10 weeks during summer at two irrigation frequencies, specified by evaporation intervals of 38 and 76 mm. Changes in soil moisture were monitored by tensiometers installed at 15 and 30 cm depths. At the first harvest no significant difference in yield was found between treatments. At the second harvest, regrowth of all cultivars was depressed by frequent irrigation, but Du Puits was particularly affected. The yield depression caused by frequent irrigation continued for six months after the treatment ended. The reduced growth following frequent irrigation was related to low soil aeration. In this treatment air-filled pore space in the 15-30 cm horizon remained at or below 15 per cent, a critical level for plant growth. A period of waterlogging for 10 days when the temperature at 5 cm depth remained at approximately 30¦C led to reduced production and high mortality in all cultivars. Yields of Lahontan and Siro Peruvian at the end of the waterlogging period were significantly higher than yields of the other three cultivars. The possibility is suggested of increasing the tolerance of lucerne to poor aeration by natural selection on wet soils. © CSIRO 1974.",1974,Australian Journal of Experimental Agriculture,Rogers V.E.
D0009938,2,PubMed; Scopus,10.1111/papr.12279,PubMed:25581383; Scopus:2-s2.0-84959452326,Safety and Utility of Quantitative Sensory Testing among Adults with Sickle Cell Disease: Indicators of Neuropathic Pain?,"Objectives: Pain is the hallmark symptom of sickle cell disease (SCD), yet the types of pain that these patients experience, and the underlying mechanisms, have not been well characterized. The study purpose was to determine the safety and utility of a mechanical and thermal quantitative sensory testing (QST) protocol and the feasibility of utilizing neuropathic pain questionnaires among adults with SCD.Methods: A convenience sample (N = 25, 18 women, mean age 38.5 ± 12.5 [20-58 years]) completed self-report pain and quality-of-life tools. Subjects also underwent testing with the TSA-II NeuroSensory Analyzer and calibrated von Frey microfilaments.Results: We found that the QST protocol was safe and did not stimulate a SCD pain crisis. There was evidence of central sensitization (n = 15), peripheral sensitization (n = 1), a mix of central and peripheral sensitization (n = 8), or no sensitization (n = 1). The neuropathic pain self-report tools were feasible with evidence of construct validity; 40% of the subjects reported S-LANSS scores that were indicative of neuropathic pain and had evidence of central, peripheral or mixed sensitization.Discussion: The QST protocol can be safely conducted in adults with SCD and provides evidence of central or peripheral sensitization, which is consistent with a neuropathic component to SCD pain. These findings are novel, warrant a larger confirmatory study, and indicate the need for normative QST data from African American adults and older ad",2016,Pain Practice,Ezenwa M.O.
D0077554,1,Embase,10.3390/ijerph16203916,Embase:L2002839244,Exhaled carbon monoxide levels in forty resistant to cessation male smokers after six months of full switch to electronic cigarettes (E-cigs) or to a tobacco heating systems (THS),"Cigarette smoke releases several toxic chemicals and carcinogens including carbon monoxide (CO). This study examined the levels of exhaled CO in smokers switching to electronic cigarettes (e-Cigs) or a tobacco heating system (THS) and their level of compliance six months after switching. On the basis of their own preferences, 40 male smokers unwilling or unable to stop smoking were switched to e-Cigs or THSs for six months (20 subjects in each group). Nicotine addiction and levels of carbon monoxide in the exhaled breath (eCO) were measured at baseline (the latter also at six months). The Shapiro Wilk test, graphical methods, Student T test or Mann–Whitney test were used to assess the normal distribution of variables and differences between the two groups after six months. The two groups showed no difference at baseline, but a significant higher addiction score in smokers choosing THS. E-Cig and THS showed significant reduced levels of eCO (both %COHb and COppm) after six months, which were within the range of non-smoker status. Reduced levels of %COHb did not significantly differ between the two groups, whilst the THS group had a significantly lower reduction in levels of COppm vs the e-Cig group (p < 0.05). Both e-Cigs and THSs are capable of significantly reducing eCO at least in the medium term, hence constituting a viable tobacco harm reduction approach in smokers who are unwilling or unable to stop smoking.",2019,International Journal of Environmental Research and Public Health,"Beatrice, F.; Massaro, G."
D0072384,1,Embase,10.1001/archpediatrics.2012.1900,Embase:L366213272,Attention-deficit/hyperactivity disorder: A preventable epidemic?,,2012,Archives of Pediatrics and Adolescent Medicine,"Lanphear, B.P."
D0010964,1,PubMed,10.1007/s13181-015-0502-z,PubMed:26334327,Modern Intermittent Haemodialysis (IHD) is an Effective Method of Removing Salicylate in Chronic Topical Salicylate Toxicity.,There are limited data on modern intermittent hemodialysis (IHD) efficacy on salicylate elimination from topical poisoning. A 54-year-old male sought treatment for dyspnea but was then diagnosed with salicylate toxicity from topical application of Dencorub Extra Strength Heat Gel® for 1 week. Each tube contained 100 g with 26 % methylsalicylate (26 g). Laboratory workup was remarkable for an elevated anion gap of 30 and salicylate concentration of 78.7 mg/dL [5.7 mmol/L (N < 0.4 mmol/L)]. Treatment with urinary alkalinization was followed by hemodialysis for 5 h. Extraction ratios were 0.44 with clearance rates of 78.5 mL/min. Salicylate concentrations fell rapidly following initiation of hemodialysis with no rebound observed. Modern high flux IHD is an effective method of removing salicylates in the treatment of chronic topical poisoning.,2016,Journal of medical toxicology : official journal of the American College of Medical Toxicology,Wong A; Mac K; Aneman A; Wong J; Chan BS
D0061373,1,Scopus,10.1115/1.3451009,Scopus:2-s2.0-0018506187,Investigation of freezing of salt solutions in cells,"Phenomena of salt rejection during freezing process of saline solutions included in cells were investigated analytically and experimentally as a problem of heat and mass transfer with phase change. By experiments of freezing of the aqueous solutions of 2.0-15.0 wt percent sodium chloride, three regions—a solid, a solid-liquid and a liquid—were recognized to coexist together in the freezing process. In the solid-liquid region, when freezing proceeds, freezing fronts were found to occur stepwise within several adjacent cells. This phenomenon was due to the depression of the freezing point which was caused by salt rejection in the cells. Furthermore, the mechanism of the freezing process was clarified in connection with the constitutional supercooling of the solution. The analytical solutions for the freezing problem of saline solutions were obtained by an approximation of using apparent heat capacity involving latent heat of fusion released in the solid-liquid region, and applying the procedure of Newmann's exact solutions for a semi-infinite body with phase change. © 1979 by ASME.",1979,Journal of Heat Transfer,Hayashi Y.
D0001132,3,Embase; PubMed; Scopus,10.1136/adc.65.7.750,Embase:L20220434; PubMed:2201263; Scopus:2-s2.0-0025336949,Markers of serious illness in infants under 6 months old presenting to a children's hospital.,"Six hundred and eighty two assessments were performed on 641 babies under 6 months of age who presented to the emergency department of the Royal Children's Hospital, Melbourne, to try and determine the best markers of serious illness in young infants. Detailed, specific questions that quantified a baby's functional response to illness gave the most useful information. As a group, the six most common predictive symptoms of serious illness were: taking less than half the normal amount of feed over the preceding 24 hours, breathing difficulty, having less than four wet nappies in the preceding 24 hours, decreased activity, drowsiness, and a history of being both pale and hot. The presence of the corresponding sign on examination increased the predictive value of the symptom by 10-20%. Specific, highly predictive (though less common) signs included moderate to severe chest wall recession, respiratory grunt, cold calves, and a tender abdomen. A list of low, medium, and high risk symptoms has been constructed and the five measurements that were most useful in predicting serious illness in young infants have been detailed.",1990,Archives of disease in childhood,Hewson PH; Humphries SM; Roberton DM; McNamara JM; Robinson MJ
D0129713,1,PsycINFO,,PsycINFO:620367162,Program Prioritization to Control Chronic Diseases in African-American Faith-Based Communities,"Objective: In the last decade, African-American congregations have been inundated with requests to participate in health promotion activities; however, most are not equipped to effectively participate. We assessed the effect of providing congregation leaders with skills on identifying their own health needs, planning, and implementing their own interventions. Methods: At baseline, 21 congregational leaders from South East Raleigh, NC were taught methods for developing needs assessments, planning, and implementing health promotion activities tailored for their congregations. After approximately four years, 14 of the 21 congregations were successfully recontacted. Results: At baseline, the congregation leadership ranked diabetes as the ninth (out of 10) most urgent health concern in their communities. However, at follow-up, not only was diabetes identified as the most serious health concern, but most congregations had taken advantage of available community and congregational resources to prevent it. Larger congregations were more likely than smaller ones to take advantage of available resources. Conclusions: Larger African-American congregations are an effective vehicle by which health promotion messages can diffuse; however, the leadership must be provided with skills to assess health needs before selecting programs most beneficial to their congregations. Mechanisms by which small congregation leaders can participate need development. (PsycInfo Database Record (c) 2024 APA, all rights reserved) (Source: journal abstract)",2004,Journal of the National Medical Association,"Hoyo, Cathrine; Reid, LaVerne; Hatch, John; Sellers, Denethia B.; Ellison, Arlinda; Hackney, Tara; Porterfield, Deborah; Page, Joyce; Parrish, Theodore"
D0107224,1,PubMed,,PubMed:29533571,Treatments for Basal Cell and Squamous Cell Carcinoma of the Skin,"Basal cell carcinoma (BCC) and squamous cell carcinoma (SCC) are among the most common malignancies in the United States. There are many potential management strategies for BCCs and SCCs, and the choice of management strategy for an individual patient is not straightforward. We aimed to comprehensively collect information on the comparative effectiveness and safety of each currently used therapeutic strategy for both BCC and SCC. We conducted literature searches in MEDLINE We identified 58 randomized controlled trials and 51 nonrandomized comparative studies comparing 21 interventions in 9 categories. Nearly all reported results for recurrence or cure rate outcomes and adverse events, and many reported results for cosmetic outcomes. Few studies reported results using validated instruments for quality of life, mental health, or patient satisfaction with treatment. Data were sparse, especially for analyses at the individual-intervention level. For BCCs, surgical interventions and radiation were associated with lower recurrence rates than interventions that destroy lesions with heat or cold and photodynamic therapy (PDT), and may have lower recurrence rates than curettage. Recurrence rates did not differ significantly between imiquimod and excision. The data were not sufficient to draw conclusions about the comparison of curettage with interventions that destroy lesions with heat or cold, or PDT versus other intervention categories. For SCC in situ, interventions that destroy th",2017,Agency for Healthcare Research and Quality (US),Drucker A; Adam GP; Langberg V; Gazula A; Smith B; Moustafa F; Weinstock MA; Trikalinos TA
D0073161,1,Embase,10.1016/j.jns.2011.11.031,Embase:L51769339,A case of Susac's syndrome in a Chinese male,,2012,Journal of the Neurological Sciences,"Meng, R.; Ji, X.; Dornbos III, D.; Feeney, K.; Ding, Y.; Wang, X."
D0020934,4,Embase; PsycINFO; PubMed; Scopus,10.1016/j.jad.2024.08.108,Embase:L2034286356; PsycINFO:3128331408; PubMed:39181166; Scopus:2-s2.0-85202693663,Population-level effects of Hurricane Sandy on adolescent health,"Background: Disasters are increasing in frequency and intensity due to climate change. Youth are the largest and most vulnerable group exposed to disasters. More evidence is needed regarding how youth mental health and health behaviors vary based on disaster exposure, how mental health influences health behaviors, and how diverse groups of youth may be differentially affected. Methods: Using data from the Youth Risk Behavior Survey and Federal Emergency Management Agency, we examined the impact of Hurricane Sandy (2012) on mental health (sadness, suicidality) and health behaviors (substance use, physical activity, screen time, sexual behaviors) of 240,365 youth. Difference-in-differences regression analyses evaluated pre-disaster (2005–2011) and post-disaster (2013–2019) changes. Results: There were 83,442 (34.7 %) adolescents (51.2 % female, 18.1 % non-Hispanic White) located in 6 districts exposed to Hurricane Sandy and 156,923 (65.3 %) adolescents located in 13 non-exposed districts. Exposure was associated with differences in substance use, physical (in)activity, and risky sexual behaviors, but not mental health outcomes. Mental health did not moderate the association between disaster exposure and health behaviors. Hispanic adolescents and those identifying as Other races/ethnicities were most vulnerable to post-disaster negative health outcomes. Limitations: Study limitations include questionnaire design, cross-sectional data, sampling, and possible response biases. Conclusions: Findings provide critical information about youth mental health and health behaviors following disasters, as well as how youth may differ in their responses. Findings provide guidance for early identification and resource allocation for youth at higher risk for post-disaster health issues. (PsycInfo Database Record (c) 2024 APA, all rights reserved) (Source: journal abstract)",2024,Journal of Affective Disorders,"Lai, Betty S.; Riobueno-Naylor, Alexa; Baum, Christopher; Hawkins, S. S."
D0062320,1,Scopus,10.1016/0002-1571(66)90008-2,Scopus:2-s2.0-0345370024,Studies on dew formation under semi-arid conditions,"In this study results of dew recordings by means of the Kessler dew recorder above various soil surfaces under semi-arid climatic conditions in the interior of South Africa are reported. Dew formation on lawn was heaviest in autumn but lowest in late winter and spring. Because dew deposition totalled approximately 12 mm over the year-or only 2% of the average annual rainfall-on 167 days, it was concluded that dew under the local conditions could not have a significant bearing on the water economy of the soil. However, in late summer and autumn dew occurred on 20 days per month and dew formation continued for 12-15 h at night. It was assumed that these conditions may reduce transpiration stress and favour the germination and spread of pathogenic spores on the plant surfaces. Compared with the amount of dew on lawn (100%), dewfall in growing wheat approached 200% when the sampling plate was placed slightly below the surface of the crop. The ratio between dew above uncropped soil and on lawn was approximately 55% throughout the year. It is emphasized that continuous dew recordings in crops are useful for field studies concerned with the effect of weather conditions on plant growth and plant diseases. In addition, standard recordings of dew occurrence on lawn are also necessary for reference purposes and for evaluations of the relationship between weather conditions and dew formation. © 1966.",1966,Agricultural Meteorology,Baier W.
D0119458,1,Embase,,Embase:LNCT01474993,Sulforaphane-rich Broccoli Sprout Extract for Autism,Brief Summary,2011,clinicaltrials.gov,
D0092674,1,Embase,10.3389/fonc.2024.1402217,Embase:L2031680251,"Association of hemoglobin, albumin, lymphocyte, and platelet score with risk of all-cause and cause-specific mortality among cancer survivors: NHANES 1999-2018","Background: The HALP score, comprising hemoglobin, albumin, lymphocyte, and platelet levels, serves as an indicator of both nutritional and inflammatory status. However, its correlation with all-cause and cause-specific mortality among cancer survivors remains unclear. Therefore, this study aims to investigate the relationship between HALP scores and mortality outcomes in this population. Method: We extracted cohort data spanning ten cycles (1999-2018) from the U.S. National Health and Nutrition Examination Survey (NHANES). Mortality rates, determined using the National Death Index (NDI) as of December 31, 2019, were assessed. Weighted multivariate logistic regression analyzed the association between HALP scores and cancer prevalence. Kaplan-Meier analyses and weighted multivariate-adjusted Cox analyses investigated the link between HALP scores and all-cause and cause-specific mortality in cancer survivors. Restricted cubic spline (RCS) analysis was employed to assess nonlinear relationships. Furthermore, multi-parametric subgroup analyses were conducted to ensure the robustness of the results. Results: Our study included 41,231 participants, of whom 3,786 were cancer survivors (prevalence: 9.5%). Over a median follow-up of 91 months (range: 51-136), we observed 1,339 deaths, including 397 from cancer, 368 from cardio-cerebrovascular disease, and 105 from respiratory disease. Elevated HALP scores showed a consistent association with reduced cancer incidence (P for trend <0.001). In multivariable-adjusted Cox regression analyses, HALP scores were significantly inversely associated with all-cause mortality, cancer mortality, cardio-cerebrovascular disease mortality, and respiratory disease mortality in cancer survivors (P for trend < 0.05). Nonlinear relationships between HALP scores and all-cause and cause-specific mortality in cancer survivors were evident through RCS regression modeling (P for nonlinearity < 0.01). Kaplan-Meier analyses demonstrated that higher HALP scores were indicative of a poorer prognosis. Conclusion: Our findings indicate a notable inverse correlation between HALP scores and both all-cause and cause-specific mortality among cancer survivors.",2024,Frontiers in Oncology,"Fu, J.; Yue, X.; Zou, Y.; Zhang, J.; Wang, X.; Zhang, D."
D0046156,2,Embase; Scopus,10.1080/09581596.2020.1846683,Embase:L2007323040; Scopus:2-s2.0-85096164984,Forging compromiso after the storm: activism as ethics of care among health care workers in Puerto Rico,"Puerto Rico was hit by a category 4 hurricane that severely damaged power, water, and communications systems on the 20<sup>th</sup> of September 2017. Based on 56 qualitative interviews, this article documents how health care workers created a new ethics of care after Hurricane Maria and engaged in novel forms of health activism to both repair past damage and imagine a different future. Many doctors, nurses, and other health care professionals went to work after the storm treating patients, fixing their workplaces, and resolving logistical problems. Health care workers responded emotionally to the event by finding meaning and purpose in their work, forging a sense of solidarity, and valuing their ability to help others. Our respondents used the term compromiso to describe their determination and sense of purpose, and we borrow this term to label the specific ethics of care generated from their experiences after Maria.",2021,Critical Public Health,Mulligan J.M.
D0130059,1,PsycINFO,,PsycINFO:1819920481,Crisis preparedness of leadership behaviors among governors during Hurricanes,"Crisis preparedness is the responsibility of every person, business, and leader, and leadership behavioral skills are an essential characteristic of crisis preparedness. The purpose of this case study was to explore the decisions of elected leaders along the Gulf Coast during Hurricanes Katrina and Ike in order to understand their leadership behaviors in crisis preparedness. The conceptual framework was based on the emergency management theory presented by McEntire in 2004, which helped to define the necessary components for leaders' successful crisis preparedness. Data were collected through interviews with 5 members from the National Emergency Management Agency along with a document review of elected leader responses and decisions during both Hurricanes Katrina and Ike from government reports, previous studies, and scholarly articles. Data were interpretively analyzed by listing out several leadership models and the behaviors that identify them and then by reviewing the document study information in 2 matrices for methodological triangulation and data saturation. The findings highlighted 5 emerging themes named as the five Cs of crisis preparedness: compassion, continuity, communication, common sense, and confidence. This study may contribute to social change by identifying key leadership traits that governors and other elected leaders should use in crisis preparedness, which may contribute to the safety, health, and well-being of constituents during a natural disaster. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",2016,Dissertation Abstracts International Section A: Humanities and Social Sciences,"Francis, Fredric Marc"
D0113306,1,Scopus,,Scopus:2-s2.0-85172688301,Seafarers' welfare under the maritime labour convention of 2006,"According to ILO 2021 (International Labour Organization) data, around 1.5 million seafarers are actively working around the world and live in extreme, often unsafe and risky positions that can negatively affect their physical and mental health. The maritime profession has been a stressful occupation due to long working hours, poor living standards, and ill-treatment of seafarers by charterers. While working, seafarers are constantly exposed to heat, noise, movement, malnutrition, poor housing conditions, shift work systems, leaving their family and social circles, and also face problems such as contractual conditions and non-regular wages. Seafarers' well-being has been one of the most debated issues in the maritime industry with the adoption and goes into effect of the Maritime Labour Convention (hereinafter MLC 2006). Many issues covered by maritime documents on the welfare and well-being of seafarers, adopted by the ILO since 1920, are covered by the MLC 2006. This convention went into effect in August 2013 and is now composed of more than 90% of the world's ship fleet. This convention aims to create quality working conditions for seafarers around the world under the principle of ""no more favourable treatment"" to achieve equal conditions. Thus, the importance of the human element, which is closely linked to crucial matters such as the protection of ship safety, the efficiency of maritime transport services, and the protection of human life and the marine environment, was",2023,Maritime Wellbeing,Daniş M.
D0045548,1,Scopus,10.1016/j.conbuildmat.2020.121174,Scopus:2-s2.0-85096403481,Influence of planes of anisotropy on physical and mechanical properties of freshwater limestone (Mudstone),"The formation of the freshwater lakes and travertine limestone was caused by the tectonic depression, which occurred in the Dinarides during the Miocene. This stone has been exploited and used since far back on the territory of Bosnia and Herzegovina as a building stone and for different architectural purposes. Most of the investigations were concentrated on the “tenelija” stone due to its massive use and construction of the famous Stari Most (Old Bridge) in Mostar. Not much investigation was devoted to “miljevina” (mudstone) which belongs to the same petrographic type. This is a soft carbonate rock that is highly porous, has small density, relatively low strengths, poor wear resistance, and low resistance to frost. In this paper, the influence of layers (planes of anisotropy - foliation) of the mudstone was investigated. Within an experimental campaign, numerous sets of tests were performed on different samples. Tests include uniaxial compressive strength (UCS) on cube and cylinder specimens, flexural strength under concentrated load and constant moment, tensile strength based on Brazilian tests, determination of Young's modulus, modulus of deformations, and Poisson ratio. Prediction of UCS and Young's modulus, as elastic mechanical characteristics, represent the main goal in engineering projects. Additionally, the influence of sample conditions and planes of anisotropy was investigated. Results have been compared and correlations are established. As a result, a new relation",2021,Construction and Building Materials,Ademović N.
D0069101,1,Embase,10.1016/j.biortech.2008.03.016,Embase:L50136084,Treatment of low strength complex wastewater using an anaerobic baffled reactor (ABR),"Treatment of a low strength complex wastewater of chemical oxygen demand (COD) around 500 mg/L was studied in a 10 L capacity laboratory scale anaerobic baffled reactor (ABR). It was operated at hydraulic retention times (HRTs) of 20, 15, 10, 8 and 6 h. Corresponding organic loading rates (OLRs) were 0.6, 0.8, 1.2, 1.5 and 2 kg COD/m3 d. At every HRT (or OLR), pseudo steady state (PSS) was achieved. Even at maximum OLR of 2 kg COD/m3 d, COD and biochemical oxygen demand (BOD) removals exceeded 88%. Removal of particulate fraction of organics was found to be greater than soluble fraction. Compartment-wise studies of various parameters revealed that if the OLR was larger, the number of initial compartments played significant role in the removal of organics. The values of volatile fatty acids (VFA) demonstrated that hydrolysis and acidogenesis were the main biochemical activities in the initial few compartments. Based on the tracer studies, dead space in the ABR was found to range from 23% to 34%. The flow pattern in the ABR was classified as intermediate between plug flow and perfectly mixed flows. Observations from scanning electron micrographs (SEM) also suggested that distinct phase separation takes place in an ABR. Study of organic and hydraulic shock loads revealed that ABR was capable of sustaining the type of shock loads generally experienced at a sewage treatment plant (STP). © 2008 Elsevier Ltd. All rights reserved.",2008,Bioresource Technology,"Gopala Krishna, G.V.T.; Kumar, P.; Kumar, P."
D0115893,1,Embase,,Embase:L23227525,Serum nicotine and cotinine levels during nicotine-patch therapy,"We related serum nicotine and cotinine levels while subjects were smoking their usual numbers of cigarettes to levels while wearing a nicotine patch under carefully controlled, smoke-free conditions in a clinical research center. Twenty-four volunteers who needed intensive treatment for severe nicotine dependence were admitted to the clinical research center and were treated with a 22 mg transdermal nicotine patch each day and an intensive smoking-cessation program. Serum nicotine and cotinine levels, withdrawal symptoms, and hours and quality of sleep were noted. The steady-state serum nicotine and cotinine levels produced with the nicotine patch were lower than those observed when the subjects were smoking. Mean nicotine and cotinine levels were inversely related to mean withdrawal scores for the first 6 days. A fixed dose of transdermal nicotine will not be effective for all smokers. Individualization of therapy should be based on objective biologic measures such as serum cotinine and subjective assessment of withdrawal relief.",1993,Clinical Pharmacology and Therapeutics,"Hurt, R.D.; Dale, L.C.; Offord, K.P.; Lauger, G.G.; Baskin, L.B.; Lawson, G.M.; Jiang, N.-S.; Hauri, P.J."
D0008034,3,Embase; PubMed; Scopus,10.1371/journal.pone.0062059,Embase:L368837405; PubMed:23646115; Scopus:2-s2.0-84876975608,"Association between Ambient Temperature and Acute Myocardial Infarction Hospitalisations in Gothenburg, Sweden: 1985-2010","Cardiovascular disease (CVD) is the number one cause of death globally and evidence is steadily increasing on the role of non-traditional risk factors such as meteorology and air pollution. Nevertheless, many research gaps remain, such as the association between these non-traditional risk factors and subtypes of CVD, such as acute myocardial infarction (AMI). The objective of this study was to investigate the association between daily ambient temperature and AMI hospitalisations using a case-crossover design in Gothenburg, Sweden (1985-2010). A secondary analysis was also performed for out-of-hospital ischemic heart disease (IHD) deaths. Susceptible groups by age and sex were explored. The entire year as well as the warm (April-September) and cold periods (October-March) were considered. In total 28 215 AMI hospitalisations (of 22 475 people) and 21 082 out-of-hospital IHD deaths occurred during the 26-year study period. A linear exposure-response corresponding to a 3% and 7% decrease in AMI hospitalisations was observed for an inter-quartile range (IQR) increase in the 2-day cumulative average of temperature during the entire year (11°C) and the warm period (6°C), respectively, with and without adjustment for PM10, NO2, NOx or O3. No heat waves occurred during the warm period. No evidence of an association in the cold period nor any association between temperature and IHD deaths in the entire year, warm or cold periods - with and without adjusting for PM10, NO2, NOx or O3 was found. No susceptible groups, based on age or sex, were identified either. The inverse association between temperature and AMI hospitalisations (entire year and warm period) in Gothenburg is in accordance with the majority of the few other studies that investigated this subtype of CVD. © 2013 Wichmann et al.",2013,PLoS ONE,"Wichmann, J.; Rosengren, A.; Sjöberg, K.; Barregard, L.; Sallsten, G."
D0014748,3,Embase; PubMed; Scopus,10.1097/aln.0000000000003441,Embase:L632787051; PubMed:32788558; Scopus:2-s2.0-85089609724,Benefit and Risk Evaluation of Biased μ-Receptor Agonist Oliceridine versus Morphine,"Background: To improve understanding of the respiratory behavior of oliceridine, a μ-opioid receptor agonist that selectively engages the G-protein-coupled signaling pathway with reduced activation of the β-arrestin pathway, the authors compared its utility function with that of morphine. It was hypothesized that at equianalgesia, oliceridine will produce less respiratory depression than morphine and that this is reflected in a superior utility. Methods: Data from a previous trial that compared the respiratory and analgesic effects of oliceridine and morphine in healthy male volunteers (n = 30) were reanalyzed. A population pharmacokinetic-pharmacodynamic analysis was performed and served as basis for construction of utility functions, which are objective functions of probability of analgesia, P(analgesia), and probability of respiratory depression, P(respiratory depression). The utility function = P(analgesia ≥ 0.5) - P(respiratory depression ≥ 0.25), where analgesia ≥ 0.5 is the increase in hand withdrawal latency in the cold pressor test by at least 50%, and respiratory depression ≥ 0.25 is the decrease of the hypercapnic ventilatory response by at least 25%. Values are median ± standard error of the estimate. Results: The two drugs were equianalgesic with similar potency values (oliceridine: 27.9 ± 4.9 ng/ml; morphine 34.3 ± 9.7 ng/ml; potency ratio, 0.81; 95% CI, 0.39 to 1.56). A 50% reduction of the hypercapnic ventilatory response by morphine occurred at an effect-site concentration of 33.7 ± 4.8 ng/ml, while a 25% reduction by oliceridine occurred at 27.4 ± 3.5 ng/ml (potency ratio, 2.48; 95% CI, 1.65 to 3.72; P < 0.01). Over the clinically relevant concentration range of 0 to 35 ng/ml, the oliceridine utility function was positive, indicating that the probability of analgesia exceeds the probability of respiratory depression. In contrast, the morphine function was negative, indicative of a greater probability of respiratory depression than analgesia. Conclusions: These data indicate a favorable oliceridine safety profile over morphine when considering analgesia and respiratory depression over the clinical concentration range.",2020,Anesthesiology,"Dahan, A.; Van Dam, C.J.; Niesters, M.; Van Velzen, M.; Fossler, M.J.; Demitrack, M.A.; Olofsen, E."
D0130934,1,PsycINFO,,PsycINFO:615947845,Hospital fires: Preparing staff before one starts,"Suggests a question and answer campaign on fire equipment and procedures to educate staff and employees of public and private institutions. (PsycINFO Database Record (c) 2016 APA, all rights reserved)",1973,Hospital & Community Psychiatry,"Prickman, Louis E."
