dedup_id,title,year,journal,candidate_topics,ai_suggestion_v3,ai_reason_v3,rater_a,rater_b,rater_c,rater_a_note,rater_b_note,rater_c_note
D0089594,Discrepancy Between Fingertip Glucose Levels and HbA1c in an Adolescent with Diabetes: A Fake Logbook or Pseudohypoglycemia?,2023,Turkish Archives of Pediatrics,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0089738,"Study Protocol for the Breathe Easier Trial: A Pilot RCT of a Dyad-Based, Multiple-Behavior Intervention for Improving Physical and Emotional Health in Survivors Facing Lung Cancer",2023,Integrative Cancer Therapies,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0089973,"A mHealth intervention (mTB-Tobacco) for smoking cessation in people with drug-sensitive pulmonary tuberculosis: protocol for an adaptive design, cluster randomised controlled trial (Quit4TB)",2024,medRxiv,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0090132,Exploring the therapeutic and nutritional potential of camel milk: Challenges and prospects: A comprehensive review,2024,Applied Food Research,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,Not sure why this one got in.,,
D0091082,Experiences and actions of part-time firefighters' family members: a critical incident study,2024,BMJ Open,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0092274,"UNCOVERING THE VULNERABILITY OF CANCER SURVIVALS, VIOLENCE AND MATERNAL HEALTH RISK DURING FLOODS IN PAKATAN",2024,International Journal of Gynecological Cancer,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Explicitly cross-sectional design; cannot identify within-unit variation in flood exposure.,,EXCLUDE,EXCLUDE,,,
D0093542,TERT activator compound alleviates cigarette smoke-induced cognitive deficits by modulating hippocampal inflammation and neurogenesis: A comprehensive study integrating Mendelian randomization,2026,Experimental Neurology,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,No climate hazard,
D0093691,Clinical characteristics and genotype of children with Coffin-Siris syndrome,2026,Chinese Journal of Applied Clinical Pediatrics,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0096073,Alcohol and Its Effect on Hypothermia-induced Rhabdomyolysis,2025,American Journal of Respiratory and Critical Care Medicine,temperature,EXCLUDE,temperature: EXCLUDE [wrong_outcome] - Case report of hypothermia-induced rhabdomyolysis; no mental-health outcome measured.,EXCLUDE,EXCLUDE,,,No mental health/wellbeing outcome,
D0097635,Psychological distress of adolescents exposed to Hurricane Hugo,1994,Journal of Traumatic Stress,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Cross-sectional survey one year after Hurricane Hugo; no pre-post within-unit design.,EXCLUDE,EXCLUDE,,Not casual,,
D0097825,"Self‐efficacy mediates effects of exposure, loss of resources, and life stress on posttraumatic distress among trauma survivors",2009,Applied Psychology: Health and Well-Being,cyclone,REVIEW,"cyclone: INCLUDE - Longitudinal Hurricane Katrina survivors study; PTSD/distress outcomes; no pre-disaster baseline, review_flag.",EXCLUDE,EXCLUDE,,,Correlation,
D0097922,Effect of prolonged nicotine infusion on response of rat catecholamine biosynthetic enzymes to restraint and cold stress,2005,"Pharmacology, Biochemistry and Behavior",,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0099494,Meeting intrinsic and extrinsic challenges in the framework of a smoke-free society,2021,Journal of American College Health,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0099883,Zur Psychologie und Psychopathologie der Brandstiftung 1955 bis 1991—eine Übersicht,1992,"Fortschritte der Neurologie, Psychiatrie",,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0101163,A relation between seasonal temperature and the birth rate of schizophrenic patients,1981,Acta Psychiatrica Scandinavica,temperature,EXCLUDE,"temperature: EXCLUDE [wrong_outcome] - Outcome is birth rate of schizophrenia, not an eligible measured mental-health outcome.",,EXCLUDE,EXCLUDE,,,
D0101596,Is running away right? The behavioral activation-behavioral inhibition model of anterior asymmetry,2008,Emotion,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0102464,Psychotic reactions to a natural disaster: Hurricane Alicia.,1985,Texas medicine,cyclone,REVIEW,"cyclone: INCLUDE - Title suggests hurricane exposure and psychotic reactions; no abstract, flag for review.",,REVIEW,REVIEW,,,No abstract
D0103339,"MEASURING PERFORMANCE CHANGES IN HIGHLY TRANSIENT EXTREME HEAT STRESS: RATIONALE, PROBLEM, AND EXPERIMENTAL PROCEDURES. TECHN DOCUM REP AMRL-TDR-63-1.",1963,AMRL-TR. Aerospace Medical Research Laboratories (U.S.),temperature,EXCLUDE,"temperature: EXCLUDE [wrong_outcome] - Title indicates measuring performance changes under heat stress, not a mental-health/wellbeing outcome.",EXCLUDE,,EXCLUDE,,,
D0106423,"Suicide mortality rates in Louisiana, 1999-2010.",2012,The Journal of the Louisiana State Medical Society : official organ of the Louisiana State Medical Society,cyclone,INCLUDE,cyclone: INCLUDE - Pre/post Katrina comparison of suicide rates in Louisiana parishes; eligible outcome and hazard.,EXCLUDE,,EXCLUDE,,,
D0106479,Outpatient evaluation of the immediate and delayed effects of the abnormally hot summer of 2010 on the course of cardiovascular disease,2012,Terapevticheskii Arkhiv,temperature,INCLUDE,"temperature: INCLUDE - Study links hot summer exposure to anxiety and quality of life, eligible mental-health outcomes.",,REVIEW,EXCLUDE,,,
D0109058,"Psychological effects of traumatic events in children, crisis intervention",2002,Psychoterapia,flood,REVIEW,"flood: INCLUDE - Flood and PTSD outcomes present; design unspecified, flag for review.",,EXCLUDE,EXCLUDE,,,Not within unit
D0109723,"Environmental evolution of the Mallee region, western Murray Basin",2006,Proceedings of the Royal Society of Victoria,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0109844,Crisis not over for hurricane victims.,2006,Environmental health perspectives,cyclone,REVIEW,cyclone: INCLUDE - Title suggests hurricane aftermath but outcome unclear; include for review.,INCLUDE,REVIEW,,"Not Sure, but let's see the fulltext",,
D0113403,Digitized Innovation of Supply Chain Financial mode in Agricultural Cold Chain Logistics,2023,Proceedings of the 12th International Conference on Logistics and Systems Engineering,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0114735,ENHANCING THE QUALITY OF LIFE-ELECTRICALLY.,1972,IEEE Transactions on Industry Applications,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0115167,Reduction of tobacco withdrawal symptoms with a sublingual nicotine tablet: a placebo controlled study.,2000,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0115280,Side effects of pharmaceuticals not elicited by comparable herbal medicines: the case of tetrahydrocannabinol and marijuana.,1999,Alternative therapies in health and medicine,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0115450,Coping self-efficacy buffers psychological and physiological disturbances in HIV-infected men following a natural disaster.,1997,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",cyclone,REVIEW,cyclone: INCLUDE - Hurricane Andrew exposure with measured PTSD and emotional distress in a human sample.,EXCLUDE,EXCLUDE,,,Off the topic,
D0115960,"Hyperthermia in sauna is unable to increase the plasma levels of ACTH/Cortisol, β-endorphin and prolactin in cocaine addicts",1992,Journal of Endocrinological Investigation,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0116211,Caring for the caretakers in times of disaster. The Hurricane Hugo experience.,1990,Journal of child and adolescent psychiatric and mental health nursing,cyclone,REVIEW,"cyclone: INCLUDE - No abstract; title suggests disaster, so include for review.",EXCLUDE,REVIEW,,,,
D0116251,Onset of panic disorder with agoraphobia. Toward an integrated model,1989,Archives of General Psychiatry,temperature,REVIEW,"temperature: INCLUDE - Links warm weather to first panic onset in panic disorder; design not explicit, flag for review.",EXCLUDE,,EXCLUDE,,,No within unit
D0118312,Mibelli's porokeratosis,1954,Biblioteca Fac. Med.,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0118717,Randomized Clinical Trial to Evaluate Guidelines for Acute Rhinosinusitis (Phase IV Study),2006,clinicaltrials.gov,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0120003,"Associations among disaster exposure, intimate relationship adjustment, and PTSD symptoms: can disaster exposure enhance a relationship?",2010,Journal of traumatic stress,flood,EXCLUDE,flood: EXCLUDE [wrong_design] - Single post-disaster cross-sectional assessment; no within-unit temporal variation.,,EXCLUDE,EXCLUDE,,,Single wave
D0121328,Blood biomarker for diagnosing mild cognition impairment and Alzheimer's disease using bio-functionalized magnetic nanoparticles,2014,Alzheimer's and Dementia,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,,
D0122391,Test-retest Reproducibility of [11C]PHNO PET Using the Constant Infusion,2012,clinicaltrials.gov,,EXCLUDE,No eligible registered hazard identified.,,EXCLUDE,EXCLUDE,,,
D0127047,An Efficient Treatment for Posttraumatic Injury for Firefighters,2023,clinicaltrials.gov,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,REVIEW,,,,
D0128578,Internet gaming disorder among disaster-exposed chinese young adults: Its measurement and association with symptoms of posttraumatic stress disorder and depression,2023,Dissertation Abstracts International Section A: Humanities and Social Sciences,cyclone,INCLUDE,cyclone: INCLUDE - Longitudinal study after Typhoon Hato measuring PTSD and depression symptoms in young adults.,EXCLUDE,REVIEW,,,,
D0128595,Assessing long-term effects of trauma: Diagnosing symptoms of avoidance and numbing,1999,The American Journal of Psychiatry,flood,REVIEW,"flood: INCLUDE - Flood survivors assessed for PTSD symptoms; design details incomplete, flag for review.",EXCLUDE,EXCLUDE,,,Interview study,
D0128821,Cumulative trauma and the long-term health and recovery of disaster survivors,2024,Dissertation Abstracts International: Section B: The Sciences and Engineering,cyclone,INCLUDE,cyclone: INCLUDE - Hurricane Katrina survivors; PTSD trajectories; eligible hazard and outcome.,,EXCLUDE,REVIEW,,,Doesn't mention if repeated measures were used
D0128847,"Psychological distress, job dissatisfaction, and somatic symptoms among office workers in 6 non-problem buildings in the Midwest",2014,Annals of Clinical Psychiatry,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,,EXCLUDE,,,
D0128882,Examination of the relationship between academic achievement and traumatic stress following Hurricane Katrina,2022,Dissertation Abstracts International Section A: Humanities and Social Sciences,cyclone,EXCLUDE,"cyclone: EXCLUDE [wrong_design] - Post-hurricane PTSD measured once, no pre-hazard comparison; design cannot identify within-unit effect.",EXCLUDE,EXCLUDE,,The paper is about PTSD and academic achievement.,"Participants were 343 mother-child dyads recruited from public and private schools within Orleans Parish, Jefferson Parish, and East Baton Rouge Parish 4-7 months following Hurricane Katrina.  - SO no comparison before and after the event (aka, no within-unit variation)",
D0129023,"Posttraumatic stress symptoms, dissociation, and alexithymia in an Italian sample of flood victims",2014,Neuropsychiatric Disease and Treatment,flood,REVIEW,"flood: INCLUDE - Flood victims with measured PTSD-related symptoms; design not stated, so include with review_flag.",EXCLUDE,,EXCLUDE,,,cross sectional
D0129052,"Coping after natural disasters: A re-evaluation of self-compassion as a resilience factor for stress-related psychopathology, a SEM 2-factor model",2022,Dissertation Abstracts International: Section B: The Sciences and Engineering,cyclone,REVIEW,"cyclone: INCLUDE - Hurricane Harvey exposure linked to PTSD, GAD, depression; design not explicit, so flag for review.",EXCLUDE,,EXCLUDE,,,Cross sectional
D0129536,Looking homeward: Place attachment and forced relocation,2016,Dissertation Abstracts International: Section B: The Sciences and Engineering,cyclone,EXCLUDE,cyclone: EXCLUDE [wrong_design] - Qualitative phenomenological study with interviews; no repeated quantitative measurement; design ineligible.,EXCLUDE,,EXCLUDE,,,Qualitative interview
D0131373,El Anclaje Sociocultural de la Experiencia Emocional de las Naciones. Un análisis colectivo,1999,Boletín de Psicología (Spain),,EXCLUDE,"temperature: EXCLUDE [wrong_design] - Cross-country ecological correlation, no within-unit temporal variation.",EXCLUDE,,EXCLUDE,,,
D0131394,Crianza y esquizofrenia,2005,Salud Mental,,EXCLUDE,No eligible registered hazard identified.,EXCLUDE,EXCLUDE,,,No climate hazard,
