conflict_group,reason,dedup_id,source,source_id,doi,title,year,first_author
the effects of danazol on gonadotropins and steroid blood levels in normal and anovulatory women,first_author_conflict,D0103042,Embase,L6031517,,The effects of Danazol on gonadotropins and steroid blood levels in normal and anovulatory women,1975,Andrews
fabrication of a polysar temporary prosthesis in a hospital setting,first_author_conflict,D0103045,PubMed,1119920,,"Fabrication of a polysar, temporary prosthesis in a hospital setting.",1975,Tucker J
fabrication of a polysar temporary prosthesis in a hospital setting,first_author_conflict,D0103046,Scopus,2-s2.0-0016650625,,"Fabrication of a polysar, temporary prosthesis in a hospital setting",1975,Tucker J.
effect of plasma steroids or steroid products on the adhesion of human opsonized thrombocytes to human leukocytes,first_author_conflict,D0103048,PubMed,804027,,"Effect of plasma, steroids, or steroid products on the adhesion of human opsonized thrombocytes to human leukocytes.",1975,Verp M
effect of plasma steroids or steroid products on the adhesion of human opsonized thrombocytes to human leukocytes,first_author_conflict,D0103049,Scopus,2-s2.0-0016705976,,"Effect of plasma, steroids, or steroid products on the adhesion of human opsonized thrombocytes to human leukocytes",1975,Verp M.
effect of plasma steroids or steroid products on the adhesion of human opsonized thrombocytes to human leukocytes,first_author_conflict,D0103050,Embase,L6051907,,"Effect of plasma, steroids, or steroid products on the adhesion of human opsonized thrombocytes to human leukocytes",1975,Verp
urinary excretion of hydroxyprolines in man under the influence of cold,first_author_conflict,D0103051,PubMed,238279,,Urinary excretion of hydroxyprolines in man under the influence of cold.,1975,Lennquist S
urinary excretion of hydroxyprolines in man under the influence of cold,first_author_conflict,D0103052,Embase,L6068462,,Urinary excretion of hydroxyprolines in man under the influence of cold,1975,Lennquist
editorial the burn prone society,first_author_conflict,D0103053,PubMed,1172736,,Editorial: The burn-prone society.,1975,Moore FD
editorial the burn prone society,first_author_conflict,D0103054,Embase,L5462582,,Editorial: The burn-prone society.,1975,Moore
epidemiology of burns the burn prone patient,first_author_conflict,D0103055,PubMed,122846,,Epidemiology of burns. The burn-prone patient.,1975,MacArthur JD
epidemiology of burns the burn prone patient,first_author_conflict,D0103056,Embase,L5462574,,Epidemiology of burns. The burn-prone patient.,1975,MacArthur
influence of imipramine on the circulatory system in the course of endogenous depressive syndromes ii influence of imipr,first_author_conflict,D0103058,PubMed,1220631,,Influence of imipramine on the circulatory system in the course of endogenous depressive syndromes. II. Influence of imipramine on vascular reflexes.,1975,Strzyzewski W
influence of imipramine on the circulatory system in the course of endogenous depressive syndromes ii influence of imipr,first_author_conflict,D0103059,Scopus,2-s2.0-0016788878,,Influence of imipramine on the circulatory system in the course of endogenous depressive syndromes. II. Influence of imipramine on vascular reflexes,1975,Strzyzewski W.
heat stable alkaline phosphatase in methadone maintained pregnancies,first_author_conflict,D0103060,PubMed,1163376,,Heat-stable alkaline phosphatase in methadone-maintained pregnancies.,1975,Harper RG
heat stable alkaline phosphatase in methadone maintained pregnancies,first_author_conflict,D0103061,Embase,L5561059,,Heat-stable alkaline phosphatase in methadone-maintained pregnancies.,1975,Harper
chemical and physical enviromental hazards for children,first_author_conflict,D0103062,PubMed,1161691,,Chemical and physical enviromental hazards for children.,1975,Barltrop D
chemical and physical enviromental hazards for children,first_author_conflict,D0103063,Embase,L5555186,,Chemical and physical enviromental hazards for children.,1975,Barltrop
the dynamics of autonomic vascular disorders in patients with the scalenus syndrome before and after surgery,first_author_conflict,D0103066,PubMed,1119243,,[The dynamics of autonomic vascular disorders in patients with the scalenus syndrome before and after surgery].,1975,Burd GS
the dynamics of autonomic vascular disorders in patients with the scalenus syndrome before and after surgery,first_author_conflict,D0103067,Embase,L5488888,,The dynamics of autonomic vascular disorders in patients with the scalenus syndrome before and after surgery,1975,Burd
tests on the vegetative dynamics of depression under thymoleptic treatment,first_author_conflict,D0103072,PubMed,22889,,[Tests on the vegetative dynamics of depression under thymoleptic treatment].,1975,Strzyzewski W
tests on the vegetative dynamics of depression under thymoleptic treatment,first_author_conflict,D0103073,Scopus,2-s2.0-0016673388,,Tests on the vegetative dynamics of depression under thymoleptic treatment,1975,Strzyzewski W.
tests on the vegetative dynamics of depression under thymoleptic treatment,first_author_conflict,D0103074,Embase,L8647088,,Tests on the vegetative dynamics of depression under thymoleptic treatment,1975,Strzyzewski
pulmonary edema in hangings,first_author_conflict,D0103075,PubMed,9873,,[Pulmonary edema in hangings].,1975,Petitjean C
pulmonary edema in hangings,first_author_conflict,D0103076,Embase,L6595393,,Pulmonary edema in hangings,1975,Petitjean
arsonic behavior in under age patients with disbalanced psychics author s transl,first_author_conflict,D0103082,PubMed,4842213,,[Arsonic behavior in under-age patients with disbalanced psychics (author's transl)].,1974,Mecír J
arsonic behavior in under age patients with disbalanced psychics author s transl,first_author_conflict,D0103083,Embase,L4519141,,Arsonic behavior in under-age patients with disbalanced psychics (author's transl),1974,Mecír
thermogenesis and lipid metabolism in mammals exposed to cold,first_author_conflict,D0103084,PubMed,4613044,,[Thermogenesis and lipid metabolism in mammals exposed to cold].,1974,Vasil'eva ED
thermogenesis and lipid metabolism in mammals exposed to cold,first_author_conflict,D0103085,Embase,L5457451,,Thermogenesis and lipid metabolism in mammals exposed to cold,1974,Vasil'eva
motivation for arson,title_short_or_generic,D0103091,PubMed,4849212,,[Motivation for arson].,1974,Wagner G
motivation for arson,title_short_or_generic,D0103092,Embase,L4527719,,Motivation for arson,1974,Wagner
cases of othematoma caused by accidental hypothermia hospitalized in the otorhinolaryngological section of ploiesti duri,first_author_conflict,D0103095,PubMed,4847398,,"[Cases of othematoma caused by accidental hypothermia hospitalized in the Otorhinolaryngological Section of Ploieşti, during a 5-year period, with special consideration of therapeutic management].",1974,Stefaniu A
cases of othematoma caused by accidental hypothermia hospitalized in the otorhinolaryngological section of ploiesti duri,first_author_conflict,D0103096,Scopus,2-s2.0-0016030377,,"Cases of othematoma caused by accidental hypothermia hospitalized in the Otorhinolaryngological Section of Ploieşti, during a 5-year period, with special consideration of therapeutic management",1974,Stefaniu A.
cases of othematoma caused by accidental hypothermia hospitalized in the otorhinolaryngological section of ploiesti duri,first_author_conflict,D0103097,Embase,L4523858,,"Cases of othematoma caused by accidental hypothermia hospitalized in the Otorhinolaryngological Section of Ploieşti, during a 5-year period, with special consideration of therapeutic management",1974,Stefaniu
on arson committed by schizophrenics,first_author_conflict,D0103099,PubMed,4853431,,On arson committed by schizophrenics.,1974,Virkkunen M
on arson committed by schizophrenics,first_author_conflict,D0103100,Embase,L5068270,,On arson committed by schizophrenics,1974,Virkkunen
a new treatment of agoraphobia in vivo group immersion flooding,first_author_conflict,D0103108,PubMed,4156515,,[A new treatment of agoraphobia: in-vivo group immersion (flooding)].,1973,Hand I
a new treatment of agoraphobia in vivo group immersion flooding,first_author_conflict,D0103109,Embase,L5515181,,A new treatment of agoraphobia: in-vivo group immersion (flooding),1973,Hand
depression the mental cold,first_author_conflict,D0103112,PubMed,4490429,,"Depression--the mental ""cold"".",1973,Frost M
depression the mental cold,first_author_conflict,D0103113,Scopus,2-s2.0-0015915342,,"Depression--the mental ""cold"".",1973,Frost M.
depression the mental cold,first_author_conflict,D0103114,Embase,L93410524,,"Depression--the mental ""cold"".",1973,Frost
eccrine sweat gland function in chronic alcoholics ii the magnesium and calcium loss in sweat and urine during heat expo,first_author_conflict,D0103117,PubMed,4741786,,[Eccrine sweat gland function in chronic alcoholics. II. The magnesium and calcium loss in sweat and urine during heat exposure (author's transl)].,1973,Zazgornik J
eccrine sweat gland function in chronic alcoholics ii the magnesium and calcium loss in sweat and urine during heat expo,first_author_conflict,D0103118,Embase,L93409708,,Eccrine sweat gland function in chronic alcoholics. II. The magnesium and calcium loss in sweat and urine during heat exposure (author's transl),1973,Zazgornik
criminosynthesis and therapy of an lsd dependent criminal arsonist,first_author_conflict,D0103119,PubMed,4778179,,[Criminosynthesis and therapy of an LSD dependent criminal arsonist].,1973,Giannell AS
criminosynthesis and therapy of an lsd dependent criminal arsonist,first_author_conflict,D0103120,Embase,L4460613,,Criminosynthesis and therapy of an LSD dependent criminal arsonist,1973,Giannell
studies on the physical dependence liability of analgesics 1 electron microscopic studies on the ultra structural transf,first_author_conflict,D0103122,PubMed,4542621,,Studies on the physical dependence liability of analgesics. 1. Electron microscopic studies on the ultra-structural transformation of mitochondria in the cells of zona fasciculata of the adrenal cortex in morphine addicted rats.,1973,Yano I
studies on the physical dependence liability of analgesics 1 electron microscopic studies on the ultra structural transf,first_author_conflict,D0103123,Embase,L93409575,,Studies on the physical dependence liability of analgesics. 1. Electron microscopic studies on the ultra-structural transformation of mitochondria in the cells of zona fasciculata of the adrenal cortex in morphine addicted rats.,1973,Yano
the hello house fire response of alcoholics to crisis,first_author_conflict,D0103124,PubMed,4697032,,The Hello House fire: response of alcoholics to crisis.,1973,Rosenberg CM
the hello house fire response of alcoholics to crisis,first_author_conflict,D0103125,Embase,L93340251,,The Hello House fire: response of alcoholics to crisis.,1973,Rosenberg
the hello house fire response of alcoholics to crisis,first_author_conflict,D0103126,PsycINFO,615920832,,The Hello House fire: Response of alcoholics to crisis,1973,Rosenberg
psychiatric admissions and climatic factors in the coastal regions of israel,first_author_conflict,D0103127,PubMed,4515799,,Psychiatric admissions and climatic factors in the coastal regions of Israel.,1973,Schlosberg A
psychiatric admissions and climatic factors in the coastal regions of israel,first_author_conflict,D0103128,Scopus,2-s2.0-0015754933,,Psychiatric admissions and climatic factors in the coastal regions of Israel,1973,Schlosberg A.
psychiatric admissions and climatic factors in the coastal regions of israel,first_author_conflict,D0103129,Embase,L4143571,,Psychiatric admissions and climatic factors in the coastal regions of Israel,1973,Schlosberg
psychiatric admissions and climatic factors in the coastal regions of israel,first_author_conflict,D0103130,PsycINFO,615924469,,Psychiatric admissions and climatic factors in the coastal regions of Israel,1973,Schlosberg
carbon dioxide therapy cdt of addictions,first_author_conflict,D0103131,PubMed,4747549,,Carbon dioxide therapy (CDT) of addictions.,1973,LaVerne AA
carbon dioxide therapy cdt of addictions,first_author_conflict,D0103132,PubMed,4802418,,Carbon dioxide therapy (CDT) of addictions.,1973,La Verne AA
carbon dioxide therapy cdt of addictions,first_author_conflict,D0103133,Scopus,2-s2.0-0015812328,,Carbon dioxide therapy (CDT) of addictions,1973,LaVerne A.
carbon dioxide therapy cdt of addictions,first_author_conflict,D0103134,Scopus,2-s2.0-0015568877,,Carbon dioxide therapy (CDT) of addictions.,1973,La Verne A.
our experience with suspension laryngoscopy,first_author_conflict,D0103137,PubMed,4783608,,[Our experience with suspension laryngoscopy].,1973,Fourati M
our experience with suspension laryngoscopy,first_author_conflict,D0103138,Embase,L4471486,,Our experience with suspension laryngoscopy,1973,Fourati
the arsonist real and imagined,first_author_conflict,D0103140,PubMed,4723206,,"[The arsonist, real and imagined].",1973,Axberger G
the arsonist real and imagined,first_author_conflict,D0103141,Embase,L93391577,,"The arsonist, real and imagined",1973,Axberger
suicides by fire in france,first_author_conflict,D0103142,PubMed,4648955,,[Suicides by fire in France].,1972,Bréhant J
suicides by fire in france,first_author_conflict,D0103143,Embase,L93324549,,Suicides by fire in France,1972,Bréhant
winter ailments in general practice,first_author_conflict,D0103144,PubMed,4654749,,Winter ailments in general practice.,1972,Clark JS
winter ailments in general practice,first_author_conflict,D0103145,Scopus,2-s2.0-0015464396,,Winter ailments in general practice.,1972,Clark J.
winter ailments in general practice,first_author_conflict,D0103146,Embase,L93318724,,Winter ailments in general practice.,1972,Clark
the effect of the cold pressor test on pupillary reactivity of schizophrenics in remission,first_author_conflict,D0103147,PubMed,5086958,,The effect of the cold pressor test on pupillary reactivity of schizophrenics in remission.,1972,Rubin LS
the effect of the cold pressor test on pupillary reactivity of schizophrenics in remission,first_author_conflict,D0103148,Embase,L93260140,,The effect of the cold pressor test on pupillary reactivity of schizophrenics in remission.,1972,Rubin
the effect of the cold pressor test on pupillary reactivity of schizophrenics in remission,first_author_conflict,D0103149,PsycINFO,615872548,,The effect of the cold pressor test on pupillary reactivity of schizophrenics in remission,1972,Rubin
human sweating depression due to heat adaptative or reactional phenomenon,first_author_conflict,D0103150,PubMed,4649929,,[Human sweating depression due to heat. Adaptative or reactional phenomenon].,1972,Henane R
human sweating depression due to heat adaptative or reactional phenomenon,first_author_conflict,D0103151,Scopus,2-s2.0-19244377032,,Human sweating depression due to heat. Adaptative or reactional phenomenon,1972,Henane R.
human sweating depression due to heat adaptative or reactional phenomenon,first_author_conflict,D0103152,Embase,L93299191,,Human sweating depression due to heat. Adaptative or reactional phenomenon,1972,Henane
changes of the peripheral and cerebral blood circulation in neurasthenia patients following caloric test,first_author_conflict,D0103153,PubMed,4645413,,[Changes of the peripheral and cerebral blood circulation in neurasthenia patients following caloric test].,1972,Merdjanov T
changes of the peripheral and cerebral blood circulation in neurasthenia patients following caloric test,first_author_conflict,D0103154,Embase,L93287327,,Changes of the peripheral and cerebral blood circulation in neurasthenia patients following caloric test,1972,Merdjanov
perspective on flooding,title_short_or_generic,D0103159,PubMed,4155532,,Perspective on flooding.,1972,Marks I
perspective on flooding,title_short_or_generic,D0103160,Scopus,2-s2.0-0015341280,,Perspective on flooding.,1972,Marks I.
perspective on flooding,title_short_or_generic,D0103161,Embase,L5470240,,Perspective on flooding.,1972,Marks
perspective on flooding,title_short_or_generic,D0103162,PsycINFO,615879473,,Perspective on flooding,1972,Marks
disaccharide flooding of the small intestine,first_author_conflict,D0103163,PubMed,5054517,,[Disaccharide flooding of the small intestine].,1972,Mamelle JC
disaccharide flooding of the small intestine,first_author_conflict,D0103164,Embase,L92498316,,Disaccharide flooding of the small intestine,1972,Mamelle
study of a group of 87 patients with depressive states triggered by the floods of may 1970,first_author_conflict,D0103165,PubMed,5027404,,[Study of a group of 87 patients with depressive states triggered by the floods of May 1970].,1972,Grecu G
study of a group of 87 patients with depressive states triggered by the floods of may 1970,first_author_conflict,D0103166,Scopus,2-s2.0-0015306052,,Study of a group of 87 patients with depressive states triggered by the floods of May 1970,1972,Grecu G.
study of a group of 87 patients with depressive states triggered by the floods of may 1970,first_author_conflict,D0103167,Embase,L92435577,,Study of a group of 87 patients with depressive states triggered by the floods of May 1970,1972,Grecu
causes of death of alcoholics,first_author_conflict,D0103168,PubMed,4551020,,Causes of death of alcoholics.,1972,Schmidt W
causes of death of alcoholics,first_author_conflict,D0103169,Embase,L92372924,,Causes of death of alcoholics.,1972,Schmidt
fitness for the tropics,first_author_conflict,D0103171,PubMed,5015791,,Fitness for the tropics.,1972,Malcolm N
fitness for the tropics,first_author_conflict,D0103172,Scopus,2-s2.0-0015295582,,Fitness for the tropics.,1972,Malcolm N.
the pathogenesis of acroparesthesia in neurasthenia,first_author_conflict,D0103173,PubMed,5070016,,[The pathogenesis of acroparesthesia in neurasthenia].,1972,Perli PD
the pathogenesis of acroparesthesia in neurasthenia,first_author_conflict,D0103174,Embase,L92509716,,The pathogenesis of acroparesthesia in neurasthenia,1972,Perli
etiology and pathogenesis of trigeminal neuralgia,first_author_conflict,D0103175,PubMed,5020037,,[Etiology and pathogenesis of trigeminal neuralgia].,1972,Smirnov VA
etiology and pathogenesis of trigeminal neuralgia,first_author_conflict,D0103176,Embase,L92417367,,Etiology and pathogenesis of trigeminal neuralgia,1972,Smirnov
cold induced diuresis a study with special reference to electrolyte excretion osmolal balance and hormonal changes,first_author_conflict,D0103177,PubMed,4655205,,"Cold-induced diuresis. A study with special reference to electrolyte excretion, osmolal balance and hormonal changes.",1972,Lennquist S
cold induced diuresis a study with special reference to electrolyte excretion osmolal balance and hormonal changes,first_author_conflict,D0103178,Embase,L93321131,,"Cold-induced diuresis. A study with special reference to electrolyte excretion, osmolal balance and hormonal changes.",1972,Lennquist
sudoral depression during controlled hyperthermia in man,first_author_conflict,D0103179,PubMed,4654455,,[Sudoral depression during controlled hyperthermia in man].,1972,Hénane R
sudoral depression during controlled hyperthermia in man,first_author_conflict,D0103180,Scopus,2-s2.0-0015441676,,Sudoral depression during controlled hyperthermia in man,1972,Hénane R.
sweat depression during controlled hyperthermia in humans effects on sweat output and electrolytes,first_author_conflict,D0103181,PubMed,4639479,,[Sweat depression during controlled hyperthermia in humans. Effects on sweat output and electrolytes].,1972,Hénane R
sweat depression during controlled hyperthermia in humans effects on sweat output and electrolytes,first_author_conflict,D0103182,Scopus,2-s2.0-0015458953,,Sweat depression during controlled hyperthermia in humans. Effects on sweat output and electrolytes,1972,Hénane R.
role of physical therapy and rehabilitation medicine in the management of chronic arthritis,first_author_conflict,D0103185,PubMed,5159963,,Role of physical therapy and rehabilitation medicine in the management of chronic arthritis.,1971,Shepard RC
role of physical therapy and rehabilitation medicine in the management of chronic arthritis,first_author_conflict,D0103186,Scopus,2-s2.0-0015153835,,Role of physical therapy and rehabilitation medicine in the management of chronic arthritis.,1971,Shepard R.C.
evaluation of violence and dangerous behavior associated with mental illness,first_author_conflict,D0103189,PubMed,4950883,,Evaluation of violence and dangerous behavior associated with mental illness.,1971,Greenland C
evaluation of violence and dangerous behavior associated with mental illness,first_author_conflict,D0103190,Embase,L5446483,,Evaluation of violence and dangerous behavior associated with mental illness.,1971,Greenland
cold urticaria psychosomatic disorder,first_author_conflict,D0103191,PubMed,5283212,,Cold urticaria: psychosomatic disorder?,1971,Ambrosino SV
cold urticaria psychosomatic disorder,first_author_conflict,D0103192,Embase,L91419478,,Cold urticaria: psychosomatic disorder?,1971,Ambrosino
cold urticaria psychosomatic disorder,first_author_conflict,D0103193,PsycINFO,615797474,,Cold urticaria: Psychosomatic disorder?,1971,Ambrosino
why psychotherapy for schizophrenics a reply to monica frost,first_author_conflict,D0103194,PubMed,5102943,,Why psychotherapy for schizophrenics? A reply to Monica Frost.,1971,Bradbury A
why psychotherapy for schizophrenics a reply to monica frost,first_author_conflict,D0103195,Embase,L91375741,,Why psychotherapy for schizophrenics? A reply to Monica Frost.,1971,Bradbury
studies on hypoxanthine guanine phosphoribosyltransferase in fibroblasts from patients with the lesch nyhan syndrome evi,first_author_conflict,D0103196,PubMed,5554300,,Studies on hypoxanthine-guanine phosphoribosyltransferase in fibroblasts from patients with the Lesch-Nyhan syndrome. Evidence for genetic heterogeneity.,1971,Kelley WN
studies on hypoxanthine guanine phosphoribosyltransferase in fibroblasts from patients with the lesch nyhan syndrome evi,first_author_conflict,D0103197,Embase,L292145983,,Studies on hypoxanthine guanine phosphoribosyltransferase in fibroblasts from patients with the Lesch Nyhan syndrome. Evidence for genetic heterogeneity,1971,Kelley
urticaria,title_short_or_generic,D0103200,PubMed,5573804,,[Urticaria].,1971,Juhlin L
urticaria,title_short_or_generic,D0103201,PubMed,4188100,,Urticaria.,1969,
urticaria,title_short_or_generic,D0103202,Scopus,2-s2.0-33745460495,,Urticaria,2005,Surrenti T.
urticaria,title_short_or_generic,D0103203,Embase,L28413664,,Urticaria,1998,
urticaria,title_short_or_generic,D0103204,Embase,L91381623,,Urticaria,1971,Juhlin
urticaria,title_short_or_generic,D0103205,Embase,L90290863,,Urticaria.,1969,
urticaria,title_short_or_generic,D0103206,Embase,L43951255,,Urticaria,2005,Surrenti
the state of the sympathetic adrenal system in patients with chronic psychoses undergoing rehabilitative therapy accordi,first_author_conflict,D0103209,PubMed,5569412,,[The state of the sympathetic-adrenal system in patients with chronic psychoses undergoing rehabilitative therapy (according to findings from a catecholamine study)].,1971,Efimenko VL
the state of the sympathetic adrenal system in patients with chronic psychoses undergoing rehabilitative therapy accordi,first_author_conflict,D0103210,Embase,L91453398,,The state of the sympathetic-adrenal system in patients with chronic psychoses undergoing rehabilitative therapy (according to findings from a catecholamine study),1971,Efimenko
activation of fibrinolysis during electroconvulsive treatment,first_author_conflict,D0103211,PubMed,5133671,,Activation of fibrinolysis during electroconvulsive treatment.,1971,Tymiński W
activation of fibrinolysis during electroconvulsive treatment,first_author_conflict,D0103212,Embase,L92345264,,Activation of fibrinolysis during electroconvulsive treatment.,1971,Tymiński
venous thromboembolism,title_short_or_generic,D0103213,PubMed,5119836,,Venous thromboembolism.,1971,Juergens JL
venous thromboembolism,title_short_or_generic,D0103214,Scopus,2-s2.0-0015166777,,Venous thromboembolism.,1971,Juergens J.
pyromania a case report,first_author_conflict,D0103215,PubMed,5489352,,"[Pyromania, a case report].",1970,Medvecký J
pyromania a case report,first_author_conflict,D0103216,Embase,L91296056,,"Pyromania, a case report",1970,Medvecký
the car and the cardiac,first_author_conflict,D0103217,PubMed,5483287,,The car and the cardiac.,1970,Baroody NB
the car and the cardiac,first_author_conflict,D0103218,Embase,L91281067,,The car and the cardiac.,1970,Baroody
the so called livedo racemosa syndrome of the skin with cerebral changes,first_author_conflict,D0103219,PubMed,5494971,,[The so-called livedo racemosa syndrome of the skin with cerebral changes].,1970,Buksowicz C
the so called livedo racemosa syndrome of the skin with cerebral changes,first_author_conflict,D0103220,Scopus,2-s2.0-0014839867,,The so-called livedo racemosa syndrome of the skin with cerebral changes,1970,Buksowicz C.
the so called livedo racemosa syndrome of the skin with cerebral changes,first_author_conflict,D0103221,Embase,L91312030,,The so-called livedo racemosa syndrome of the skin with cerebral changes,1970,Buksowicz
active vasodilatation and organ blood supply,first_author_conflict,D0103222,PubMed,4394364,,[Active vasodilatation and organ blood supply].,1970,Udel'nov MG
active vasodilatation and organ blood supply,first_author_conflict,D0103223,Embase,L90476055,,Active vasodilatation and organ blood supply,1970,Udel'nov
autonomic failure in hydrencephaly,first_author_conflict,D0103227,PubMed,5535067,,Autonomic failure in hydrencephaly.,1970,Appenzeller O
autonomic failure in hydrencephaly,first_author_conflict,D0103228,Embase,L91465001,,Autonomic failure in hydrencephaly.,1970,Appenzeller
repercussions of restraint on thermal regulation of white rats kept at different environmental temperatures,first_author_conflict,D0103233,PubMed,4248048,,[Repercussions of restraint on thermal regulation of white rats kept at different environmental temperatures].,1970,Prioux-Guyonneau M
repercussions of restraint on thermal regulation of white rats kept at different environmental temperatures,first_author_conflict,D0103234,Embase,L90454566,,Repercussions of restraint on thermal regulation of white rats kept at different environmental temperatures,1970,Prioux-Guyonneau
children and juveniles as arsonists,first_author_conflict,D0103235,PubMed,5373897,,[Children and juveniles as arsonists].,1969,Knaape HH
children and juveniles as arsonists,first_author_conflict,D0103236,Embase,L90341241,,Children and juveniles as arsonists,1969,Knaape
function of the transplanted human heart,first_author_conflict,D0103238,PubMed,4897632,,Function of the transplanted human heart.,1969,Hallman GL
function of the transplanted human heart,first_author_conflict,D0103239,Embase,L89195707,,Function of the transplanted human heart.,1969,Hallman
treatment of acute viral hepatitis,first_author_conflict,D0103241,PubMed,5801052,,[Treatment of acute viral hepatitis].,1969,Kühn HA
treatment of acute viral hepatitis,first_author_conflict,D0103242,Scopus,2-s2.0-0014666925,,Treatment of acute viral hepatitis,1969,Kühn H.A.
the effect of various experimental stress conditions on various indices of fat and carbohydrate metabolism,first_author_conflict,D0103243,PubMed,5264982,,[The effect of various experimental stress conditions on various indices of fat and carbohydrate metabolism].,1969,Lempert BL
the effect of various experimental stress conditions on various indices of fat and carbohydrate metabolism,first_author_conflict,D0103244,Embase,L90346321,,The effect of various experimental stress conditions on various indices of fat and carbohydrate metabolism,1969,Lempert
nailfold capillary structure and skin temperature in schizophrenia,first_author_conflict,D0103247,PubMed,5775310,,Nailfold capillary structure and skin temperature in schizophrenia.,1969,Sendi SB
nailfold capillary structure and skin temperature in schizophrenia,first_author_conflict,D0103248,Embase,L89077244,,Nailfold capillary structure and skin temperature in schizophrenia.,1969,Sendi
the perpetrators of arson in forensic psychiatric material,first_author_conflict,D0103249,PubMed,5782161,,The perpetrators of arson in forensic-psychiatric material.,1969,Fleszar-Szumigajowa J
the perpetrators of arson in forensic psychiatric material,first_author_conflict,D0103250,Embase,L89134210,,The perpetrators of arson in forensic-psychiatric material.,1969,Fleszar-Szumigajowa
on a study of the autoimmune processes associated with brain pathology at various stages in the course of schizophrenia,first_author_conflict,D0103251,PubMed,5771497,,[On a study of the autoimmune processes associated with brain pathology at various stages in the course of schizophrenia].,1969,Semenov SF
on a study of the autoimmune processes associated with brain pathology at various stages in the course of schizophrenia,first_author_conflict,D0103252,Embase,L89118370,,On a study of the autoimmune processes associated with brain pathology at various stages in the course of schizophrenia,1969,Semenov
victim characteristics in fatal home accidents alcohol mental disorder and suicidal intent in officially registered acci,first_author_conflict,D0103253,PubMed,5406850,,"Victim characteristics in fatal home accidents. Alcohol, mental disorder, and suicidal intent in officially registered accidents in the home.",1969,Berfenstam R
victim characteristics in fatal home accidents alcohol mental disorder and suicidal intent in officially registered acci,first_author_conflict,D0103254,Embase,L92350073,,"Victim characteristics in fatal home accidents. Alcohol, mental disorder, and suicidal intent in officially registered accidents in the home.",1969,Berfenstam
various patterns in the appearance of anti brain antibodies in the serum of schizophrenia patients,first_author_conflict,D0103256,PubMed,5369969,,[Various patterns in the appearance of anti-brain antibodies in the serum of schizophrenia patients].,1969,Koliaskina GI
various patterns in the appearance of anti brain antibodies in the serum of schizophrenia patients,first_author_conflict,D0103257,Embase,L90346973,,Various patterns in the appearance of anti-brain antibodies in the serum of schizophrenia patients,1969,Koliaskina
comparative features of clinico physiologic changes in cyclical presenile and reactive depressions,first_author_conflict,D0103258,PubMed,5368920,,"[Comparative features of clinico-physiologic changes in cyclical, presenile and reactive depressions].",1969,Kut'ko II
comparative features of clinico physiologic changes in cyclical presenile and reactive depressions,first_author_conflict,D0103259,Scopus,2-s2.0-0014621453,,"Comparative features of clinico-physiologic changes in cyclical, presenile and reactive depressions",1969,Kut'ko I.
laboratory methods of diagnosing cerebral pathology in the neonatal period,first_author_conflict,D0103261,PubMed,4244228,,[Laboratory methods of diagnosing cerebral pathology in the neonatal period].,1969,Semenova KA
laboratory methods of diagnosing cerebral pathology in the neonatal period,first_author_conflict,D0103262,Embase,L90346934,,Laboratory methods of diagnosing cerebral pathology in the neonatal period,1969,Semenova
liver transplantation in man ii a report of two orthotopic liver transplants in adult recipients,first_author_conflict,D0103263,PubMed,4881064,,Liver transplantation in man. II. A report of two orthotopic liver transplants in adult recipients.,1968,Calne RY
liver transplantation in man ii a report of two orthotopic liver transplants in adult recipients,first_author_conflict,D0103264,Embase,L289080245,,Liver transplantation in man. II. A report of two orthotopic liver transplants in adult recipients,1968,Calne
liver transplantation in man ii a report of two orthotopic liver transplants in adult recipients,first_author_conflict,D0103265,Embase,L289093445,,Liver transplantation in man. ii. a report of two orthotopic liver transplants in adult recipients -,1968,Calne
corporal symptoms of existence observations on a case,first_author_conflict,D0103266,PubMed,5743476,,[Corporal symptoms of existence (observations on a case)].,1968,Baca E
corporal symptoms of existence observations on a case,first_author_conflict,D0103267,Embase,L90424753,,Corporal symptoms of existence (observations on a case),1968,Baca
a case of carbon monixide poisoning with so called sudeck s syndrome and various neurologic symptoms,first_author_conflict,D0103268,PubMed,4180344,,[A case of carbon monixide poisoning with so-called Sudeck's syndrome and various neurologic symptoms].,1968,Harada M
a case of carbon monixide poisoning with so called sudeck s syndrome and various neurologic symptoms,first_author_conflict,D0103269,Embase,L89079855,,A case of carbon monixide poisoning with so-called Sudeck's syndrome and various neurologic symptoms,1968,Harada
the firesetter syndrome,title_short_or_generic,D0103271,PubMed,5665759,,The firesetter syndrome.,1968,Macht LB
the firesetter syndrome,title_short_or_generic,D0103272,Embase,L88175137,,The firesetter syndrome.,1968,Macht
influence of treatment in the cardiovascular reactivity of the hypertensive patient,first_author_conflict,D0103275,PubMed,4317437,,[Influence of treatment in the cardiovascular reactivity of the hypertensive patient].,1968,Garcia R
influence of treatment in the cardiovascular reactivity of the hypertensive patient,first_author_conflict,D0103276,Embase,L90424080,,Influence of treatment in the cardiovascular reactivity of the hypertensive patient,1968,Garcia
changes in electric skin conductivity due to psychic stress and the reactivity of skin capillaries to cold stress in mut,first_author_conflict,D0103277,PubMed,5691101,,[Changes in electric skin conductivity due to psychic stress and the reactivity of skin capillaries to cold stress in mutual comparison].,1968,Grünner O
